,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_hour_current_hour,1,0.00156858,-0.123339,0.00113503,-0.000388661,0.00472472,-0.585723,-0.00132518,0.0111154,-0.00394082,0.0110995,-0.00343239,0.61357,0.00053875,-0.0157896,0.00247461,0.00407564,0.00177852,0.368664,-0.000977844,0.0518454,-0.00131334,0.00442182,0.00295049,-0.909748,-0.000692467,0.193541,0.00299063,-0.00544383,-0.00711882,-0.413742,0.000315256,-0.111194,-0.00470092,0.00447527,-0.000644779,-0.0144825
cs_base_hour_current_day,0.00156858,1,-0.00187154,0.0037586,-0.0087702,0.00828165,0.000459583,-0.691958,0.00139517,0.000516392,0.0158433,-0.0114055,0.00220008,0.663817,-0.00468526,0.000434382,-0.00922007,-0.00898562,-0.000663186,0.32183,0.00086252,0.00764412,-0.0157275,-0.000343751,-0.000339031,-0.873471,-0.000685791,-0.00787005,0.00890879,-0.00771478,-0.000923614,-0.490226,0.00429787,-9.52959e-05,0.0168182,0.00481137,-0.00182444
cs_base_hour_current_hour_minus,-0.123339,-0.00187154,1,0.00133471,-0.0292811,0.000779791,0.171348,0.00149996,-0.741507,-0.0032888,0.0149925,-0.00316518,0.118735,-0.00255523,0.728288,-0.000540115,-0.012031,0.00101439,0.359447,-0.00114431,0.280027,-0.000680169,-0.0497049,0.00390362,-0.0357195,0.00172002,-0.888176,-0.00105926,0.0656294,-0.00187472,-0.164654,0.00200926,-0.568701,-8.16384e-05,0.00813744,-0.00203393,0.00996664
cs_base_hour_current_month,0.00113503,0.0037586,0.00133471,1,0.0365032,-0.0242598,0.000435893,-0.0115244,-0.00223041,-0.680905,-0.0269259,0.0143511,0.00107069,0.000261683,-0.00114026,0.648741,0.0140534,0.103931,-1.32475e-05,0.000200048,-0.00184717,0.298164,0.00956314,0.211784,-0.000641052,0.000471233,-0.000546505,-0.874837,-0.0375926,-0.0300546,-0.000177024,-0.00396694,0.000599845,-0.460965,0.000241044,-0.164027,0.0144192
cs_base_hour_current_year,-0.000388661,-0.0087702,-0.0292811,0.0365032,1,0.00973888,0.000499503,0.00392459,0.0284073,-0.00159313,-0.79756,-0.00310787,-0.000355869,-0.00520711,-0.0369412,0.00737177,0.660279,0.00405606,7.31488e-05,0.00543511,-0.0702125,0.0372966,0.270924,0.000282666,0.000149918,0.00250282,0.0712157,-0.0591341,-0.87141,-0.00571709,0.000212381,0.00196528,0.032816,0.00837149,-0.500905,-0.0133412,0.21079
cs_base_hour_current_month_minus,0.00472472,0.00828165,0.000779791,-0.0242598,0.00973888,1,-0.00259365,0.0122031,-0.00200645,-0.0206572,-0.027998,-0.700238,0.0039129,0.00542922,0.000697051,0.0948798,0.00933539,0.680804,0.00302018,-0.00546716,0.000163353,0.246012,0.00859104,0.336755,-0.00408866,-0.0113899,0.000727193,-0.0476398,-0.00427704,-0.874943,-0.00241156,0.0101514,-0.00165642,-0.17115,-0.0125895,-0.51421,0.0419322
cs_base_day_current_hour,-0.585723,0.000459583,0.171348,0.000435893,0.000499503,-0.00259365,1,-0.000503898,0.047912,0.00338618,-0.00931181,0.00136907,-0.376205,0.000844966,-0.0521396,-0.00133149,-0.00306446,-0.000702867,-0.566587,0.000762778,-0.0509521,0.000440986,-0.00462692,-0.00202523,0.589812,-0.000484514,-0.238166,-0.00371859,0.00480937,0.00493073,0.55139,-0.000420636,0.107539,0.00414571,-0.00378104,-0.000489543,0.0130028
cs_base_day_current_day,-0.00132518,-0.691958,0.00149996,-0.0115244,0.00392459,0.0122031,-0.000503898,1,-0.00121633,0.0104992,-0.00963803,-0.00628852,-0.000574531,-0.488251,0.00317092,-0.0119536,0.00476823,0.00957742,0.00110815,-0.488176,-0.000703672,-0.0122841,0.00818962,-0.00804806,0.00057841,0.579799,0.000401867,0.0102682,-0.00367606,-0.00426345,-0.000474416,0.665296,-0.00289528,0.0124001,-0.0100596,-0.00432607,0.00556868
cs_base_day_current_hour_minus,0.0111154,0.00139517,-0.741507,-0.00223041,0.0284073,-0.00200645,0.047912,-0.00121633,1,0.0050747,-0.0196438,0.00327342,-0.262592,0.00163177,-0.540709,-0.00150701,0.00864239,-0.000509398,-0.472747,0.00131725,-0.454415,0.00110501,0.0454257,-0.00425869,0.0486015,-0.00189814,0.656083,-0.000277507,-0.0611396,0.00427562,0.257649,-0.00127621,0.697742,0.00308985,-0.00907066,0.00122557,-0.00163984
cs_base_day_current_month,-0.00394082,0.000516392,-0.0032888,-0.680905,-0.00159313,-0.0206572,0.00338618,0.0104992,0.0050747,1,0.0109871,-0.00633719,-0.00268828,0.000834159,-0.00301461,-0.487697,0.0301459,-0.166486,-0.00210197,0.0013166,-0.00631127,-0.49843,-0.0223633,-0.169648,0.00343135,-0.00639838,0.00620689,0.57888,0.0225138,0.084395,0.00226957,0.00618075,0.00380496,0.656695,-0.0233468,0.0954671,0.0102644
