,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_hour_current_hour,1,0.00102393,-0.124006,0.0011012,-0.000286325,0.00462578,-0.585946,2.37574e-05,0.0114874,-0.00407228,0.0110785,-0.00316713,0.613771,-0.000254849,-0.0161181,0.00226952,0.00387157,0.00179499,0.369008,-0.00252682,0.0521441,-0.00122982,0.00438842,0.0030868,-0.909763,-0.000234525,0.194185,0.00290667,-0.00559711,-0.00713394,-0.413972,0.0018482,-0.111167,-0.00455136,0.00465487,-0.0005529,-0.0144116
cs_base_hour_current_day,0.00102393,1,-0.0013312,0.00374242,-0.00872061,0.00823748,0.000332178,-0.691971,0.00113029,0.000469519,0.0158184,-0.0112794,0.00188592,0.663591,-0.00402485,0.000368991,-0.00925564,-0.00896566,-0.000489449,0.321617,0.000879367,0.00765702,-0.0157119,-0.000296416,-1.83253e-05,-0.873568,-0.00116189,-0.00788183,0.00883139,-0.00771166,-0.00102577,-0.489809,0.00393259,-5.01111e-05,0.0168319,0.00483206,-0.00182575
cs_base_hour_current_hour_minus,-0.124006,-0.0013312,1,0.00141247,-0.0294771,0.00100311,0.17127,0.000725583,-0.741528,-0.00292875,0.0149761,-0.00378191,0.118653,-0.00198774,0.728346,-4.43788e-05,-0.0115151,0.000964236,0.35954,-0.000479555,0.279851,-0.000881764,-0.0495589,0.00353554,-0.035035,0.0013731,-0.888229,-0.000861082,0.0658749,-0.00180446,-0.164847,0.00115788,-0.568636,-0.000428104,0.0076296,-0.00225685,0.00986717
cs_base_hour_current_month,0.0011012,0.00374242,0.00141247,1,0.0362425,-0.0240347,0.000471437,-0.0115434,-0.00230665,-0.680029,-0.0269176,0.0137094,0.00104433,0.000275817,-0.00107661,0.648237,0.0144961,0.103879,1.51353e-05,-2.27878e-05,-0.0017668,0.297883,0.00962553,0.211265,-0.000636704,0.000662816,-0.000666322,-0.874411,-0.037146,-0.0299878,-0.000156245,-0.00394698,0.000538376,-0.460947,-0.000225344,-0.164189,0.0143578
cs_base_hour_current_year,-0.000286325,-0.00872061,-0.0294771,0.0362425,1,0.00904314,0.000383258,0.0040323,0.0286102,-0.00267116,-0.797272,-0.0011704,-0.000276949,-0.00524568,-0.0370705,0.00584377,0.657633,0.00420312,-1.7147e-05,0.00612777,-0.0703286,0.0378945,0.270611,0.00138207,0.000139004,0.00188572,0.0714635,-0.0596987,-0.871431,-0.0059207,0.000146786,0.00192473,0.0329557,0.00942461,-0.498522,-0.0126368,0.210894
cs_base_hour_current_month_minus,0.00462578,0.00823748,0.00100311,-0.0240347,0.00904314,1,-0.00248677,0.01208,-0.00222622,-0.0196803,-0.027969,-0.700056,0.00383629,0.00546266,0.00087006,0.0960506,0.0106208,0.680455,0.00309464,-0.00607862,0.000381217,0.245326,0.00876539,0.335418,-0.00407176,-0.0108252,0.000386548,-0.0470822,-0.00313211,-0.87447,-0.00234959,0.0101576,-0.00182457,-0.171914,-0.0138785,-0.514509,0.0417482
cs_base_day_current_hour,-0.585946,0.000332178,0.17127,0.000471437,0.000383258,-0.00248677,1,-0.000401839,0.0481324,0.00353803,-0.00929351,0.00107819,-0.376481,0.00103652,-0.0527472,-0.00110333,-0.00283764,-0.000723739,-0.566682,0.000623942,-0.0513092,0.000348175,-0.00458977,-0.00218316,0.589923,-0.000125807,-0.238153,-0.00362279,0.00498712,0.00495321,0.551519,-0.000561972,0.108368,0.00397888,-0.0039889,-0.000591468,0.0129015
cs_base_day_current_day,2.37574e-05,-0.691971,0.000725583,-0.0115434,0.0040323,0.01208,-0.000401839,1,-0.000923998,0.0103168,-0.00962745,-0.00597974,0.000422278,-0.48904,0.00209828,-0.0121422,0.00453762,0.00958532,0.0011535,-0.488782,-0.000526913,-0.0121715,0.00814796,-0.00786786,-0.000358939,0.579999,0.00108651,0.0101621,-0.00385683,-0.00428755,-0.000592979,0.665939,-0.00237695,0.0125299,-0.00981224,-0.00421587,0.00553694
cs_base_day_current_hour_minus,0.0114874,0.00113029,-0.741528,-0.00230665,0.0286102,-0.00222622,0.0481324,-0.000923998,1,0.00471443,-0.0196248,0.00388573,-0.262126,0.00152696,-0.540821,-0.00199307,0.00814246,-0.000460556,-0.473104,0.00130993,-0.454105,0.00130454,0.0452985,-0.00389357,0.0484924,-0.00177936,0.655905,-0.000471805,-0.0614092,0.00420305,0.257384,-0.00113125,0.697782,0.00342746,-0.00856599,0.0014486,-0.00157414
cs_base_day_current_month,-0.00407228,0.000469519,-0.00292875,-0.680029,-0.00267116,-0.0196803,0.00353803,0.0103168,0.00471443,1,0.0110109,-0.00899151,-0.00279043,0.00089619,-0.00273494,-0.484515,0.0321209,-0.166565,-0.00197235,0.000332588,-0.00595536,-0.498796,-0.0220683,-0.170914,0.00343827,-0.00553419,0.00566101,0.579146,0.0242583,0.0846151,0.00235491,0.00621189,0.00352988,0.654254,-0.0253504,0.0944023,0.00999
cs_base_day_current_year,0.0110785,0.0158184,0.0149761,-0.0269176,-0.797272,-0.027969,-0.00929351,-0.00962745,-0.0196248,0.0110109,1,-0.029704,0.00921013,0.0149702,0.0259977,-0.0202913,-0.586675,-0.0184205,0.00338568,0.00130072,0.0574883,-0.0496168,-0.456591,0.0129982,-0.00700121,-0.00854154,-0.0454696,0.0381323,0.630852,0.027973,-0.00651488,-0.00917165,-0.0266162,0.0147551,0.73983,-0.00892766,-0.0960057
cs_base_day_current_month_minus,-0.00316713,-0.0112794,-0.00378191,0.0137094,-0.0011704,-0.700056,0.00107819,-0.00597974,0.00388573,-0.00899151,-0.029704,1,-0.00283594,-0.00913326,-0.00533194,-0.17402,-0.0360945,-0.489547,-0.00403642,0.00738341,-0.00559864,-0.181704,0.00660675,-0.482758,0.00353657,0.0110404,0.00439985,0.0400602,-0.00136783,0.588055,0.00145363,-0.00762407,0.00548026,0.126719,0.0113615,0.667824,0.0184346
cs_base_hour_minus_current_hour,0.613771,0.00188592,0.118653,0.00104433,-0.000276949,0.00383629,-0.376481,0.000422278,-0.262126,-0.00279043,0.00921013,-0.00283594,1,-0.000873718,-0.0168348,0.00257533,0.0032451,0.0015803,0.552658,-0.00232719,-0.0126481,-0.00230881,0.00462336,0.00366939,-0.406648,-0.00117456,-0.127684,0.00373776,-0.00487575,-0.00648778,-0.888084,0.00248181,-0.0909994,-0.00458581,0.00369562,-0.00108566,-0.012799
cs_base_hour_minus_current_day,-0.000254849,0.663591,-0.00198774,0.000275817,-0.00524568,0.00546266,0.00103652,-0.48904,0.00152696,0.00089619,0.0149702,-0.00913326,-0.000873718,1,-0.00381652,-1.44246e-05,-0.00613427,-0.00702669,-0.00257838,0.581164,-0.00105782,0.00601369,-0.0107222,-0.00126766,0.000869652,-0.489677,0.000720809,-0.00381014,0.00429814,-0.00493343,0.00125611,-0.873602,0.00349351,-0.000119191,0.0149543,0.00265542,-0.00206817
