,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2072,9698,9354,1516,9439,3610,3610,7432,1516,9354,5322,2072,9354,3927,2072,3610,6453,1516,9439,5593,3720,6453,3610,5322,2072,9698,9354,1516,9439,3610,6453,7432,5322,9439,1516,3720
1,2072,9698,9354,1516,9439,3610,3610,7432,1516,9354,5322,2072,9354,3927,2072,3610,6453,1516,9439,5593,3720,6453,3610,5322,2072,9698,9354,1516,9439,3610,6453,7432,5322,9439,1516,3720
2,1516,5593,3927,1516,9439,3610,9354,3927,5593,9354,5322,2072,3610,7432,9698,3610,6453,1516,6453,7432,9698,6453,3610,5322,1516,5593,3927,1516,9439,3610,9439,5593,3927,9439,1516,3720
3,1516,5593,3927,1516,9439,3610,9354,3927,5593,9354,5322,2072,3610,7432,9698,3610,6453,1516,6453,7432,9698,6453,3610,5322,1516,5593,3927,1516,9439,3610,9439,5593,3927,9439,1516,3720
4,5593,5593,5322,1516,9439,3610,3927,3927,9439,9354,5322,2072,7432,7432,3720,3610,6453,1516,7432,7432,2072,6453,3610,5322,5593,5593,5322,1516,9439,3610,5593,5593,9354,9439,1516,3720
5,5593,5593,5322,1516,9439,3610,3927,3927,9439,9354,5322,2072,7432,7432,3720,3610,6453,1516,7432,7432,2072,6453,3610,5322,5593,5593,5322,1516,9439,3610,5593,5593,9354,9439,1516,3720
6,9439,5593,3720,1516,9439,3610,5322,3927,6453,9354,5322,2072,6453,7432,5322,3610,6453,1516,3610,7432,1516,6453,3610,5322,9439,5593,3720,1516,9439,3610,1516,5593,3610,9439,1516,3720
7,9439,5593,3720,1516,9439,3610,5322,3927,6453,9354,5322,2072,6453,7432,5322,3610,6453,1516,3610,7432,1516,6453,3610,5322,9439,5593,3720,1516,9439,3610,1516,5593,3610,9439,1516,3720
8,2072,2072,9354,1516,9439,3610,3610,3610,1516,9354,5322,2072,9354,9354,2072,3610,6453,1516,9439,9439,3720,6453,3610,5322,2072,2072,9354,1516,9439,3610,6453,6453,5322,9439,1516,3720
9,2072,2072,9354,1516,9439,3610,3610,3610,1516,9354,5322,2072,9354,9354,2072,3610,6453,1516,9439,9439,3720,6453,3610,5322,2072,2072,9354,1516,9439,3610,6453,6453,5322,9439,1516,3720
10,1516,9439,3927,1516,9439,3610,9354,5322,5593,9354,5322,2072,3610,6453,9698,3610,6453,1516,6453,3610,9698,6453,3610,5322,1516,9439,3927,1516,9439,3610,9439,1516,3927,9439,1516,3720
11,1516,9439,3927,1516,9439,3610,9354,5322,5593,9354,5322,2072,3610,6453,9698,3610,6453,1516,6453,3610,9698,6453,3610,5322,1516,9439,3927,1516,9439,3610,9439,1516,3927,9439,1516,3720
12,5593,9439,5322,1516,9439,3610,3927,5322,9439,9354,5322,2072,7432,6453,3720,3610,6453,1516,7432,3610,2072,6453,3610,5322,5593,9439,5322,1516,9439,3610,5593,1516,9354,9439,1516,3720
13,5593,9439,5322,1516,9439,3610,3927,5322,9439,9354,5322,2072,7432,6453,3720,3610,6453,1516,7432,3610,2072,6453,3610,5322,5593,9439,5322,1516,9439,3610,5593,1516,9354,9439,1516,3720
14,9439,9439,3720,1516,9439,3610,5322,5322,6453,9354,5322,2072,6453,6453,5322,3610,6453,1516,3610,3610,1516,6453,3610,5322,9439,9439,3720,1516,9439,3610,1516,1516,3610,9439,1516,3720
15,9439,9439,3720,1516,9439,3610,5322,5322,6453,9354,5322,2072,6453,6453,5322,3610,6453,1516,3610,3610,1516,6453,3610,5322,9439,9439,3720,1516,9439,3610,1516,1516,3610,9439,1516,3720
16,2072,1516,9354,1516,9439,3610,3610,9354,1516,9354,5322,2072,9354,3610,2072,3610,6453,1516,9439,6453,3720,6453,3610,5322,2072,1516,9354,1516,9439,3610,6453,9439,5322,9439,1516,3720
17,2072,1516,9354,1516,9439,3610,3610,9354,1516,9354,5322,2072,9354,3610,2072,3610,6453,1516,9439,6453,3720,6453,3610,5322,2072,1516,9354,1516,9439,3610,6453,9439,5322,9439,1516,3720
18,1516,6453,3927,1516,9439,3610,9354,3720,5593,9354,5322,2072,3610,9439,9698,3610,6453,1516,6453,9354,9698,6453,3610,5322,1516,6453,3927,1516,9439,3610,9439,2072,3927,9439,1516,3720
19,1516,6453,3927,1516,9439,3610,9354,3720,5593,9354,5322,2072,3610,9439,9698,3610,6453,1516,6453,9354,9698,6453,3610,5322,1516,6453,3927,1516,9439,3610,9439,2072,3927,9439,1516,3720
20,5593,6453,5322,1516,9439,3610,3927,3720,9439,9354,5322,2072,7432,9439,3720,3610,6453,1516,7432,9354,2072,6453,3610,5322,5593,6453,5322,1516,9439,3610,5593,2072,9354,9439,1516,3720
21,5593,6453,5322,1516,9439,3610,3927,3720,9439,9354,5322,2072,7432,9439,3720,3610,6453,1516,7432,9354,2072,6453,3610,5322,5593,6453,5322,1516,9439,3610,5593,2072,9354,9439,1516,3720
22,9439,6453,3720,1516,9439,3610,5322,3720,6453,9354,5322,2072,6453,9439,5322,3610,6453,1516,3610,9354,1516,6453,3610,5322,9439,6453,3720,1516,9439,3610,1516,2072,3610,9439,1516,3720
23,9439,6453,3720,1516,9439,3610,5322,3720,6453,9354,5322,2072,6453,9439,5322,3610,6453,1516,3610,9354,1516,6453,3610,5322,9439,6453,3720,1516,9439,3610,1516,2072,3610,9439,1516,3720
24,2072,5593,9354,1516,9439,3610,3610,3927,1516,9354,5322,2072,9354,7432,2072,3610,6453,1516,9439,7432,3720,6453,3610,5322,2072,5593,9354,1516,9439,3610,6453,5593,5322,9439,1516,3720
25,2072,5593,9354,1516,9439,3610,3610,3927,1516,9354,5322,2072,9354,7432,2072,3610,6453,1516,9439,7432,3720,6453,3610,5322,2072,5593,9354,1516,9439,3610,6453,5593,5322,9439,1516,3720
26,1516,7432,3927,1516,9439,3610,9354,9698,5593,9354,5322,2072,3610,5593,9698,3610,6453,1516,6453,3927,9698,6453,3610,5322,1516,7432,3927,1516,9439,3610,9439,9698,3927,9439,1516,3720
27,1516,7432,3927,1516,9439,3610,9354,9698,5593,9354,5322,2072,3610,5593,9698,3610,6453,1516,6453,3927,9698,6453,3610,5322,1516,7432,3927,1516,9439,3610,9439,9698,3927,9439,1516,3720
28,5593,7432,5322,1516,9439,3610,3927,9698,9439,9354,5322,2072,7432,5593,3720,3610,6453,1516,7432,3927,2072,6453,3610,5322,5593,7432,5322,1516,9439,3610,5593,9698,9354,9439,1516,3720
29,5593,7432,5322,1516,9439,3610,3927,9698,9439,9354,5322,2072,7432,5593,3720,3610,6453,1516,7432,3927,2072,6453,3610,5322,5593,7432,5322,1516,9439,3610,5593,9698,9354,9439,1516,3720
30,9439,7432,3720,1516,9439,3610,5322,9698,6453,9354,5322,2072,6453,5593,5322,3610,6453,1516,3610,3927,1516,6453,3610,5322,9439,7432,3720,1516,9439,3610,1516,9698,3610,9439,1516,3720
31,9439,7432,3720,1516,9439,3610,5322,9698,6453,9354,5322,2072,6453,5593,5322,3610,6453,1516,3610,3927,1516,6453,3610,5322,9439,7432,3720,1516,9439,3610,1516,9698,3610,9439,1516,3720
32,2072,9439,9354,1516,9439,3610,3610,5322,1516,9354,5322,2072,9354,6453,2072,3610,6453,1516,9439,3610,3720,6453,3610,5322,2072,9439,9354,1516,9439,3610,6453,1516,5322,9439,1516,3720
33,2072,9439,9354,1516,9439,3610,3610,5322,1516,9354,5322,2072,9354,6453,2072,3610,6453,1516,9439,3610,3720,6453,3610,5322,2072,9439,9354,1516,9439,3610,6453,1516,5322,9439,1516,3720
34,1516,3610,3927,1516,9439,3610,9354,2072,5593,9354,5322,2072,3610,1516,9698,3610,6453,1516,6453,5322,9698,6453,3610,5322,1516,3610,3927,1516,9439,3610,9439,3720,3927,9439,1516,3720
35,1516,3610,3927,1516,9439,3610,9354,2072,5593,9354,5322,2072,3610,1516,9698,3610,6453,1516,6453,5322,9698,6453,3610,5322,1516,3610,3927,1516,9439,3610,9439,3720,3927,9439,1516,3720
36,5593,3610,5322,1516,9439,3610,3927,2072,9439,9354,5322,2072,7432,1516,3720,3610,6453,1516,7432,5322,2072,6453,3610,5322,5593,3610,5322,1516,9439,3610,5593,3720,9354,9439,1516,3720
37,5593,3610,5322,1516,9439,3610,3927,2072,9439,9354,5322,2072,7432,1516,3720,3610,6453,1516,7432,5322,2072,6453,3610,5322,5593,3610,5322,1516,9439,3610,5593,3720,9354,9439,1516,3720
38,9439,3610,3720,1516,9439,3610,5322,2072,6453,9354,5322,2072,6453,1516,5322,3610,6453,1516,3610,5322,1516,6453,3610,5322,9439,3610,3720,1516,9439,3610,1516,3720,3610,9439,1516,3720
