,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,3,0,5,10,5,3,5,9,4,3,6,10,8,11,3,4,8,5,3,0,5,10,7,3,8,0,7,2,4,6,9,11,3,4,8,5
1,3,0,5,10,5,3,5,9,4,3,6,10,8,11,3,4,8,5,3,0,5,10,7,3,8,0,7,2,4,6,9,11,3,4,8,5
2,9,11,9,10,5,3,3,1,0,3,6,10,3,0,1,4,8,5,8,11,9,10,7,3,2,9,11,2,4,6,4,0,1,4,8,5
3,9,11,9,10,5,3,3,1,0,3,6,10,3,0,1,4,8,5,8,11,9,10,7,3,2,9,11,2,4,6,4,0,1,4,8,5
4,10,11,2,10,5,3,1,1,8,3,6,10,0,0,6,4,8,5,9,11,2,10,7,3,9,9,10,2,4,6,0,0,6,4,8,5
5,10,11,2,10,5,3,1,1,8,3,6,10,0,0,6,4,8,5,9,11,2,10,7,3,9,9,10,2,4,6,0,0,6,4,8,5
6,6,11,8,10,5,3,6,1,2,3,6,10,6,0,7,4,8,5,6,11,8,10,7,3,5,9,4,2,4,6,7,0,7,4,8,5
7,6,11,8,10,5,3,6,1,2,3,6,10,6,0,7,4,8,5,6,11,8,10,7,3,5,9,4,2,4,6,7,0,7,4,8,5
8,3,4,5,10,5,3,5,5,4,3,6,10,8,10,3,4,8,5,3,4,5,10,7,3,8,8,7,2,4,6,9,10,3,4,8,5
9,3,4,5,10,5,3,5,5,4,3,6,10,8,10,3,4,8,5,3,4,5,10,7,3,8,8,7,2,4,6,9,10,3,4,8,5
10,9,7,9,10,5,3,3,6,0,3,6,10,3,8,1,4,8,5,8,7,9,10,7,3,2,5,11,2,4,6,4,8,1,4,8,5
11,9,7,9,10,5,3,3,6,0,3,6,10,3,8,1,4,8,5,8,7,9,10,7,3,2,5,11,2,4,6,4,8,1,4,8,5
12,10,7,2,10,5,3,1,6,8,3,6,10,0,8,6,4,8,5,9,7,2,10,7,3,9,5,10,2,4,6,0,8,6,4,8,5
13,10,7,2,10,5,3,1,6,8,3,6,10,0,8,6,4,8,5,9,7,2,10,7,3,9,5,10,2,4,6,0,8,6,4,8,5
14,6,7,8,10,5,3,6,6,2,3,6,10,6,8,7,4,8,5,6,7,8,10,7,3,5,5,4,2,4,6,7,8,7,4,8,5
15,6,7,8,10,5,3,6,6,2,3,6,10,6,8,7,4,8,5,6,7,8,10,7,3,5,5,4,2,4,6,7,8,7,4,8,5
16,3,10,5,10,5,3,5,3,4,3,6,10,8,4,3,4,8,5,3,10,5,10,7,3,8,2,7,2,4,6,9,4,3,4,8,5
17,3,10,5,10,5,3,5,3,4,3,6,10,8,4,3,4,8,5,3,10,5,10,7,3,8,2,7,2,4,6,9,4,3,4,8,5
18,9,6,9,10,5,3,3,7,0,3,6,10,3,2,1,4,8,5,8,6,9,10,7,3,2,3,11,2,4,6,4,2,1,4,8,5
19,9,6,9,10,5,3,3,7,0,3,6,10,3,2,1,4,8,5,8,6,9,10,7,3,2,3,11,2,4,6,4,2,1,4,8,5
20,10,6,2,10,5,3,1,7,8,3,6,10,0,2,6,4,8,5,9,6,2,10,7,3,9,3,10,2,4,6,0,2,6,4,8,5
21,10,6,2,10,5,3,1,7,8,3,6,10,0,2,6,4,8,5,9,6,2,10,7,3,9,3,10,2,4,6,0,2,6,4,8,5
22,6,6,8,10,5,3,6,7,2,3,6,10,6,2,7,4,8,5,6,6,8,10,7,3,5,3,4,2,4,6,7,2,7,4,8,5
23,6,6,8,10,5,3,6,7,2,3,6,10,6,2,7,4,8,5,6,6,8,10,7,3,5,3,4,2,4,6,7,2,7,4,8,5
24,3,11,5,10,5,3,5,1,4,3,6,10,8,0,3,4,8,5,3,11,5,10,7,3,8,9,7,2,4,6,9,0,3,4,8,5
25,3,11,5,10,5,3,5,1,4,3,6,10,8,0,3,4,8,5,3,11,5,10,7,3,8,9,7,2,4,6,9,0,3,4,8,5
26,9,1,9,10,5,3,3,11,0,3,6,10,3,9,1,4,8,5,8,1,9,10,7,3,2,1,11,2,4,6,4,9,1,4,8,5
27,9,1,9,10,5,3,3,11,0,3,6,10,3,9,1,4,8,5,8,1,9,10,7,3,2,1,11,2,4,6,4,9,1,4,8,5
28,10,1,2,10,5,3,1,11,8,3,6,10,0,9,6,4,8,5,9,1,2,10,7,3,9,1,10,2,4,6,0,9,6,4,8,5
29,10,1,2,10,5,3,1,11,8,3,6,10,0,9,6,4,8,5,9,1,2,10,7,3,9,1,10,2,4,6,0,9,6,4,8,5
30,6,1,8,10,5,3,6,11,2,3,6,10,6,9,7,4,8,5,6,1,8,10,7,3,5,1,4,2,4,6,7,9,7,4,8,5
