,target
1886,26393
8441,19172
1339,25457
13292,23027
10897,16344
11890,17167
3623,23629
6749,20597
3595,24376
1501,26047
11416,19562
2788,24121
4501,30470
9270,20011
9221,20246
9940,18418
11737,17691
9740,19468
10241,17278
5768,24424
9594,18524
11052,17152
12119,17671
4401,29132
5379,27692
10135,17767
9910,18377
12776,22030
12055,17626
6508,23878
9880,18053
7300,21206
8216,18294
9957,18101
6087,25308
11410,19343
1472,26092
12534,20083
5597,25242
6896,22091
4521,29160
5579,25573
8955,19270
3995,26757
9480,19567
3646,23109
2210,25997
578,29937
1511,26045
8839,20563
12049,17514
8278,17640
9048,20421
414,29285
6627,24008
12437,21359
5614,25344
4560,29071
426,28901
621,29478
2094,28584
4643,29564
2380,26000
10845,15596
2340,27318
265,28507
4826,28764
10472,16742
10708,16228
5282,27932
12271,21182
7976,18019
10911,16134
9378,19123
2088,28502
12965,24069
2142,29065
7628,20017
9773,19015
4035,26632
1082,28459
1671,26726
5749,23948
8888,19866
12930,23758
4374,28451
9230,19722
1971,27580
2608,23529
3944,26580
7689,19787
3585,24624
694,28047
10484,16368
12718,20760
6225,24099
5418,26122
9889,18332
9781,19057
4220,27692
8380,19786
10883,15897
8163,16699
4299,29427
4860,28876
4863,28869
9025,20535
8974,19989
6395,23530
5703,25785
8602,21703
12158,17072
11347,18394
1463,26250
3613,23806
376,28941
7682,19906
10747,15313
2216,26275
9066,20530
11709,18064
11235,16284
5397,26244
7383,21856
11812,17801
12272,20978
3706,24100
12877,22876
7050,20766
2392,25996
8341,19474
2484,22956
12819,22771
7476,20526
7293,21139
2046,28638
12074,17700
1254,26170
952,28951
12526,20126
10575,16742
5677,26213
4629,28995
7077,19364
9136,20013
1718,27676
10208,17175
12411,19622
9137,19931
13138,20970
11144,16563
9679,19292
12241,19410
2954,24179
3745,24118
4660,28901
2564,23247
11510,18449
6730,20625
11017,16375
1536,26012
1056,28427
1146,26859
3509,24506
1937,26357
5613,25345
1031,28550
7809,19049
8218,18309
10279,17293
12004,16974
4721,28647
6660,22678
2543,23412
96,27030
2474,23496
2684,24277
2522,21496
7246,21618
4192,27286
2239,27290
12844,23283
11196,16937
6505,23692
1042,28542
2389,26232
8509,20901
8430,19454
1592,26662
2391,26059
3894,26283
4219,27421
3615,23833
6727,20335
13045,23618
12670,19917
12902,23312
13249,22683
3,25063
10906,16173
3643,23268
3024,24295
10990,16555
2991,24868
9169,19762
11114,16515
7524,20618
3898,26337
13049,23823
439,28602
6790,21487
13373,23200
6545,24408
4731,28526
12703,20388
7360,21719
10868,15887
11360,18426
88,27008
11239,16248
2576,23425
12818,22816
8596,21701
8168,16532
10825,15633
