,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
12942,0,2,4,4,7,1,9,6,10,10,6,9,0,5,6,6,3,0,0,10,8,8,4,1,9,8,5,5,2,11,8,4,7,7,9,9
4676,4,3,0,2,10,11,2,5,11,6,0,0,3,8,1,5,10,11,2,6,0,10,8,9,6,10,9,8,1,1,5,2,11,4,1,1
10644,5,4,9,4,2,5,8,10,1,10,5,3,8,6,9,6,5,2,4,8,11,8,9,7,5,5,0,5,8,4,3,7,0,7,3,8
6029,4,7,2,6,0,0,2,8,6,2,10,11,3,10,5,4,1,1,2,5,10,3,0,0,6,6,8,7,9,9,5,3,4,5,10,11
11353,4,3,2,8,0,1,2,5,6,7,10,9,3,8,5,3,1,0,2,6,10,4,0,1,6,10,8,2,9,11,5,2,4,10,10,9
11982,7,6,7,5,8,4,1,2,8,3,1,10,7,4,10,2,8,6,9,3,5,7,10,8,0,7,6,4,0,5,0,5,3,8,0,7
5382,4,1,2,9,0,7,2,9,6,1,10,8,3,0,5,9,1,10,2,1,10,11,0,5,6,11,8,0,9,6,5,9,4,0,10,3
13187,7,11,7,9,7,10,1,0,8,1,6,4,7,11,10,9,3,7,9,9,5,11,4,2,0,1,6,0,2,3,0,1,3,0,9,6
7018,6,6,7,9,9,7,7,2,8,1,4,8,2,4,10,9,7,10,3,3,5,11,2,5,2,7,6,0,3,6,9,5,3,0,5,3
3751,3,9,11,1,3,8,3,1,0,9,9,7,1,9,11,0,6,3,6,11,9,1,7,4,4,0,1,11,5,2,7,0,1,9,6,10
12868,1,2,6,8,7,7,6,6,2,7,6,8,4,5,4,3,3,10,8,10,3,4,4,5,7,8,7,2,2,6,4,4,5,10,9,3
1147,7,1,10,1,9,4,1,9,4,9,4,10,7,0,7,0,7,6,9,1,2,1,2,8,0,11,3,11,3,5,0,9,6,9,5,7
6444,1,1,11,11,0,2,6,9,0,0,10,6,4,0,11,11,1,5,8,1,9,9,0,10,7,11,1,1,9,8,4,9,1,1,10,4
4502,9,4,2,8,10,7,0,10,6,7,0,8,9,6,5,3,10,10,7,8,10,4,8,5,1,5,8,2,1,6,1,7,4,10,1,3
7372,1,4,6,3,7,0,6,10,2,5,6,11,4,6,4,8,3,1,8,8,3,6,4,0,7,5,7,10,2,9,4,7,5,2,9,11
5761,5,3,9,3,0,10,8,5,1,5,10,4,8,8,9,8,1,7,4,6,11,6,0,2,5,10,0,10,9,3,3,2,0,2,10,6
