,target
12942,23626
4676,28552
10644,16755
6029,24697
11353,18556
11982,17077
5382,27597
13187,22174
7018,20055
3751,24379
12868,23842
1147,26818
6444,24103
4502,30264
7372,22308
5761,24132
11532,18196
11797,17811.1
1886,26393
3938,26405
1339,25457
13317,23230
3404,25255
12105,18031
3652,23435
4026,26644
4367,28976
1501,26047
11437,19200
4220,27692
6508,23878
8480,19777
11683,18018
10990,16555
11520,18345
11584,18407
12924,24156
10234,17029
13464,24021
11073,16757
6536,24524
11227,16589
8608,21719
4663,28854
5684,25839
9484,19347
12070,17808
10402,17749
5595,25465
9582,18351
8233,17797
13318,23304
4069,26344
5857,24969
1472,26092
13167,21408
6023,24704
11427,19629
2771,24059
3909,26308
3467,25618
3886,26516
9270,20011
7953,17201
2210,25997
578,29937
1511,26045
8727,21202
12072,17695
10671,16359
3387,25161
414,29285
6649,22960
6210,24003
9266,20043
9941,18424
426,28901
621,29478
2094,28584
11913,17392
2380,26000
5740,24837
2340,27318
265,28507
7055,20645
10491,16488
3411,25115
8204,17497
11642,17805
11213,16928
4127,26562
4606,29425
9396,19351
2088,28502
12989,24648
2142,29065
10409,17701
9791,19313
12529,20114
1082,28459
1671,26726
6932,21351
2899,23025
7934,17318
3573,24742
9248,19693
1971,27580
2608,23529
3978,26617
7713,19602
3614,23785
694,28047
6157,23476
11449,19045
6245,23600
3570,24748
5903,26168
9799,18816
8149,15232
8991,19649
9869,17955
4948,28349
4019,26531
5216,28854
4879,28885
7074,19545
8414,19528
9626,19455
5228,29224
11461,18609
11218,16763
9965,18096
1463,26250
3950,26387
376,28941
7706,19791
12450,20207
2216,26275
12976,24224
11730,17615
9574,18543
8282,17720
7406,21842
5263,28086
12295,22622
10910,16207
7063,19888
13071,23253
2392,25996
4448,30134
2484,22956
8704,21184
7499,20790
7316,20911
2046,28638
7181,19989
1254,26170
952,28951
5414,25455
10594,16569
12673,19846
11408,19307
7100,19768
11043,16902
1718,27676
10226,17131
7924,17829
11759,17825
2929,23631
9166,19752
9697,19673
10335,17258
8513,21169
12996,24658
4013,26427
2564,23247
11536,18196
6752,19869
7174,20096
1536,26012
1056,28427
1146,26859
9500,18758
1937,26357
5632,25900
1031,28550
7883,18711
5916,26029
11819,17802
7787,19408
10908,16214
6682,22484
2543,23412
96,27030
2474,23496
2684,24277
2522,21496
3706,24100
11856,17613
2239,27290
12137,17461
10924,16476
13312,23352
1042,28542
2389,26232
13270,22797
8447,19200
1592,26662
2391,26059
6149,23758
4417,29292
6756,19641
6749,20597
13069,23388
9548,19218
8772,20872
13274,22724
2901,22734
3,25063
5792,24358
5577,25470
6466,25100
11011,16446
3016,24093
4073,26669
3559,24418
3288,24598
5403,25244
12541,20046
439,28602
6650,22891
5996,25135
9701,19673
4747,28302
2968,24792
5727,24721
5144,28830
11306,17617
88,27008
12225,18268
2576,23425
7425,21519
8613,21985
8193,16222
10542,16402
274,28890
1281,25833
9267,20141
10663,16241
10723,15793
5220,29160
11250,16490
8132,15199
5527,26088
3698,24199
9391,18989
9628,19447
13146,21453
5611,25367
415,29322
4303,29542
2250,27274
8830,20435
