,feature,importance
22,cs_base_month_current_year,0.338301
34,cs_base_month_minus_current_year,0.240562
33,cs_base_month_minus_current_month,0.0666804
10,cs_base_day_current_year,0.064865
21,cs_base_month_current_month,0.0408278
28,cs_base_year_current_year,0.0407928
15,cs_base_hour_minus_current_month,0.0264221
4,cs_base_hour_current_year,0.0222345
17,cs_base_hour_minus_current_month_minus,0.0189187
11,cs_base_day_current_month_minus,0.0179364
3,cs_base_hour_current_month,0.0142952
27,cs_base_year_current_month,0.0140832
16,cs_base_hour_minus_current_year,0.0113894
9,cs_base_day_current_month,0.0102623
23,cs_base_month_current_month_minus,0.0100681
5,cs_base_hour_current_month_minus,0.00705248
29,cs_base_year_current_month_minus,0.00636085
31,cs_base_month_minus_current_day,0.00503472
7,cs_base_day_current_day,0.00503043
35,cs_base_month_minus_current_month_minus,0.00475002
25,cs_base_year_current_day,0.00464441
13,cs_base_hour_minus_current_day,0.00457117
19,cs_base_month_current_day,0.00385804
1,cs_base_hour_current_day,0.00324554
12,cs_base_hour_minus_current_hour,0.00199393
0,cs_base_hour_current_hour,0.00183738
14,cs_base_hour_minus_current_hour_minus,0.00174323
20,cs_base_month_current_hour_minus,0.00164807
8,cs_base_day_current_hour_minus,0.00150705
24,cs_base_year_current_hour,0.00142579
30,cs_base_month_minus_current_hour,0.0013633
6,cs_base_day_current_hour,0.00135871
18,cs_base_month_current_hour,0.00135231
26,cs_base_year_current_hour_minus,0.00129918
32,cs_base_month_minus_current_hour_minus,0.00125533
2,cs_base_hour_current_hour_minus,0.00103018
