,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
cs_base_hour_current_hour,1,0.000870061,-0.123786,0.00126036,-0.00142125,0.00449721,-0.585837,9.19472e-05,0.0113891,-0.00407613,0.0125233,-0.00299307,0.613672,-0.00049543,-0.0159647,0.00231109,0.00342822,0.0016999,0.368955,-0.00232205,0.0519845,-0.0014316,0.00475833,0.00303341,-0.909759,-0.000248787,0.194048,0.00279716,-0.00563251,-0.00704872,-0.413874,0.00193944,-0.111238,-0.00449569,0.00467472,-0.000450961,-0.0144482
cs_base_hour_current_day,0.000870061,1,-0.00148914,0.00421141,-0.00876266,0.0080325,0.00030651,-0.691402,0.00116254,0.000387398,0.0165109,-0.010733,0.00175523,0.662985,-0.0041609,0.000419044,-0.0100439,-0.00893633,-0.00048011,0.321169,0.000790361,0.00705982,-0.0151949,-0.000128013,8.08177e-05,-0.873455,-0.000959261,-0.00822774,0.00825278,-0.00774019,-0.000999803,-0.489108,0.0039698,0.000161664,0.0166041,0.00500206,-0.00191815
cs_base_hour_current_hour_minus,-0.123786,-0.00148914,1,0.00137089,-0.0282793,0.000786635,0.171285,0.000623672,-0.741568,-0.00300248,0.0180753,-0.00358505,0.118751,-0.00200974,0.728345,-0.00015929,-0.0166523,0.000732541,0.359562,-0.00033088,0.279916,-0.000807812,-0.0495002,0.00339507,-0.0352562,0.00150049,-0.888225,-0.000889082,0.0613705,-0.00160687,-0.164847,0.000999926,-0.568673,-0.000357847,0.00681279,-0.00207039,0.00990202
cs_base_hour_current_month,0.00126036,0.00421141,0.00137089,1,0.0353841,-0.0244939,0.00028824,-0.0116541,-0.00239299,-0.679613,-0.0225428,0.0152836,0.00115693,-0.000419971,-0.00114758,0.647847,0.0196259,0.104014,0.000252952,-0.000437143,-0.00197045,0.295267,0.00847689,0.211649,-0.000824827,-0.000183662,-0.000388045,-0.874455,-0.0387851,-0.0302272,-0.000265845,-0.00308255,0.00050832,-0.459818,-0.00229304,-0.163593,0.013937
cs_base_hour_current_year,-0.00142125,-0.00876266,-0.0282793,0.0353841,1,0.00825112,0.00130436,0.00454294,0.0280842,0.0016222,-0.776845,-0.00204251,-0.0012488,-0.00618182,-0.0363105,0.000168897,0.667212,0.00791616,-0.00035018,0.00561771,-0.0700034,0.0365625,0.198994,0.00295244,0.000838032,0.00148487,0.0696807,-0.0631453,-0.883886,-0.00280559,0.000834502,0.00319942,0.0327401,0.0173968,-0.478647,-0.0178726,0.215849
cs_base_hour_current_month_minus,0.00449721,0.0080325,0.000786635,-0.0244939,0.00825112,1,-0.00226766,0.0120336,-0.00184867,-0.0194683,-0.0297433,-0.699895,0.00376773,0.00547097,0.000626557,0.0961075,0.0109374,0.680407,0.00265063,-0.00584164,0.000350427,0.245506,0.0104712,0.33525,-0.00380536,-0.0106348,0.00035528,-0.0466,-0.00339269,-0.874278,-0.00223532,0.01001,-0.00144187,-0.17216,-0.0148861,-0.514768,0.0418187
cs_base_day_current_hour,-0.585837,0.00030651,0.171285,0.00028824,0.00130436,-0.00226766,1,-0.000397709,0.0480337,0.00359033,-0.0105116,0.00077648,-0.376335,0.000928053,-0.0526148,-0.0010894,-0.00259063,-0.000564172,-0.566651,0.000637563,-0.0511037,0.000565638,-0.00483623,-0.00212176,0.589852,-0.000145197,-0.238212,-0.00346516,0.00497256,0.00481706,0.551446,-0.000548074,0.108157,0.00386763,-0.00407562,-0.000773538,0.0129361
cs_base_day_current_day,9.19472e-05,-0.691402,0.000623672,-0.0116541,0.00454294,0.0120336,-0.000397709,1,-0.000833747,0.0104679,-0.0107332,-0.00629869,0.000418074,-0.487981,0.00191412,-0.0119703,0.00556185,0.00929511,0.0011386,-0.488835,-0.000511254,-0.0120372,0.00755868,-0.00827197,-0.000423049,0.579698,0.00112286,0.0103402,-0.00271971,-0.0040245,-0.000547861,0.665099,-0.00220581,0.0123266,-0.00999419,-0.00420288,0.00554412
cs_base_day_current_hour_minus,0.0113891,0.00116254,-0.741568,-0.00239299,0.0280842,-0.00184867,0.0480337,-0.000833747,1,0.00482916,-0.0234772,0.00346765,-0.262267,0.00167491,-0.540878,-0.00186214,0.0134285,-0.000112466,-0.473012,0.00125102,-0.454191,0.00138362,0.0450448,-0.00371041,0.0485379,-0.00171411,0.655991,-0.000330972,-0.0569695,0.00390621,0.257459,-0.00112015,0.697821,0.00327406,-0.00775238,0.00112801,-0.00159028
cs_base_day_current_month,-0.00407613,0.000387398,-0.00300248,-0.679613,0.0016222,-0.0194683,0.00359033,0.0104679,0.00482916,1,0.00448045,-0.00958674,-0.00277709,0.00127105,-0.00277868,-0.484125,0.027389,-0.166547,-0.0021434,0.000326508,-0.00581305,-0.497908,-0.0243471,-0.171109,0.00351742,-0.00524507,0.00555798,0.579104,0.0299718,0.0846596,0.00237328,0.00583865,0.0036182,0.653723,-0.0245193,0.0941745,0.00999066
