,date,weekday
0,2025-06-18 09:09:38.564435+08:00,Wednesday
1,2025-06-18 10:09:38.564435+08:00,Wednesday
2,2025-06-18 11:09:38.564435+08:00,Wednesday
3,2025-06-18 12:09:38.564435+08:00,Wednesday
4,2025-06-18 13:09:38.564435+08:00,Wednesday
5,2025-06-18 14:09:38.564435+08:00,Wednesday
6,2025-06-18 15:09:38.564435+08:00,Wednesday
7,2025-06-18 16:09:38.564435+08:00,Wednesday
8,2025-06-19 09:09:38.564435+08:00,Thursday
9,2025-06-19 10:09:38.564435+08:00,Thursday
10,2025-06-19 11:09:38.564435+08:00,Thursday
11,2025-06-19 12:09:38.564435+08:00,Thursday
12,2025-06-19 13:09:38.564435+08:00,Thursday
13,2025-06-19 14:09:38.564435+08:00,Thursday
14,2025-06-19 15:09:38.564435+08:00,Thursday
15,2025-06-19 16:09:38.564435+08:00,Thursday
16,2025-06-20 09:09:38.564435+08:00,Friday
17,2025-06-20 10:09:38.564435+08:00,Friday
18,2025-06-20 11:09:38.564435+08:00,Friday
19,2025-06-20 12:09:38.564435+08:00,Friday
20,2025-06-20 13:09:38.564435+08:00,Friday
21,2025-06-20 14:09:38.564435+08:00,Friday
22,2025-06-20 15:09:38.564435+08:00,Friday
23,2025-06-20 16:09:38.564435+08:00,Friday
24,2025-06-23 09:09:38.564435+08:00,Monday
25,2025-06-23 10:09:38.564435+08:00,Monday
26,2025-06-23 11:09:38.564435+08:00,Monday
27,2025-06-23 12:09:38.564435+08:00,Monday
28,2025-06-23 13:09:38.564435+08:00,Monday
29,2025-06-23 14:09:38.564435+08:00,Monday
30,2025-06-23 15:09:38.564435+08:00,Monday
31,2025-06-23 16:09:38.564435+08:00,Monday
32,2025-06-24 09:09:38.564435+08:00,Tuesday
33,2025-06-24 10:09:38.564435+08:00,Tuesday
34,2025-06-24 11:09:38.564435+08:00,Tuesday
35,2025-06-24 12:09:38.564435+08:00,Tuesday
36,2025-06-24 13:09:38.564435+08:00,Tuesday
37,2025-06-24 14:09:38.564435+08:00,Tuesday
38,2025-06-24 15:09:38.564435+08:00,Tuesday
39,2025-06-24 16:09:38.564435+08:00,Tuesday
40,2025-06-25 09:09:38.564435+08:00,Wednesday
41,2025-06-25 10:09:38.564435+08:00,Wednesday
42,2025-06-25 11:09:38.564435+08:00,Wednesday
43,2025-06-25 12:09:38.564435+08:00,Wednesday
44,2025-06-25 13:09:38.564435+08:00,Wednesday
45,2025-06-25 14:09:38.564435+08:00,Wednesday
46,2025-06-25 15:09:38.564435+08:00,Wednesday
47,2025-06-25 16:09:38.564435+08:00,Wednesday
48,2025-06-26 09:09:38.564435+08:00,Thursday
49,2025-06-26 10:09:38.564435+08:00,Thursday
50,2025-06-26 11:09:38.564435+08:00,Thursday
51,2025-06-26 12:09:38.564435+08:00,Thursday
52,2025-06-26 13:09:38.564435+08:00,Thursday
53,2025-06-26 14:09:38.564435+08:00,Thursday
54,2025-06-26 15:09:38.564435+08:00,Thursday
55,2025-06-26 16:09:38.564435+08:00,Thursday
56,2025-06-27 09:09:38.564435+08:00,Friday
57,2025-06-27 10:09:38.564435+08:00,Friday
58,2025-06-27 11:09:38.564435+08:00,Friday
59,2025-06-27 12:09:38.564435+08:00,Friday
60,2025-06-27 13:09:38.564435+08:00,Friday
61,2025-06-27 14:09:38.564435+08:00,Friday
62,2025-06-27 15:09:38.564435+08:00,Friday
63,2025-06-27 16:09:38.564435+08:00,Friday
64,2025-06-30 09:09:38.564435+08:00,Monday
65,2025-06-30 10:09:38.564435+08:00,Monday
66,2025-06-30 11:09:38.564435+08:00,Monday
67,2025-06-30 12:09:38.564435+08:00,Monday
68,2025-06-30 13:09:38.564435+08:00,Monday
69,2025-06-30 14:09:38.564435+08:00,Monday
70,2025-06-30 15:09:38.564435+08:00,Monday
71,2025-06-30 16:09:38.564435+08:00,Monday
72,2025-07-01 09:09:38.564435+08:00,Tuesday
73,2025-07-01 10:09:38.564435+08:00,Tuesday
74,2025-07-01 11:09:38.564435+08:00,Tuesday
75,2025-07-01 12:09:38.564435+08:00,Tuesday
76,2025-07-01 13:09:38.564435+08:00,Tuesday
77,2025-07-01 14:09:38.564435+08:00,Tuesday
78,2025-07-01 15:09:38.564435+08:00,Tuesday
79,2025-07-01 16:09:38.564435+08:00,Tuesday
80,2025-07-02 09:09:38.564435+08:00,Wednesday
81,2025-07-02 10:09:38.564435+08:00,Wednesday
82,2025-07-02 11:09:38.564435+08:00,Wednesday
83,2025-07-02 12:09:38.564435+08:00,Wednesday
84,2025-07-02 13:09:38.564435+08:00,Wednesday
85,2025-07-02 14:09:38.564435+08:00,Wednesday
86,2025-07-02 15:09:38.564435+08:00,Wednesday
87,2025-07-02 16:09:38.564435+08:00,Wednesday
88,2025-07-03 09:09:38.564435+08:00,Thursday
89,2025-07-03 10:09:38.564435+08:00,Thursday
90,2025-07-03 11:09:38.564435+08:00,Thursday
91,2025-07-03 12:09:38.564435+08:00,Thursday
92,2025-07-03 13:09:38.564435+08:00,Thursday
93,2025-07-03 14:09:38.564435+08:00,Thursday
94,2025-07-03 15:09:38.564435+08:00,Thursday
95,2025-07-03 16:09:38.564435+08:00,Thursday
96,2025-07-04 09:09:38.564435+08:00,Friday
97,2025-07-04 10:09:38.564435+08:00,Friday
98,2025-07-04 11:09:38.564435+08:00,Friday
99,2025-07-04 12:09:38.564435+08:00,Friday
100,2025-07-04 13:09:38.564435+08:00,Friday
101,2025-07-04 14:09:38.564435+08:00,Friday
102,2025-07-04 15:09:38.564435+08:00,Friday
103,2025-07-04 16:09:38.564435+08:00,Friday
104,2025-07-07 09:09:38.564435+08:00,Monday
105,2025-07-07 10:09:38.564435+08:00,Monday
106,2025-07-07 11:09:38.564435+08:00,Monday
107,2025-07-07 12:09:38.564435+08:00,Monday
108,2025-07-07 13:09:38.564435+08:00,Monday
109,2025-07-07 14:09:38.564435+08:00,Monday
110,2025-07-07 15:09:38.564435+08:00,Monday
111,2025-07-07 16:09:38.564435+08:00,Monday
112,2025-07-08 09:09:38.564435+08:00,Tuesday
113,2025-07-08 10:09:38.564435+08:00,Tuesday
114,2025-07-08 11:09:38.564435+08:00,Tuesday
115,2025-07-08 12:09:38.564435+08:00,Tuesday
