,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,6,6,1,4,10,1,7,2,9,10,0,9,2,4,0,6,10,0,3,3,1,8,8,1,2,7,11,5,1,11,9,5,9,7,1,9
1,1,10,6,4,10,1,6,4,2,10,0,9,4,7,4,6,10,0,8,2,3,8,8,1,7,3,7,5,1,11,4,6,5,7,1,9
2,7,10,7,4,10,1,1,4,8,10,0,9,7,7,10,6,10,0,9,2,5,8,8,1,0,3,6,5,1,11,0,6,3,7,1,9
3,3,10,11,4,10,1,3,4,0,10,0,9,1,7,11,6,10,0,6,2,9,8,8,1,4,3,1,5,1,11,7,6,1,7,1,9
4,2,10,10,4,10,1,5,4,4,10,0,9,6,7,7,6,10,0,5,2,2,8,8,1,8,3,3,5,1,11,2,6,6,7,1,9
5,0,10,4,4,10,1,9,4,10,10,0,9,0,7,6,6,10,0,0,2,8,8,8,1,9,3,5,5,1,11,8,6,7,7,1,9
6,4,10,0,4,10,1,2,4,11,10,0,9,3,7,1,6,10,0,2,2,0,8,8,1,6,3,9,5,1,11,5,6,11,7,1,9
7,5,7,8,4,10,1,8,8,7,10,0,9,8,10,3,6,10,0,4,5,4,8,8,1,5,6,2,5,1,11,3,3,10,7,1,9
8,6,7,1,4,10,1,7,8,9,10,0,9,2,10,0,6,10,0,3,5,1,8,8,1,2,6,11,5,1,11,9,3,9,7,1,9
9,1,4,6,4,10,1,6,10,2,10,0,9,4,6,4,6,10,0,8,8,3,8,8,1,7,5,7,5,1,11,4,7,5,7,1,9
10,7,4,7,4,10,1,1,10,8,10,0,9,7,6,10,6,10,0,9,8,5,8,8,1,0,5,6,5,1,11,0,7,3,7,1,9
11,3,4,11,4,10,1,3,10,0,10,0,9,1,6,11,6,10,0,6,8,9,8,8,1,4,5,1,5,1,11,7,7,1,7,1,9
12,2,4,10,4,10,1,5,10,4,10,0,9,6,6,7,6,10,0,5,8,2,8,8,1,8,5,3,5,1,11,2,7,6,7,1,9
13,0,4,4,4,10,1,9,10,10,10,0,9,0,6,6,6,10,0,0,8,8,8,8,1,9,5,5,5,1,11,8,7,7,7,1,9
14,4,4,0,4,10,1,2,10,11,10,0,9,3,6,1,6,10,0,2,8,0,8,8,1,6,5,9,5,1,11,5,7,11,7,1,9
15,5,11,8,4,10,1,8,0,7,10,0,9,8,11,3,6,10,0,4,9,4,8,8,1,5,1,2,5,1,11,3,1,10,7,1,9
16,6,11,1,4,10,1,7,0,9,10,0,9,2,11,0,6,10,0,3,9,1,8,8,1,2,1,11,5,1,11,9,1,9,7,1,9
17,1,0,6,4,10,1,6,11,2,10,0,9,4,1,4,6,10,0,8,0,3,8,8,1,7,9,7,5,1,11,4,11,5,7,1,9
18,7,0,7,4,10,1,1,11,8,10,0,9,7,1,10,6,10,0,9,0,5,8,8,1,0,9,6,5,1,11,0,11,3,7,1,9
19,3,0,11,4,10,1,3,11,0,10,0,9,1,1,11,6,10,0,6,0,9,8,8,1,4,9,1,5,1,11,7,11,1,7,1,9
20,2,0,10,4,10,1,5,11,4,10,0,9,6,1,7,6,10,0,5,0,2,8,8,1,8,9,3,5,1,11,2,11,6,7,1,9
21,0,0,4,4,10,1,9,11,10,10,0,9,0,1,6,6,10,0,0,0,8,8,8,1,9,9,5,5,1,11,8,11,7,7,1,9
22,4,0,0,4,10,1,2,11,11,10,0,9,3,1,1,6,10,0,2,0,0,8,8,1,6,9,9,5,1,11,5,11,11,7,1,9
23,5,10,8,4,10,1,8,4,7,10,0,9,8,7,3,6,10,0,4,2,4,8,8,1,5,3,2,5,1,11,3,6,10,7,1,9
24,6,0,1,11,10,5,7,11,9,0,0,3,2,1,0,11,10,2,3,0,1,9,8,7,2,9,11,1,1,4,9,11,9,1,1,8
25,1,9,6,11,10,5,6,1,2,0,0,3,4,9,4,11,10,2,8,11,3,9,8,7,7,0,7,1,1,4,4,0,5,1,1,8
26,7,9,7,11,10,5,1,1,8,0,0,3,7,9,10,11,10,2,9,11,5,9,8,7,0,0,6,1,1,4,0,0,3,1,1,8
27,3,9,11,11,10,5,3,1,0,0,0,3,1,9,11,11,10,2,6,11,9,9,8,7,4,0,1,1,1,4,7,0,1,1,1,8
28,2,9,10,11,10,5,5,1,4,0,0,3,6,9,7,11,10,2,5,11,2,9,8,7,8,0,3,1,1,4,2,0,6,1,1,8
29,0,9,4,11,10,5,9,1,10,0,0,3,0,9,6,11,10,2,0,11,8,9,8,7,9,0,5,1,1,4,8,0,7,1,1,8
30,4,9,0,11,10,5,2,1,11,0,0,3,3,9,1,11,10,2,2,11,0,9,8,7,6,0,9,1,1,4,5,0,11,1,1,8
31,5,8,8,11,10,5,8,7,7,0,0,3,8,3,3,11,10,2,4,4,4,9,8,7,5,2,2,1,1,4,3,10,10,1,1,8
32,6,8,1,11,10,5,7,7,9,0,0,3,2,3,0,11,10,2,3,4,1,9,8,7,2,2,11,1,1,4,9,10,9,1,1,8
33,1,5,6,11,10,5,6,3,2,0,0,3,4,2,4,11,10,2,8,7,3,9,8,7,7,4,7,1,1,4,4,8,5,1,1,8
34,7,5,7,11,10,5,1,3,8,0,0,3,7,2,10,11,10,2,9,7,5,9,8,7,0,4,6,1,1,4,0,8,3,1,1,8
35,3,5,11,11,10,5,3,3,0,0,0,3,1,2,11,11,10,2,6,7,9,9,8,7,4,4,1,1,1,4,7,8,1,1,1,8
36,2,5,10,11,10,5,5,3,4,0,0,3,6,2,7,11,10,2,5,7,2,9,8,7,8,4,3,1,1,4,2,8,6,1,1,8
37,0,5,4,11,10,5,9,3,10,0,0,3,0,2,6,11,10,2,0,7,8,9,8,7,9,4,5,1,1,4,8,8,7,1,1,8
38,4,5,0,11,10,5,2,3,11,0,0,3,3,2,1,11,10,2,2,7,0,9,8,7,6,4,9,1,1,4,5,8,11,1,1,8
39,5,2,8,11,10,5,8,6,7,0,0,3,8,5,3,11,10,2,4,10,4,9,8,7,5,8,2,1,1,4,3,4,10,1,1,8
40,6,2,1,11,10,5,7,6,9,0,0,3,2,5,0,11,10,2,3,10,1,9,8,7,2,8,11,1,1,4,9,4,9,1,1,8
41,1,3,6,11,10,5,6,5,2,0,0,3,4,8,4,11,10,2,8,6,3,9,8,7,7,10,7,1,1,4,4,2,5,1,1,8
42,7,3,7,11,10,5,1,5,8,0,0,3,7,8,10,11,10,2,9,6,5,9,8,7,0,10,6,1,1,4,0,2,3,1,1,8
43,3,3,11,11,10,5,3,5,0,0,0,3,1,8,11,11,10,2,6,6,9,9,8,7,4,10,1,1,1,4,7,2,1,1,1,8
44,2,3,10,11,10,5,5,5,4,0,0,3,6,8,7,11,10,2,5,6,2,9,8,7,8,10,3,1,1,4,2,2,6,1,1,8
45,0,3,4,11,10,5,9,5,10,0,0,3,0,8,6,11,10,2,0,6,8,9,8,7,9,10,5,1,1,4,8,2,7,1,1,8
46,4,3,0,11,10,5,2,5,11,0,0,3,3,8,1,11,10,2,2,6,0,9,8,7,6,10,9,1,1,4,5,2,11,1,1,8
47,5,9,8,11,10,5,8,1,7,0,0,3,8,9,3,11,10,2,4,11,4,9,8,7,5,0,2,1,1,4,3,0,10,1,1,8
48,6,9,1,11,10,5,7,1,9,0,0,3,2,9,0,11,10,2,3,11,1,9,8,7,2,0,11,1,1,4,9,0,9,1,1,8
49,1,1,6,11,10,5,6,9,2,0,0,3,4,0,4,11,10,2,8,1,3,9,8,7,7,11,7,1,1,4,4,9,5,1,1,8
50,7,1,7,11,10,5,1,9,8,0,0,3,7,0,10,11,10,2,9,1,5,9,8,7,0,11,6,1,1,4,0,9,3,1,1,8
51,3,1,11,11,10,5,3,9,0,0,0,3,1,0,11,11,10,2,6,1,9,9,8,7,4,11,1,1,1,4,7,9,1,1,1,8
52,2,1,10,11,10,5,5,9,4,0,0,3,6,0,7,11,10,2,5,1,2,9,8,7,8,11,3,1,1,4,2,9,6,1,1,8
53,0,1,4,11,10,5,9,9,10,0,0,3,0,0,6,11,10,2,0,1,8,9,8,7,9,11,5,1,1,4,8,9,7,1,1,8
54,4,1,0,11,10,5,2,9,11,0,0,3,3,0,1,11,10,2,2,1,0,9,8,7,6,11,9,1,1,4,5,9,11,1,1,8
55,5,5,8,11,10,5,8,3,7,0,0,3,8,2,3,11,10,2,4,7,4,9,8,7,5,4,2,1,1,4,3,8,10,1,1,8
56,6,5,1,11,10,5,7,3,9,0,0,3,2,2,0,11,10,2,3,7,1,9,8,7,2,4,11,1,1,4,9,8,9,1,1,8
57,1,6,6,11,10,5,6,2,2,0,0,3,4,4,4,11,10,2,8,3,3,9,8,7,7,7,7,1,1,4,4,5,5,1,1,8
58,7,6,7,11,10,5,1,2,8,0,0,3,7,4,10,11,10,2,9,3,5,9,8,7,0,7,6,1,1,4,0,5,3,1,1,8
59,3,6,11,11,10,5,3,2,0,0,0,3,1,4,11,11,10,2,6,3,9,9,8,7,4,7,1,1,1,4,7,5,1,1,1,8
60,2,6,10,11,10,5,5,2,4,0,0,3,6,4,7,11,10,2,5,3,2,9,8,7,8,7,3,1,1,4,2,5,6,1,1,8
61,0,6,4,11,10,5,9,2,10,0,0,3,0,4,6,11,10,2,0,3,8,9,8,7,9,7,5,1,1,4,8,5,7,1,1,8
62,4,6,0,11,10,5,2,2,11,0,0,3,3,4,1,11,10,2,2,3,0,9,8,7,6,7,9,1,1,4,5,5,11,1,1,8
63,5,3,8,11,10,5,8,5,7,0,0,3,8,8,3,11,10,2,4,6,4,9,8,7,5,10,2,1,1,4,3,2,10,1,1,8
64,6,6,1,11,10,5,7,2,9,0,0,3,2,4,0,11,10,2,3,3,1,9,8,7,2,7,11,1,1,4,9,5,9,1,1,8
65,1,10,6,11,10,5,6,4,2,0,0,3,4,7,4,11,10,2,8,2,3,9,8,7,7,3,7,1,1,4,4,6,5,1,1,8
66,7,10,7,11,10,5,1,4,8,0,0,3,7,7,10,11,10,2,9,2,5,9,8,7,0,3,6,1,1,4,0,6,3,1,1,8
67,3,10,11,11,10,5,3,4,0,0,0,3,1,7,11,11,10,2,6,2,9,9,8,7,4,3,1,1,1,4,7,6,1,1,1,8
