,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2,0,6,8,3,7,8,9,7,2,5,6,5,1,4,3,6,10,2,0,6,8,4,7,2,0,6,8,4,7,6,11,2,7,9,8
1,2,0,6,8,3,7,8,9,7,2,5,6,5,1,4,3,6,10,2,0,6,8,4,7,2,0,6,8,4,7,6,11,2,7,9,8
2,8,11,1,8,3,7,2,1,11,2,5,6,3,11,0,3,6,10,8,11,1,8,4,7,7,11,1,8,4,7,7,0,9,7,9,8
3,8,11,1,8,3,7,2,1,11,2,5,6,3,11,0,3,6,10,8,11,1,8,4,7,7,11,1,8,4,7,7,0,9,7,9,8
4,0,11,3,8,3,7,9,1,10,2,5,6,1,11,8,3,6,10,0,11,3,8,4,7,0,11,3,8,4,7,11,0,5,7,9,8
5,0,11,3,8,3,7,9,1,10,2,5,6,1,11,8,3,6,10,0,11,3,8,4,7,0,11,3,8,4,7,11,0,5,7,9,8
6,4,11,5,8,3,7,5,1,4,2,5,6,6,11,2,3,6,10,4,11,5,8,4,7,4,11,5,8,4,7,10,0,3,7,9,8
7,4,11,5,8,3,7,5,1,4,2,5,6,6,11,2,3,6,10,4,11,5,8,4,7,4,11,5,8,4,7,10,0,3,7,9,8
8,2,4,6,8,3,7,8,5,7,2,5,6,5,6,4,3,6,10,2,4,6,8,4,7,2,4,6,8,4,7,6,10,2,7,9,8
9,2,4,6,8,3,7,8,5,7,2,5,6,5,6,4,3,6,10,2,4,6,8,4,7,2,4,6,8,4,7,6,10,2,7,9,8
10,8,7,1,8,3,7,2,6,11,2,5,6,3,10,0,3,6,10,8,7,1,8,4,7,7,7,1,8,4,7,7,8,9,7,9,8
11,8,7,1,8,3,7,2,6,11,2,5,6,3,10,0,3,6,10,8,7,1,8,4,7,7,7,1,8,4,7,7,8,9,7,9,8
12,0,7,3,8,3,7,9,6,10,2,5,6,1,10,8,3,6,10,0,7,3,8,4,7,0,7,3,8,4,7,11,8,5,7,9,8
13,0,7,3,8,3,7,9,6,10,2,5,6,1,10,8,3,6,10,0,7,3,8,4,7,0,7,3,8,4,7,11,8,5,7,9,8
14,4,7,5,8,3,7,5,6,4,2,5,6,6,10,2,3,6,10,4,7,5,8,4,7,4,7,5,8,4,7,10,8,3,7,9,8
15,4,7,5,8,3,7,5,6,4,2,5,6,6,10,2,3,6,10,4,7,5,8,4,7,4,7,5,8,4,7,10,8,3,7,9,8
16,2,7,6,10,3,3,8,6,7,3,5,10,5,10,4,7,6,8,2,7,6,10,4,3,2,7,6,10,4,3,6,8,2,4,9,5
17,2,7,6,10,3,3,8,6,7,3,5,10,5,10,4,7,6,8,2,7,6,10,4,3,2,7,6,10,4,3,6,8,2,4,9,5
18,8,3,1,10,3,3,2,10,11,3,5,10,3,8,0,7,6,8,8,3,1,10,4,3,7,3,1,10,4,3,7,5,9,4,9,5
19,8,3,1,10,3,3,2,10,11,3,5,10,3,8,0,7,6,8,8,3,1,10,4,3,7,3,1,10,4,3,7,5,9,4,9,5
20,0,3,3,10,3,3,9,10,10,3,5,10,1,8,8,7,6,8,0,3,3,10,4,3,0,3,3,10,4,3,11,5,5,4,9,5
21,0,3,3,10,3,3,9,10,10,3,5,10,1,8,8,7,6,8,0,3,3,10,4,3,0,3,3,10,4,3,11,5,5,4,9,5
22,4,3,5,10,3,3,5,10,4,3,5,10,6,8,2,7,6,8,4,3,5,10,4,3,4,3,5,10,4,3,10,5,3,4,9,5
23,4,3,5,10,3,3,5,10,4,3,5,10,6,8,2,7,6,8,4,3,5,10,4,3,4,3,5,10,4,3,10,5,3,4,9,5
24,2,6,6,10,3,3,8,7,7,3,5,10,5,4,4,7,6,8,2,6,6,10,4,3,2,6,6,10,4,3,6,2,2,4,9,5
25,2,6,6,10,3,3,8,7,7,3,5,10,5,4,4,7,6,8,2,6,6,10,4,3,2,6,6,10,4,3,6,2,2,4,9,5
