,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2,0,6,8,3,7,10,0,3,4,7,5,5,11,2,7,9,8,5,11,2,7,10,8,8,0,3,4,8,5,2,0,6,8,4,7
1,2,0,6,8,3,7,10,0,3,4,7,5,5,11,2,7,9,8,5,11,2,7,10,8,8,0,3,4,8,5,2,0,6,8,4,7
2,8,11,1,8,3,7,4,9,1,4,7,5,6,0,9,7,9,8,6,0,9,7,10,8,4,9,1,4,8,5,7,11,1,8,4,7
3,8,11,1,8,3,7,4,9,1,4,7,5,6,0,9,7,9,8,6,0,9,7,10,8,4,9,1,4,8,5,7,11,1,8,4,7
4,0,11,3,8,3,7,0,9,6,4,7,5,10,0,5,7,9,8,9,0,5,7,10,8,0,9,6,4,8,5,0,11,3,8,4,7
5,0,11,3,8,3,7,0,9,6,4,7,5,10,0,5,7,9,8,9,0,5,7,10,8,0,9,6,4,8,5,0,11,3,8,4,7
6,4,11,5,8,3,7,8,9,7,4,7,5,9,0,3,7,9,8,8,0,3,7,10,8,7,9,7,4,8,5,4,11,5,8,4,7
7,4,11,5,8,3,7,8,9,7,4,7,5,9,0,3,7,9,8,8,0,3,7,10,8,7,9,7,4,8,5,4,11,5,8,4,7
8,2,4,6,8,3,7,10,8,3,4,7,5,5,10,2,7,9,8,5,10,2,7,10,8,8,8,3,4,8,5,2,4,6,8,4,7
9,2,4,6,8,3,7,10,8,3,4,7,5,5,10,2,7,9,8,5,10,2,7,10,8,8,8,3,4,8,5,2,4,6,8,4,7
10,8,7,1,8,3,7,4,5,1,4,7,5,6,8,9,7,9,8,6,8,9,7,10,8,4,5,1,4,8,5,7,7,1,8,4,7
11,8,7,1,8,3,7,4,5,1,4,7,5,6,8,9,7,9,8,6,8,9,7,10,8,4,5,1,4,8,5,7,7,1,8,4,7
12,0,7,3,8,3,7,0,5,6,4,7,5,10,8,5,7,9,8,9,8,5,7,10,8,0,5,6,4,8,5,0,7,3,8,4,7
13,0,7,3,8,3,7,0,5,6,4,7,5,10,8,5,7,9,8,9,8,5,7,10,8,0,5,6,4,8,5,0,7,3,8,4,7
14,4,7,5,8,3,7,8,5,7,4,7,5,9,8,3,7,9,8,8,8,3,7,10,8,7,5,7,4,8,5,4,7,5,8,4,7
15,4,7,5,8,3,7,8,5,7,4,7,5,9,8,3,7,9,8,8,8,3,7,10,8,7,5,7,4,8,5,4,7,5,8,4,7
16,2,7,6,10,3,3,10,5,3,2,7,6,5,8,2,4,9,5,5,8,2,4,10,5,8,5,3,2,8,6,2,7,6,10,4,3
17,2,7,6,10,3,3,10,5,3,2,7,6,5,8,2,4,9,5,5,8,2,4,10,5,8,5,3,2,8,6,2,7,6,10,4,3
18,8,3,1,10,3,3,4,6,1,2,7,6,6,5,9,4,9,5,6,5,9,4,10,5,4,6,1,2,8,6,7,3,1,10,4,3
19,8,3,1,10,3,3,4,6,1,2,7,6,6,5,9,4,9,5,6,5,9,4,10,5,4,6,1,2,8,6,7,3,1,10,4,3
20,0,3,3,10,3,3,0,6,6,2,7,6,10,5,5,4,9,5,9,5,5,4,10,5,0,6,6,2,8,6,0,3,3,10,4,3
21,0,3,3,10,3,3,0,6,6,2,7,6,10,5,5,4,9,5,9,5,5,4,10,5,0,6,6,2,8,6,0,3,3,10,4,3
22,4,3,5,10,3,3,8,6,7,2,7,6,9,5,3,4,9,5,8,5,3,4,10,5,7,6,7,2,8,6,4,3,5,10,4,3
23,4,3,5,10,3,3,8,6,7,2,7,6,9,5,3,4,9,5,8,5,3,4,10,5,7,6,7,2,8,6,4,3,5,10,4,3
24,2,6,6,10,3,3,10,3,3,2,7,6,5,2,2,4,9,5,5,2,2,4,10,5,8,3,3,2,8,6,2,6,6,10,4,3
25,2,6,6,10,3,3,10,3,3,2,7,6,5,2,2,4,9,5,5,2,2,4,10,5,8,3,3,2,8,6,2,6,6,10,4,3
26,8,5,1,10,3,3,4,7,1,2,7,6,6,3,9,4,9,5,6,3,9,4,10,5,4,7,1,2,8,6,7,5,1,10,4,3
27,8,5,1,10,3,3,4,7,1,2,7,6,6,3,9,4,9,5,6,3,9,4,10,5,4,7,1,2,8,6,7,5,1,10,4,3
28,0,5,3,10,3,3,0,7,6,2,7,6,10,3,5,4,9,5,9,3,5,4,10,5,0,7,6,2,8,6,0,5,3,10,4,3
29,0,5,3,10,3,3,0,7,6,2,7,6,10,3,5,4,9,5,9,3,5,4,10,5,0,7,6,2,8,6,0,5,3,10,4,3
30,4,5,5,10,3,3,8,7,7,2,7,6,9,3,3,4,9,5,8,3,3,4,10,5,7,7,7,2,8,6,4,5,5,10,4,3
31,4,5,5,10,3,3,8,7,7,2,7,6,9,3,3,4,9,5,8,3,3,4,10,5,7,7,7,2,8,6,4,5,5,10,4,3
32,2,1,6,10,3,3,10,1,3,2,7,6,5,9,2,4,9,5,5,9,2,4,10,5,8,1,3,2,8,6,2,1,6,10,4,3
33,2,1,6,10,3,3,10,1,3,2,7,6,5,9,2,4,9,5,5,9,2,4,10,5,8,1,3,2,8,6,2,1,6,10,4,3
34,8,9,1,10,3,3,4,11,1,2,7,6,6,1,9,4,9,5,6,1,9,4,10,5,4,11,1,2,8,6,7,9,1,10,4,3
35,8,9,1,10,3,3,4,11,1,2,7,6,6,1,9,4,9,5,6,1,9,4,10,5,4,11,1,2,8,6,7,9,1,10,4,3
36,0,9,3,10,3,3,0,11,6,2,7,6,10,1,5,4,9,5,9,1,5,4,10,5,0,11,6,2,8,6,0,9,3,10,4,3
37,0,9,3,10,3,3,0,11,6,2,7,6,10,1,5,4,9,5,9,1,5,4,10,5,0,11,6,2,8,6,0,9,3,10,4,3
38,4,9,5,10,3,3,8,11,7,2,7,6,9,1,3,4,9,5,8,1,3,4,10,5,7,11,7,2,8,6,4,9,5,10,4,3
39,4,9,5,10,3,3,8,11,7,2,7,6,9,1,3,4,9,5,8,1,3,4,10,5,7,11,7,2,8,6,4,9,5,10,4,3
40,2,3,6,10,3,3,10,6,3,2,7,6,5,5,2,4,9,5,5,5,2,4,10,5,8,6,3,2,8,6,2,3,6,10,4,3
41,2,3,6,10,3,3,10,6,3,2,7,6,5,5,2,4,9,5,5,5,2,4,10,5,8,6,3,2,8,6,2,3,6,10,4,3
42,8,2,1,10,3,3,4,10,1,2,7,6,6,6,9,4,9,5,6,6,9,4,10,5,4,10,1,2,8,6,7,2,1,10,4,3
43,8,2,1,10,3,3,4,10,1,2,7,6,6,6,9,4,9,5,6,6,9,4,10,5,4,10,1,2,8,6,7,2,1,10,4,3
44,0,2,3,10,3,3,0,10,6,2,7,6,10,6,5,4,9,5,9,6,5,4,10,5,0,10,6,2,8,6,0,2,3,10,4,3
45,0,2,3,10,3,3,0,10,6,2,7,6,10,6,5,4,9,5,9,6,5,4,10,5,0,10,6,2,8,6,0,2,3,10,4,3
46,4,2,5,10,3,3,8,10,7,2,7,6,9,6,3,4,9,5,8,6,3,4,10,5,7,10,7,2,8,6,4,2,5,10,4,3
47,4,2,5,10,3,3,8,10,7,2,7,6,9,6,3,4,9,5,8,6,3,4,10,5,7,10,7,2,8,6,4,2,5,10,4,3
