,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date
0,2025-06-23 09:02:00.594401+08:00,2025-06-23 09:02:00.594401+08:00,HSI,丁巳,癸亥,戊午,壬子,丁酉,庚申,乙丑,壬寅,丁巳,癸子,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,15364901200091550831,2025-06-21 23:02:21.860382+08:00
1,2025-06-23 10:02:00.594401+08:00,2025-06-23 10:02:00.594401+08:00,HSI,丁巳,癸亥,戊午,壬子,丁酉,庚申,乙丑,壬寅,甲申,癸子,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,11676197978277413099,2025-06-21 23:02:21.860382+08:00
2,2025-06-23 11:02:00.594401+08:00,2025-06-23 11:02:00.594401+08:00,HSI,戊午,戊寅,癸酉,癸丑,丁酉,庚申,乙丑,壬寅,戊午,癸丑,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,3744504485303497512,2025-06-21 23:02:21.860382+08:00
3,2025-06-23 12:02:00.594401+08:00,2025-06-23 12:02:00.594401+08:00,HSI,戊午,戊寅,癸酉,癸丑,丁酉,庚申,乙丑,壬寅,乙酉,戊丑,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,6503019192533562548,2025-06-21 23:02:21.860382+08:00
4,2025-06-23 13:02:00.594401+08:00,2025-06-23 13:02:00.594401+08:00,HSI,己未,戊寅,癸酉,甲寅,丁酉,庚申,乙丑,壬寅,己未,戊丑,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,3664218084640735251,2025-06-21 23:02:21.860382+08:00
5,2025-06-23 14:02:00.594401+08:00,2025-06-23 14:02:00.594401+08:00,HSI,己未,戊寅,癸酉,甲寅,丁酉,庚申,乙丑,壬寅,丙戌,戊丑,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,5059132216543548711,2025-06-21 23:02:21.860382+08:00
6,2025-06-23 15:02:00.594401+08:00,2025-06-23 15:02:00.594401+08:00,HSI,庚申,戊寅,癸酉,乙卯,丁酉,庚申,乙丑,壬寅,庚申,戊寅,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,1726378233031652541,2025-06-21 23:02:21.860382+08:00
7,2025-06-23 16:02:00.594401+08:00,2025-06-23 16:02:00.594401+08:00,HSI,庚申,戊寅,癸酉,乙卯,丁酉,庚申,乙丑,壬寅,丁亥,戊寅,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,17182950832962152727,2025-06-21 23:02:21.860382+08:00
8,2025-06-24 09:02:00.594401+08:00,2025-06-24 09:02:00.594401+08:00,HSI,己巳,甲子,己未,甲子,丁酉,庚申,乙丑,壬寅,己巳,甲丑,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,15218885301826059777,2025-06-21 23:02:21.860382+08:00
9,2025-06-24 10:02:00.594401+08:00,2025-06-24 10:02:00.594401+08:00,HSI,己巳,甲子,己未,甲子,丁酉,庚申,乙丑,壬寅,丙申,甲丑,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,3619731155428222327,2025-06-21 23:02:21.860382+08:00
10,2025-06-24 11:02:00.594401+08:00,2025-06-24 11:02:00.594401+08:00,HSI,庚午,己卯,甲戌,乙丑,丁酉,庚申,乙丑,壬寅,庚午,甲寅,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,772304580992717033,2025-06-21 23:02:21.860382+08:00
11,2025-06-24 12:02:00.594401+08:00,2025-06-24 12:02:00.594401+08:00,HSI,庚午,己卯,甲戌,乙丑,丁酉,庚申,乙丑,壬寅,丁酉,己寅,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,1818735750472056315,2025-06-21 23:02:21.860382+08:00
12,2025-06-24 13:02:00.594401+08:00,2025-06-24 13:02:00.594401+08:00,HSI,辛未,己卯,甲戌,丙寅,丁酉,庚申,乙丑,壬寅,辛未,己寅,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,874411746727156431,2025-06-21 23:02:21.860382+08:00
13,2025-06-24 14:02:00.594401+08:00,2025-06-24 14:02:00.594401+08:00,HSI,辛未,己卯,甲戌,丙寅,丁酉,庚申,乙丑,壬寅,戊戌,己寅,己酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,13389901167925648114,2025-06-21 23:02:21.860382+08:00
14,2025-06-24 15:02:00.594401+08:00,2025-06-24 15:02:00.594401+08:00,HSI,壬申,己卯,甲戌,丁卯,丁酉,庚申,乙丑,壬寅,壬申,己卯,庚酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,14609349318002007909,2025-06-21 23:02:21.860382+08:00
15,2025-06-24 16:02:00.594401+08:00,2025-06-24 16:02:00.594401+08:00,HSI,壬申,己卯,甲戌,丁卯,丁酉,庚申,乙丑,壬寅,己亥,己卯,庚酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,10747278351644079473,2025-06-21 23:02:21.860382+08:00
16,2025-06-25 09:02:00.594401+08:00,2025-06-25 09:02:00.594401+08:00,HSI,辛巳,乙丑,庚申,丙子,丁酉,庚申,乙丑,壬寅,辛巳,乙寅,庚酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,11414782834392061636,2025-06-21 23:02:21.860382+08:00
17,2025-06-25 10:02:00.594401+08:00,2025-06-25 10:02:00.594401+08:00,HSI,辛巳,乙丑,庚申,丙子,丁酉,庚申,乙丑,壬寅,戊申,乙寅,庚酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,6382415518578692626,2025-06-21 23:02:21.860382+08:00
18,2025-06-25 11:02:00.594401+08:00,2025-06-25 11:02:00.594401+08:00,HSI,壬午,庚辰,乙亥,丁丑,丁酉,庚申,乙丑,壬寅,壬午,乙卯,庚酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,7736820987614368935,2025-06-21 23:02:21.860382+08:00
19,2025-06-25 12:02:00.594401+08:00,2025-06-25 12:02:00.594401+08:00,HSI,壬午,庚辰,乙亥,丁丑,丁酉,庚申,乙丑,壬寅,己酉,庚卯,庚酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,9400913327437246059,2025-06-21 23:02:21.860382+08:00
20,2025-06-25 13:02:00.594401+08:00,2025-06-25 13:02:00.594401+08:00,HSI,癸未,庚辰,乙亥,戊寅,丁酉,庚申,乙丑,壬寅,癸未,庚卯,庚酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,14282427026448238562,2025-06-21 23:02:21.860382+08:00
21,2025-06-25 14:02:00.594401+08:00,2025-06-25 14:02:00.594401+08:00,HSI,癸未,庚辰,乙亥,戊寅,丁酉,庚申,乙丑,壬寅,庚戌,庚卯,庚酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,17287886274148694344,2025-06-21 23:02:21.860382+08:00
22,2025-06-25 15:02:00.594401+08:00,2025-06-25 15:02:00.594401+08:00,HSI,甲申,庚辰,乙亥,己卯,丁酉,庚申,乙丑,壬寅,甲申,庚辰,庚酉,乙未,丙子,丙申,壬寅,戊申,辛丑,癸卯,辛巳,丁酉,HSI,2170571595956591424,2025-06-21 23:02:21.860382+08:00
