,date,weekday
0,2025-06-23 09:07:33.770289+08:00,Monday
1,2025-06-23 10:07:33.770289+08:00,Monday
2,2025-06-23 11:07:33.770289+08:00,Monday
3,2025-06-23 12:07:33.770289+08:00,Monday
4,2025-06-23 13:07:33.770289+08:00,Monday
5,2025-06-23 14:07:33.770289+08:00,Monday
6,2025-06-23 15:07:33.770289+08:00,Monday
7,2025-06-23 16:07:33.770289+08:00,Monday
8,2025-06-24 09:07:33.770289+08:00,Tuesday
9,2025-06-24 10:07:33.770289+08:00,Tuesday
10,2025-06-24 11:07:33.770289+08:00,Tuesday
11,2025-06-24 12:07:33.770289+08:00,Tuesday
12,2025-06-24 13:07:33.770289+08:00,Tuesday
13,2025-06-24 14:07:33.770289+08:00,Tuesday
14,2025-06-24 15:07:33.770289+08:00,Tuesday
15,2025-06-24 16:07:33.770289+08:00,Tuesday
16,2025-06-25 09:07:33.770289+08:00,Wednesday
17,2025-06-25 10:07:33.770289+08:00,Wednesday
18,2025-06-25 11:07:33.770289+08:00,Wednesday
19,2025-06-25 12:07:33.770289+08:00,Wednesday
20,2025-06-25 13:07:33.770289+08:00,Wednesday
21,2025-06-25 14:07:33.770289+08:00,Wednesday
22,2025-06-25 15:07:33.770289+08:00,Wednesday
23,2025-06-25 16:07:33.770289+08:00,Wednesday
24,2025-06-26 09:07:33.770289+08:00,Thursday
25,2025-06-26 10:07:33.770289+08:00,Thursday
26,2025-06-26 11:07:33.770289+08:00,Thursday
27,2025-06-26 12:07:33.770289+08:00,Thursday
28,2025-06-26 13:07:33.770289+08:00,Thursday
29,2025-06-26 14:07:33.770289+08:00,Thursday
30,2025-06-26 15:07:33.770289+08:00,Thursday
31,2025-06-26 16:07:33.770289+08:00,Thursday
32,2025-06-27 09:07:33.770289+08:00,Friday
33,2025-06-27 10:07:33.770289+08:00,Friday
34,2025-06-27 11:07:33.770289+08:00,Friday
35,2025-06-27 12:07:33.770289+08:00,Friday
36,2025-06-27 13:07:33.770289+08:00,Friday
37,2025-06-27 14:07:33.770289+08:00,Friday
38,2025-06-27 15:07:33.770289+08:00,Friday
39,2025-06-27 16:07:33.770289+08:00,Friday
40,2025-06-30 09:07:33.770289+08:00,Monday
41,2025-06-30 10:07:33.770289+08:00,Monday
42,2025-06-30 11:07:33.770289+08:00,Monday
43,2025-06-30 12:07:33.770289+08:00,Monday
44,2025-06-30 13:07:33.770289+08:00,Monday
45,2025-06-30 14:07:33.770289+08:00,Monday
46,2025-06-30 15:07:33.770289+08:00,Monday
47,2025-06-30 16:07:33.770289+08:00,Monday
48,2025-07-01 09:07:33.770289+08:00,Tuesday
49,2025-07-01 10:07:33.770289+08:00,Tuesday
50,2025-07-01 11:07:33.770289+08:00,Tuesday
51,2025-07-01 12:07:33.770289+08:00,Tuesday
52,2025-07-01 13:07:33.770289+08:00,Tuesday
53,2025-07-01 14:07:33.770289+08:00,Tuesday
54,2025-07-01 15:07:33.770289+08:00,Tuesday
55,2025-07-01 16:07:33.770289+08:00,Tuesday
56,2025-07-02 09:07:33.770289+08:00,Wednesday
57,2025-07-02 10:07:33.770289+08:00,Wednesday
58,2025-07-02 11:07:33.770289+08:00,Wednesday
59,2025-07-02 12:07:33.770289+08:00,Wednesday
60,2025-07-02 13:07:33.770289+08:00,Wednesday
61,2025-07-02 14:07:33.770289+08:00,Wednesday
62,2025-07-02 15:07:33.770289+08:00,Wednesday
63,2025-07-02 16:07:33.770289+08:00,Wednesday
64,2025-07-03 09:07:33.770289+08:00,Thursday
65,2025-07-03 10:07:33.770289+08:00,Thursday
66,2025-07-03 11:07:33.770289+08:00,Thursday
67,2025-07-03 12:07:33.770289+08:00,Thursday
68,2025-07-03 13:07:33.770289+08:00,Thursday
69,2025-07-03 14:07:33.770289+08:00,Thursday
70,2025-07-03 15:07:33.770289+08:00,Thursday
71,2025-07-03 16:07:33.770289+08:00,Thursday
72,2025-07-04 09:07:33.770289+08:00,Friday
73,2025-07-04 10:07:33.770289+08:00,Friday
74,2025-07-04 11:07:33.770289+08:00,Friday
75,2025-07-04 12:07:33.770289+08:00,Friday
76,2025-07-04 13:07:33.770289+08:00,Friday
77,2025-07-04 14:07:33.770289+08:00,Friday
78,2025-07-04 15:07:33.770289+08:00,Friday
79,2025-07-04 16:07:33.770289+08:00,Friday
80,2025-07-07 09:07:33.770289+08:00,Monday
81,2025-07-07 10:07:33.770289+08:00,Monday
82,2025-07-07 11:07:33.770289+08:00,Monday
83,2025-07-07 12:07:33.770289+08:00,Monday
84,2025-07-07 13:07:33.770289+08:00,Monday
85,2025-07-07 14:07:33.770289+08:00,Monday
86,2025-07-07 15:07:33.770289+08:00,Monday
87,2025-07-07 16:07:33.770289+08:00,Monday
88,2025-07-08 09:07:33.770289+08:00,Tuesday
89,2025-07-08 10:07:33.770289+08:00,Tuesday
90,2025-07-08 11:07:33.770289+08:00,Tuesday
91,2025-07-08 12:07:33.770289+08:00,Tuesday
92,2025-07-08 13:07:33.770289+08:00,Tuesday
93,2025-07-08 14:07:33.770289+08:00,Tuesday
94,2025-07-08 15:07:33.770289+08:00,Tuesday
95,2025-07-08 16:07:33.770289+08:00,Tuesday
96,2025-07-09 09:07:33.770289+08:00,Wednesday
97,2025-07-09 10:07:33.770289+08:00,Wednesday
98,2025-07-09 11:07:33.770289+08:00,Wednesday
99,2025-07-09 12:07:33.770289+08:00,Wednesday
100,2025-07-09 13:07:33.770289+08:00,Wednesday
101,2025-07-09 14:07:33.770289+08:00,Wednesday
102,2025-07-09 15:07:33.770289+08:00,Wednesday
103,2025-07-09 16:07:33.770289+08:00,Wednesday
104,2025-07-10 09:07:33.770289+08:00,Thursday
105,2025-07-10 10:07:33.770289+08:00,Thursday
106,2025-07-10 11:07:33.770289+08:00,Thursday
107,2025-07-10 12:07:33.770289+08:00,Thursday
108,2025-07-10 13:07:33.770289+08:00,Thursday
109,2025-07-10 14:07:33.770289+08:00,Thursday
110,2025-07-10 15:07:33.770289+08:00,Thursday
111,2025-07-10 16:07:33.770289+08:00,Thursday
112,2025-07-11 09:07:33.770289+08:00,Friday
113,2025-07-11 10:07:33.770289+08:00,Friday
114,2025-07-11 11:07:33.770289+08:00,Friday
115,2025-07-11 12:07:33.770289+08:00,Friday
116,2025-07-11 13:07:33.770289+08:00,Friday
117,2025-07-11 14:07:33.770289+08:00,Friday
118,2025-07-11 15:07:33.770289+08:00,Friday
119,2025-07-11 16:07:33.770289+08:00,Friday
120,2025-07-14 09:07:33.770289+08:00,Monday
121,2025-07-14 10:07:33.770289+08:00,Monday
122,2025-07-14 11:07:33.770289+08:00,Monday
123,2025-07-14 12:07:33.770289+08:00,Monday
124,2025-07-14 13:07:33.770289+08:00,Monday
125,2025-07-14 14:07:33.770289+08:00,Monday
126,2025-07-14 15:07:33.770289+08:00,Monday
127,2025-07-14 16:07:33.770289+08:00,Monday
128,2025-07-15 09:07:33.770289+08:00,Tuesday
129,2025-07-15 10:07:33.770289+08:00,Tuesday
130,2025-07-15 11:07:33.770289+08:00,Tuesday
131,2025-07-15 12:07:33.770289+08:00,Tuesday
132,2025-07-15 13:07:33.770289+08:00,Tuesday
133,2025-07-15 14:07:33.770289+08:00,Tuesday
134,2025-07-15 15:07:33.770289+08:00,Tuesday
135,2025-07-15 16:07:33.770289+08:00,Tuesday
136,2025-07-16 09:07:33.770289+08:00,Wednesday
137,2025-07-16 10:07:33.770289+08:00,Wednesday
138,2025-07-16 11:07:33.770289+08:00,Wednesday
139,2025-07-16 12:07:33.770289+08:00,Wednesday
140,2025-07-16 13:07:33.770289+08:00,Wednesday
141,2025-07-16 14:07:33.770289+08:00,Wednesday
142,2025-07-16 15:07:33.770289+08:00,Wednesday
143,2025-07-16 16:07:33.770289+08:00,Wednesday
144,2025-07-17 09:07:33.770289+08:00,Thursday
145,2025-07-17 10:07:33.770289+08:00,Thursday
146,2025-07-17 11:07:33.770289+08:00,Thursday
147,2025-07-17 12:07:33.770289+08:00,Thursday
148,2025-07-17 13:07:33.770289+08:00,Thursday
149,2025-07-17 14:07:33.770289+08:00,Thursday
150,2025-07-17 15:07:33.770289+08:00,Thursday
151,2025-07-17 16:07:33.770289+08:00,Thursday
152,2025-07-18 09:07:33.770289+08:00,Friday
153,2025-07-18 10:07:33.770289+08:00,Friday
154,2025-07-18 11:07:33.770289+08:00,Friday
155,2025-07-18 12:07:33.770289+08:00,Friday
156,2025-07-18 13:07:33.770289+08:00,Friday
157,2025-07-18 14:07:33.770289+08:00,Friday
158,2025-07-18 15:07:33.770289+08:00,Friday
159,2025-07-18 16:07:33.770289+08:00,Friday
160,2025-07-21 09:07:33.770289+08:00,Monday
161,2025-07-21 10:07:33.770289+08:00,Monday
162,2025-07-21 11:07:33.770289+08:00,Monday
163,2025-07-21 12:07:33.770289+08:00,Monday
164,2025-07-21 13:07:33.770289+08:00,Monday
165,2025-07-21 14:07:33.770289+08:00,Monday
166,2025-07-21 15:07:33.770289+08:00,Monday
167,2025-07-21 16:07:33.770289+08:00,Monday
168,2025-07-22 09:07:33.770289+08:00,Tuesday
169,2025-07-22 10:07:33.770289+08:00,Tuesday
170,2025-07-22 11:07:33.770289+08:00,Tuesday
171,2025-07-22 12:07:33.770289+08:00,Tuesday
172,2025-07-22 13:07:33.770289+08:00,Tuesday
173,2025-07-22 14:07:33.770289+08:00,Tuesday
174,2025-07-22 15:07:33.770289+08:00,Tuesday
175,2025-07-22 16:07:33.770289+08:00,Tuesday
176,2025-07-23 09:07:33.770289+08:00,Wednesday
177,2025-07-23 10:07:33.770289+08:00,Wednesday
178,2025-07-23 11:07:33.770289+08:00,Wednesday
179,2025-07-23 12:07:33.770289+08:00,Wednesday
180,2025-07-23 13:07:33.770289+08:00,Wednesday
181,2025-07-23 14:07:33.770289+08:00,Wednesday
182,2025-07-23 15:07:33.770289+08:00,Wednesday
183,2025-07-23 16:07:33.770289+08:00,Wednesday
184,2025-07-24 09:07:33.770289+08:00,Thursday
185,2025-07-24 10:07:33.770289+08:00,Thursday
186,2025-07-24 11:07:33.770289+08:00,Thursday
187,2025-07-24 12:07:33.770289+08:00,Thursday
188,2025-07-24 13:07:33.770289+08:00,Thursday
189,2025-07-24 14:07:33.770289+08:00,Thursday
