,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2025-01-01 09:00:00+08:00,辛巳,庚午,乙亥,丙戌,辛卯,己未,甲寅,丙戌,辛巳,庚未,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,6581773598026552061,2025-06-22 23:12:15.074599+08:00
1,2025-01-01 10:00:00+08:00,辛巳,庚午,乙亥,丙戌,辛卯,己未,甲寅,丙戌,戊申,庚未,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,5609399535445688187,2025-06-22 23:12:15.074599+08:00
2,2025-01-01 11:00:00+08:00,壬午,乙酉,庚寅,丁亥,辛卯,己未,甲寅,丙戌,壬午,庚申,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,7519968092634044769,2025-06-22 23:12:15.074599+08:00
3,2025-01-01 12:00:00+08:00,壬午,乙酉,庚寅,丁亥,辛卯,己未,甲寅,丙戌,己酉,乙申,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,2248250916635622916,2025-06-22 23:12:15.074599+08:00
4,2025-01-01 13:00:00+08:00,癸未,乙酉,庚寅,戊子,辛卯,己未,甲寅,丙戌,癸未,乙申,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,16874097199194114658,2025-06-22 23:12:15.074599+08:00
5,2025-01-01 14:00:00+08:00,癸未,乙酉,庚寅,戊子,辛卯,己未,甲寅,丙戌,庚戌,乙申,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,1546106247069817394,2025-06-22 23:12:15.074599+08:00
6,2025-01-01 15:00:00+08:00,甲申,乙酉,庚寅,己丑,辛卯,己未,甲寅,丙戌,甲申,乙酉,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,10718885654727440969,2025-06-22 23:12:15.074599+08:00
7,2025-01-01 16:00:00+08:00,甲申,乙酉,庚寅,己丑,辛卯,己未,甲寅,丙戌,辛亥,乙酉,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,14748366718488881332,2025-06-22 23:12:15.074599+08:00
8,2025-01-02 09:00:00+08:00,癸巳,辛未,丙子,戊戌,辛卯,己未,甲寅,丙戌,癸巳,辛申,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,6170832588893532478,2025-06-22 23:12:15.074599+08:00
9,2025-01-02 10:00:00+08:00,癸巳,辛未,丙子,戊戌,辛卯,己未,甲寅,丙戌,庚申,辛申,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,9733673015480683311,2025-06-22 23:12:15.074599+08:00
10,2025-01-02 11:00:00+08:00,甲午,丙戌,辛卯,己亥,辛卯,己未,甲寅,丙戌,甲午,辛酉,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,4648222222675428701,2025-06-22 23:12:15.074599+08:00
11,2025-01-02 12:00:00+08:00,甲午,丙戌,辛卯,己亥,辛卯,己未,甲寅,丙戌,辛酉,丙酉,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,17451687973739201054,2025-06-22 23:12:15.074599+08:00
12,2025-01-02 13:00:00+08:00,乙未,丙戌,辛卯,庚子,辛卯,己未,甲寅,丙戌,乙未,丙酉,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,1424492453170863784,2025-06-22 23:12:15.074599+08:00
13,2025-01-02 14:00:00+08:00,乙未,丙戌,辛卯,庚子,辛卯,己未,甲寅,丙戌,壬戌,丙酉,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,3808636533126084066,2025-06-22 23:12:15.074599+08:00
14,2025-01-02 15:00:00+08:00,丙申,丙戌,辛卯,辛丑,辛卯,己未,甲寅,丙戌,丙申,丙戌,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,18315275987077894308,2025-06-22 23:12:15.074599+08:00
15,2025-01-02 16:00:00+08:00,丙申,丙戌,辛卯,辛丑,辛卯,己未,甲寅,丙戌,癸亥,丙戌,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,5150947457268464786,2025-06-22 23:12:15.074599+08:00
16,2025-01-03 09:00:00+08:00,乙巳,壬申,丁丑,庚戌,辛卯,己未,甲寅,丙戌,乙巳,壬酉,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,10342579561221650904,2025-06-22 23:12:15.074599+08:00
17,2025-01-03 10:00:00+08:00,乙巳,壬申,丁丑,庚戌,辛卯,己未,甲寅,丙戌,壬申,壬酉,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,15545069284028958299,2025-06-22 23:12:15.074599+08:00
18,2025-01-03 11:00:00+08:00,丙午,丁亥,壬辰,辛亥,辛卯,己未,甲寅,丙戌,丙午,壬戌,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,11346643518782564517,2025-06-22 23:12:15.074599+08:00
19,2025-01-03 12:00:00+08:00,丙午,丁亥,壬辰,辛亥,辛卯,己未,甲寅,丙戌,癸酉,丁戌,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,17424909226990186141,2025-06-22 23:12:15.074599+08:00
20,2025-01-03 13:00:00+08:00,丁未,丁亥,壬辰,壬子,辛卯,己未,甲寅,丙戌,丁未,丁戌,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,14567289911256558393,2025-06-22 23:12:15.074599+08:00
21,2025-01-03 14:00:00+08:00,丁未,丁亥,壬辰,壬子,辛卯,己未,甲寅,丙戌,甲戌,丁戌,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,4139218811693120570,2025-06-22 23:12:15.074599+08:00
22,2025-01-03 15:00:00+08:00,戊申,丁亥,壬辰,癸丑,辛卯,己未,甲寅,丙戌,戊申,丁亥,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,5073095991453376709,2025-06-22 23:12:15.074599+08:00
23,2025-01-03 16:00:00+08:00,戊申,丁亥,壬辰,癸丑,辛卯,己未,甲寅,丙戌,乙亥,丁亥,丙子,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,15688702259172084040,2025-06-22 23:12:15.074599+08:00
24,2025-01-06 09:00:00+08:00,辛巳,乙亥,庚辰,丙戌,丁丑,己未,甲寅,壬申,辛巳,乙子,丙辰,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,15015390294341671576,2025-06-22 23:12:15.074599+08:00
25,2025-01-06 10:00:00+08:00,辛巳,乙亥,庚辰,丙戌,丁丑,己未,甲寅,壬申,戊申,乙子,丙辰,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,17278832886054110733,2025-06-22 23:12:15.074599+08:00
26,2025-01-06 11:00:00+08:00,壬午,庚寅,乙未,丁亥,丁丑,己未,甲寅,壬申,壬午,乙丑,丙辰,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,6879083257293142304,2025-06-22 23:12:15.074599+08:00
27,2025-01-06 12:00:00+08:00,壬午,庚寅,乙未,丁亥,丁丑,己未,甲寅,壬申,己酉,庚丑,丙辰,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,4867233988506880895,2025-06-22 23:12:15.074599+08:00
28,2025-01-06 13:00:00+08:00,癸未,庚寅,乙未,戊子,丁丑,己未,甲寅,壬申,癸未,庚丑,丙辰,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,12952532843428453061,2025-06-22 23:12:15.074599+08:00
29,2025-01-06 14:00:00+08:00,癸未,庚寅,乙未,戊子,丁丑,己未,甲寅,壬申,庚戌,庚丑,丙辰,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,8907735278542774179,2025-06-22 23:12:15.074599+08:00
30,2025-01-06 15:00:00+08:00,甲申,庚寅,乙未,己丑,丁丑,己未,甲寅,壬申,甲申,庚寅,丙辰,己卯,己未,戊辰,甲子,辛未,癸亥,丙子,甲寅,己巳,HSI,12172595939333569285,2025-06-22 23:12:15.074599+08:00
