,date,weekday
0,2025-01-01 09:00:00+08:00,Wednesday
1,2025-01-01 10:00:00+08:00,Wednesday
2,2025-01-01 11:00:00+08:00,Wednesday
3,2025-01-01 12:00:00+08:00,Wednesday
4,2025-01-01 13:00:00+08:00,Wednesday
5,2025-01-01 14:00:00+08:00,Wednesday
6,2025-01-01 15:00:00+08:00,Wednesday
7,2025-01-01 16:00:00+08:00,Wednesday
8,2025-01-02 09:00:00+08:00,Thursday
9,2025-01-02 10:00:00+08:00,Thursday
10,2025-01-02 11:00:00+08:00,Thursday
11,2025-01-02 12:00:00+08:00,Thursday
12,2025-01-02 13:00:00+08:00,Thursday
13,2025-01-02 14:00:00+08:00,Thursday
14,2025-01-02 15:00:00+08:00,Thursday
15,2025-01-02 16:00:00+08:00,Thursday
16,2025-01-03 09:00:00+08:00,Friday
17,2025-01-03 10:00:00+08:00,Friday
18,2025-01-03 11:00:00+08:00,Friday
19,2025-01-03 12:00:00+08:00,Friday
20,2025-01-03 13:00:00+08:00,Friday
21,2025-01-03 14:00:00+08:00,Friday
22,2025-01-03 15:00:00+08:00,Friday
23,2025-01-03 16:00:00+08:00,Friday
24,2025-01-06 09:00:00+08:00,Monday
25,2025-01-06 10:00:00+08:00,Monday
26,2025-01-06 11:00:00+08:00,Monday
27,2025-01-06 12:00:00+08:00,Monday
28,2025-01-06 13:00:00+08:00,Monday
29,2025-01-06 14:00:00+08:00,Monday
30,2025-01-06 15:00:00+08:00,Monday
31,2025-01-06 16:00:00+08:00,Monday
32,2025-01-07 09:00:00+08:00,Tuesday
33,2025-01-07 10:00:00+08:00,Tuesday
34,2025-01-07 11:00:00+08:00,Tuesday
35,2025-01-07 12:00:00+08:00,Tuesday
36,2025-01-07 13:00:00+08:00,Tuesday
37,2025-01-07 14:00:00+08:00,Tuesday
38,2025-01-07 15:00:00+08:00,Tuesday
39,2025-01-07 16:00:00+08:00,Tuesday
40,2025-01-08 09:00:00+08:00,Wednesday
41,2025-01-08 10:00:00+08:00,Wednesday
42,2025-01-08 11:00:00+08:00,Wednesday
43,2025-01-08 12:00:00+08:00,Wednesday
44,2025-01-08 13:00:00+08:00,Wednesday
45,2025-01-08 14:00:00+08:00,Wednesday
46,2025-01-08 15:00:00+08:00,Wednesday
47,2025-01-08 16:00:00+08:00,Wednesday
48,2025-01-09 09:00:00+08:00,Thursday
49,2025-01-09 10:00:00+08:00,Thursday
50,2025-01-09 11:00:00+08:00,Thursday
51,2025-01-09 12:00:00+08:00,Thursday
52,2025-01-09 13:00:00+08:00,Thursday
53,2025-01-09 14:00:00+08:00,Thursday
54,2025-01-09 15:00:00+08:00,Thursday
55,2025-01-09 16:00:00+08:00,Thursday
56,2025-01-10 09:00:00+08:00,Friday
57,2025-01-10 10:00:00+08:00,Friday
58,2025-01-10 11:00:00+08:00,Friday
59,2025-01-10 12:00:00+08:00,Friday
60,2025-01-10 13:00:00+08:00,Friday
61,2025-01-10 14:00:00+08:00,Friday
62,2025-01-10 15:00:00+08:00,Friday
63,2025-01-10 16:00:00+08:00,Friday
64,2025-01-13 09:00:00+08:00,Monday
65,2025-01-13 10:00:00+08:00,Monday
66,2025-01-13 11:00:00+08:00,Monday
67,2025-01-13 12:00:00+08:00,Monday
68,2025-01-13 13:00:00+08:00,Monday
69,2025-01-13 14:00:00+08:00,Monday
70,2025-01-13 15:00:00+08:00,Monday
71,2025-01-13 16:00:00+08:00,Monday
72,2025-01-14 09:00:00+08:00,Tuesday
73,2025-01-14 10:00:00+08:00,Tuesday
74,2025-01-14 11:00:00+08:00,Tuesday
75,2025-01-14 12:00:00+08:00,Tuesday
76,2025-01-14 13:00:00+08:00,Tuesday
77,2025-01-14 14:00:00+08:00,Tuesday
78,2025-01-14 15:00:00+08:00,Tuesday
79,2025-01-14 16:00:00+08:00,Tuesday
80,2025-01-15 09:00:00+08:00,Wednesday
81,2025-01-15 10:00:00+08:00,Wednesday
82,2025-01-15 11:00:00+08:00,Wednesday
83,2025-01-15 12:00:00+08:00,Wednesday
84,2025-01-15 13:00:00+08:00,Wednesday
85,2025-01-15 14:00:00+08:00,Wednesday
86,2025-01-15 15:00:00+08:00,Wednesday
87,2025-01-15 16:00:00+08:00,Wednesday
88,2025-01-16 09:00:00+08:00,Thursday
89,2025-01-16 10:00:00+08:00,Thursday
90,2025-01-16 11:00:00+08:00,Thursday
91,2025-01-16 12:00:00+08:00,Thursday
92,2025-01-16 13:00:00+08:00,Thursday
93,2025-01-16 14:00:00+08:00,Thursday
94,2025-01-16 15:00:00+08:00,Thursday
95,2025-01-16 16:00:00+08:00,Thursday
96,2025-01-17 09:00:00+08:00,Friday
97,2025-01-17 10:00:00+08:00,Friday
98,2025-01-17 11:00:00+08:00,Friday
99,2025-01-17 12:00:00+08:00,Friday
100,2025-01-17 13:00:00+08:00,Friday
101,2025-01-17 14:00:00+08:00,Friday
102,2025-01-17 15:00:00+08:00,Friday
103,2025-01-17 16:00:00+08:00,Friday
104,2025-01-20 09:00:00+08:00,Monday
105,2025-01-20 10:00:00+08:00,Monday
106,2025-01-20 11:00:00+08:00,Monday
107,2025-01-20 12:00:00+08:00,Monday
108,2025-01-20 13:00:00+08:00,Monday
109,2025-01-20 14:00:00+08:00,Monday
110,2025-01-20 15:00:00+08:00,Monday
111,2025-01-20 16:00:00+08:00,Monday
112,2025-01-21 09:00:00+08:00,Tuesday
113,2025-01-21 10:00:00+08:00,Tuesday
114,2025-01-21 11:00:00+08:00,Tuesday
115,2025-01-21 12:00:00+08:00,Tuesday
116,2025-01-21 13:00:00+08:00,Tuesday
117,2025-01-21 14:00:00+08:00,Tuesday
118,2025-01-21 15:00:00+08:00,Tuesday
119,2025-01-21 16:00:00+08:00,Tuesday
120,2025-01-22 09:00:00+08:00,Wednesday
121,2025-01-22 10:00:00+08:00,Wednesday
