,time,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,1735693200000000000,6,2,1,4,8,1,4,10,1,8,10,1,2,5,0,6,8,0,6,6,9,10,1,9,8,2,1,4,9,1,7,2,1,4,8,1
1,1735696800000000000,6,2,1,4,8,1,4,10,1,8,10,1,2,5,0,6,8,0,6,6,9,10,1,9,8,2,1,4,9,1,7,2,1,4,8,1
2,1735700400000000000,1,3,6,4,8,1,10,6,3,8,10,1,4,8,4,6,8,0,5,5,2,10,1,9,2,3,6,4,9,1,2,3,6,4,8,1
3,1735704000000000000,1,3,6,4,8,1,10,6,3,8,10,1,4,8,4,6,8,0,5,5,2,10,1,9,2,3,6,4,9,1,2,3,6,4,8,1
4,1735707600000000000,7,3,7,4,8,1,11,6,5,8,10,1,7,8,10,6,8,0,0,5,8,10,1,9,9,3,7,4,9,1,8,3,7,4,8,1
5,1735711200000000000,7,3,7,4,8,1,11,6,5,8,10,1,7,8,10,6,8,0,0,5,8,10,1,9,9,3,7,4,9,1,8,3,7,4,8,1
6,1735714800000000000,3,3,11,4,8,1,7,6,9,8,10,1,1,8,11,6,8,0,2,5,0,10,1,9,5,3,11,4,9,1,5,3,11,4,8,1
7,1735718400000000000,3,3,11,4,8,1,7,6,9,8,10,1,1,8,11,6,8,0,2,5,0,10,1,9,5,3,11,4,9,1,5,3,11,4,8,1
8,1735779600000000000,6,9,1,4,8,1,4,11,1,8,10,1,2,9,0,6,8,0,6,1,9,10,1,9,8,9,1,4,9,1,7,9,1,4,8,1
9,1735783200000000000,6,9,1,4,8,1,4,11,1,8,10,1,2,9,0,6,8,0,6,1,9,10,1,9,8,9,1,4,9,1,7,9,1,4,8,1
