,time,date,stock_code
0,2025-01-20 09:00:00+08:00,2025-01-20 09:00:00+08:00,HSI
1,2025-01-20 10:00:00+08:00,2025-01-20 10:00:00+08:00,HSI
2,2025-01-20 11:00:00+08:00,2025-01-20 11:00:00+08:00,HSI
3,2025-01-20 12:00:00+08:00,2025-01-20 12:00:00+08:00,HSI
4,2025-01-20 13:00:00+08:00,2025-01-20 13:00:00+08:00,HSI
5,2025-01-20 14:00:00+08:00,2025-01-20 14:00:00+08:00,HSI
6,2025-01-20 15:00:00+08:00,2025-01-20 15:00:00+08:00,HSI
7,2025-01-20 16:00:00+08:00,2025-01-20 16:00:00+08:00,HSI
8,2025-01-21 09:00:00+08:00,2025-01-21 09:00:00+08:00,HSI
9,2025-01-21 10:00:00+08:00,2025-01-21 10:00:00+08:00,HSI
10,2025-01-21 11:00:00+08:00,2025-01-21 11:00:00+08:00,HSI
11,2025-01-21 12:00:00+08:00,2025-01-21 12:00:00+08:00,HSI
12,2025-01-21 13:00:00+08:00,2025-01-21 13:00:00+08:00,HSI
13,2025-01-21 14:00:00+08:00,2025-01-21 14:00:00+08:00,HSI
14,2025-01-21 15:00:00+08:00,2025-01-21 15:00:00+08:00,HSI
15,2025-01-21 16:00:00+08:00,2025-01-21 16:00:00+08:00,HSI
16,2025-01-22 09:00:00+08:00,2025-01-22 09:00:00+08:00,HSI
17,2025-01-22 10:00:00+08:00,2025-01-22 10:00:00+08:00,HSI
18,2025-01-22 11:00:00+08:00,2025-01-22 11:00:00+08:00,HSI
19,2025-01-22 12:00:00+08:00,2025-01-22 12:00:00+08:00,HSI
20,2025-01-22 13:00:00+08:00,2025-01-22 13:00:00+08:00,HSI
21,2025-01-22 14:00:00+08:00,2025-01-22 14:00:00+08:00,HSI
22,2025-01-22 15:00:00+08:00,2025-01-22 15:00:00+08:00,HSI
23,2025-01-22 16:00:00+08:00,2025-01-22 16:00:00+08:00,HSI
24,2025-01-23 09:00:00+08:00,2025-01-23 09:00:00+08:00,HSI
25,2025-01-23 10:00:00+08:00,2025-01-23 10:00:00+08:00,HSI
26,2025-01-23 11:00:00+08:00,2025-01-23 11:00:00+08:00,HSI
27,2025-01-23 12:00:00+08:00,2025-01-23 12:00:00+08:00,HSI
28,2025-01-23 13:00:00+08:00,2025-01-23 13:00:00+08:00,HSI
29,2025-01-23 14:00:00+08:00,2025-01-23 14:00:00+08:00,HSI
30,2025-01-23 15:00:00+08:00,2025-01-23 15:00:00+08:00,HSI
31,2025-01-23 16:00:00+08:00,2025-01-23 16:00:00+08:00,HSI
32,2025-01-24 09:00:00+08:00,2025-01-24 09:00:00+08:00,HSI
33,2025-01-24 10:00:00+08:00,2025-01-24 10:00:00+08:00,HSI
34,2025-01-24 11:00:00+08:00,2025-01-24 11:00:00+08:00,HSI
35,2025-01-24 12:00:00+08:00,2025-01-24 12:00:00+08:00,HSI
36,2025-01-24 13:00:00+08:00,2025-01-24 13:00:00+08:00,HSI
37,2025-01-24 14:00:00+08:00,2025-01-24 14:00:00+08:00,HSI
38,2025-01-24 15:00:00+08:00,2025-01-24 15:00:00+08:00,HSI
39,2025-01-24 16:00:00+08:00,2025-01-24 16:00:00+08:00,HSI
40,2025-01-27 09:00:00+08:00,2025-01-27 09:00:00+08:00,HSI
41,2025-01-27 10:00:00+08:00,2025-01-27 10:00:00+08:00,HSI
42,2025-01-27 11:00:00+08:00,2025-01-27 11:00:00+08:00,HSI
43,2025-01-27 12:00:00+08:00,2025-01-27 12:00:00+08:00,HSI
44,2025-01-27 13:00:00+08:00,2025-01-27 13:00:00+08:00,HSI
45,2025-01-27 14:00:00+08:00,2025-01-27 14:00:00+08:00,HSI
46,2025-01-27 15:00:00+08:00,2025-01-27 15:00:00+08:00,HSI
47,2025-01-27 16:00:00+08:00,2025-01-27 16:00:00+08:00,HSI
48,2025-01-28 09:00:00+08:00,2025-01-28 09:00:00+08:00,HSI
49,2025-01-28 10:00:00+08:00,2025-01-28 10:00:00+08:00,HSI
50,2025-01-28 11:00:00+08:00,2025-01-28 11:00:00+08:00,HSI
51,2025-01-28 12:00:00+08:00,2025-01-28 12:00:00+08:00,HSI
52,2025-01-28 13:00:00+08:00,2025-01-28 13:00:00+08:00,HSI
53,2025-01-28 14:00:00+08:00,2025-01-28 14:00:00+08:00,HSI
54,2025-01-28 15:00:00+08:00,2025-01-28 15:00:00+08:00,HSI
55,2025-01-28 16:00:00+08:00,2025-01-28 16:00:00+08:00,HSI
56,2025-01-29 09:00:00+08:00,2025-01-29 09:00:00+08:00,HSI
57,2025-01-29 10:00:00+08:00,2025-01-29 10:00:00+08:00,HSI
58,2025-01-29 11:00:00+08:00,2025-01-29 11:00:00+08:00,HSI
59,2025-01-29 12:00:00+08:00,2025-01-29 12:00:00+08:00,HSI
60,2025-01-29 13:00:00+08:00,2025-01-29 13:00:00+08:00,HSI
61,2025-01-29 14:00:00+08:00,2025-01-29 14:00:00+08:00,HSI
62,2025-01-29 15:00:00+08:00,2025-01-29 15:00:00+08:00,HSI
63,2025-01-29 16:00:00+08:00,2025-01-29 16:00:00+08:00,HSI
64,2025-01-30 09:00:00+08:00,2025-01-30 09:00:00+08:00,HSI
65,2025-01-30 10:00:00+08:00,2025-01-30 10:00:00+08:00,HSI
66,2025-01-30 11:00:00+08:00,2025-01-30 11:00:00+08:00,HSI
67,2025-01-30 12:00:00+08:00,2025-01-30 12:00:00+08:00,HSI
68,2025-01-30 13:00:00+08:00,2025-01-30 13:00:00+08:00,HSI
69,2025-01-30 14:00:00+08:00,2025-01-30 14:00:00+08:00,HSI
70,2025-01-30 15:00:00+08:00,2025-01-30 15:00:00+08:00,HSI
71,2025-01-30 16:00:00+08:00,2025-01-30 16:00:00+08:00,HSI
72,2025-01-31 09:00:00+08:00,2025-01-31 09:00:00+08:00,HSI
73,2025-01-31 10:00:00+08:00,2025-01-31 10:00:00+08:00,HSI
74,2025-01-31 11:00:00+08:00,2025-01-31 11:00:00+08:00,HSI
75,2025-01-31 12:00:00+08:00,2025-01-31 12:00:00+08:00,HSI
76,2025-01-31 13:00:00+08:00,2025-01-31 13:00:00+08:00,HSI
77,2025-01-31 14:00:00+08:00,2025-01-31 14:00:00+08:00,HSI
78,2025-01-31 15:00:00+08:00,2025-01-31 15:00:00+08:00,HSI
79,2025-01-31 16:00:00+08:00,2025-01-31 16:00:00+08:00,HSI
80,2025-02-03 09:00:00+08:00,2025-02-03 09:00:00+08:00,HSI
81,2025-02-03 10:00:00+08:00,2025-02-03 10:00:00+08:00,HSI
82,2025-02-03 11:00:00+08:00,2025-02-03 11:00:00+08:00,HSI
83,2025-02-03 12:00:00+08:00,2025-02-03 12:00:00+08:00,HSI
84,2025-02-03 13:00:00+08:00,2025-02-03 13:00:00+08:00,HSI
85,2025-02-03 14:00:00+08:00,2025-02-03 14:00:00+08:00,HSI
86,2025-02-03 15:00:00+08:00,2025-02-03 15:00:00+08:00,HSI
87,2025-02-03 16:00:00+08:00,2025-02-03 16:00:00+08:00,HSI
88,2025-02-04 09:00:00+08:00,2025-02-04 09:00:00+08:00,HSI
89,2025-02-04 10:00:00+08:00,2025-02-04 10:00:00+08:00,HSI
90,2025-02-04 11:00:00+08:00,2025-02-04 11:00:00+08:00,HSI
91,2025-02-04 12:00:00+08:00,2025-02-04 12:00:00+08:00,HSI
92,2025-02-04 13:00:00+08:00,2025-02-04 13:00:00+08:00,HSI
93,2025-02-04 14:00:00+08:00,2025-02-04 14:00:00+08:00,HSI
94,2025-02-04 15:00:00+08:00,2025-02-04 15:00:00+08:00,HSI
95,2025-02-04 16:00:00+08:00,2025-02-04 16:00:00+08:00,HSI
96,2025-02-05 09:00:00+08:00,2025-02-05 09:00:00+08:00,HSI
97,2025-02-05 10:00:00+08:00,2025-02-05 10:00:00+08:00,HSI
98,2025-02-05 11:00:00+08:00,2025-02-05 11:00:00+08:00,HSI
99,2025-02-05 12:00:00+08:00,2025-02-05 12:00:00+08:00,HSI
100,2025-02-05 13:00:00+08:00,2025-02-05 13:00:00+08:00,HSI
101,2025-02-05 14:00:00+08:00,2025-02-05 14:00:00+08:00,HSI
102,2025-02-05 15:00:00+08:00,2025-02-05 15:00:00+08:00,HSI
103,2025-02-05 16:00:00+08:00,2025-02-05 16:00:00+08:00,HSI
104,2025-02-06 09:00:00+08:00,2025-02-06 09:00:00+08:00,HSI
105,2025-02-06 10:00:00+08:00,2025-02-06 10:00:00+08:00,HSI
106,2025-02-06 11:00:00+08:00,2025-02-06 11:00:00+08:00,HSI
107,2025-02-06 12:00:00+08:00,2025-02-06 12:00:00+08:00,HSI
108,2025-02-06 13:00:00+08:00,2025-02-06 13:00:00+08:00,HSI
109,2025-02-06 14:00:00+08:00,2025-02-06 14:00:00+08:00,HSI
110,2025-02-06 15:00:00+08:00,2025-02-06 15:00:00+08:00,HSI
111,2025-02-06 16:00:00+08:00,2025-02-06 16:00:00+08:00,HSI
112,2025-02-07 09:00:00+08:00,2025-02-07 09:00:00+08:00,HSI
113,2025-02-07 10:00:00+08:00,2025-02-07 10:00:00+08:00,HSI
114,2025-02-07 11:00:00+08:00,2025-02-07 11:00:00+08:00,HSI
115,2025-02-07 12:00:00+08:00,2025-02-07 12:00:00+08:00,HSI
116,2025-02-07 13:00:00+08:00,2025-02-07 13:00:00+08:00,HSI
117,2025-02-07 14:00:00+08:00,2025-02-07 14:00:00+08:00,HSI
118,2025-02-07 15:00:00+08:00,2025-02-07 15:00:00+08:00,HSI
119,2025-02-07 16:00:00+08:00,2025-02-07 16:00:00+08:00,HSI
120,2025-02-10 09:00:00+08:00,2025-02-10 09:00:00+08:00,HSI
121,2025-02-10 10:00:00+08:00,2025-02-10 10:00:00+08:00,HSI
122,2025-02-10 11:00:00+08:00,2025-02-10 11:00:00+08:00,HSI
123,2025-02-10 12:00:00+08:00,2025-02-10 12:00:00+08:00,HSI
124,2025-02-10 13:00:00+08:00,2025-02-10 13:00:00+08:00,HSI
125,2025-02-10 14:00:00+08:00,2025-02-10 14:00:00+08:00,HSI
126,2025-02-10 15:00:00+08:00,2025-02-10 15:00:00+08:00,HSI
127,2025-02-10 16:00:00+08:00,2025-02-10 16:00:00+08:00,HSI
128,2025-02-11 09:00:00+08:00,2025-02-11 09:00:00+08:00,HSI
129,2025-02-11 10:00:00+08:00,2025-02-11 10:00:00+08:00,HSI
130,2025-02-11 11:00:00+08:00,2025-02-11 11:00:00+08:00,HSI
131,2025-02-11 12:00:00+08:00,2025-02-11 12:00:00+08:00,HSI
132,2025-02-11 13:00:00+08:00,2025-02-11 13:00:00+08:00,HSI
133,2025-02-11 14:00:00+08:00,2025-02-11 14:00:00+08:00,HSI
134,2025-02-11 15:00:00+08:00,2025-02-11 15:00:00+08:00,HSI
135,2025-02-11 16:00:00+08:00,2025-02-11 16:00:00+08:00,HSI
136,2025-02-12 09:00:00+08:00,2025-02-12 09:00:00+08:00,HSI
137,2025-02-12 10:00:00+08:00,2025-02-12 10:00:00+08:00,HSI
138,2025-02-12 11:00:00+08:00,2025-02-12 11:00:00+08:00,HSI
139,2025-02-12 12:00:00+08:00,2025-02-12 12:00:00+08:00,HSI
140,2025-02-12 13:00:00+08:00,2025-02-12 13:00:00+08:00,HSI
141,2025-02-12 14:00:00+08:00,2025-02-12 14:00:00+08:00,HSI
142,2025-02-12 15:00:00+08:00,2025-02-12 15:00:00+08:00,HSI
143,2025-02-12 16:00:00+08:00,2025-02-12 16:00:00+08:00,HSI
144,2025-02-13 09:00:00+08:00,2025-02-13 09:00:00+08:00,HSI
145,2025-02-13 10:00:00+08:00,2025-02-13 10:00:00+08:00,HSI
146,2025-02-13 11:00:00+08:00,2025-02-13 11:00:00+08:00,HSI
147,2025-02-13 12:00:00+08:00,2025-02-13 12:00:00+08:00,HSI
148,2025-02-13 13:00:00+08:00,2025-02-13 13:00:00+08:00,HSI
149,2025-02-13 14:00:00+08:00,2025-02-13 14:00:00+08:00,HSI
150,2025-02-13 15:00:00+08:00,2025-02-13 15:00:00+08:00,HSI
151,2025-02-13 16:00:00+08:00,2025-02-13 16:00:00+08:00,HSI
152,2025-02-14 09:00:00+08:00,2025-02-14 09:00:00+08:00,HSI
153,2025-02-14 10:00:00+08:00,2025-02-14 10:00:00+08:00,HSI
154,2025-02-14 11:00:00+08:00,2025-02-14 11:00:00+08:00,HSI
155,2025-02-14 12:00:00+08:00,2025-02-14 12:00:00+08:00,HSI
156,2025-02-14 13:00:00+08:00,2025-02-14 13:00:00+08:00,HSI
157,2025-02-14 14:00:00+08:00,2025-02-14 14:00:00+08:00,HSI
158,2025-02-14 15:00:00+08:00,2025-02-14 15:00:00+08:00,HSI
159,2025-02-14 16:00:00+08:00,2025-02-14 16:00:00+08:00,HSI
160,2025-02-17 09:00:00+08:00,2025-02-17 09:00:00+08:00,HSI
161,2025-02-17 10:00:00+08:00,2025-02-17 10:00:00+08:00,HSI
162,2025-02-17 11:00:00+08:00,2025-02-17 11:00:00+08:00,HSI
163,2025-02-17 12:00:00+08:00,2025-02-17 12:00:00+08:00,HSI
164,2025-02-17 13:00:00+08:00,2025-02-17 13:00:00+08:00,HSI
165,2025-02-17 14:00:00+08:00,2025-02-17 14:00:00+08:00,HSI
166,2025-02-17 15:00:00+08:00,2025-02-17 15:00:00+08:00,HSI
167,2025-02-17 16:00:00+08:00,2025-02-17 16:00:00+08:00,HSI
168,2025-02-18 09:00:00+08:00,2025-02-18 09:00:00+08:00,HSI
169,2025-02-18 10:00:00+08:00,2025-02-18 10:00:00+08:00,HSI
170,2025-02-18 11:00:00+08:00,2025-02-18 11:00:00+08:00,HSI
171,2025-02-18 12:00:00+08:00,2025-02-18 12:00:00+08:00,HSI
172,2025-02-18 13:00:00+08:00,2025-02-18 13:00:00+08:00,HSI
173,2025-02-18 14:00:00+08:00,2025-02-18 14:00:00+08:00,HSI
174,2025-02-18 15:00:00+08:00,2025-02-18 15:00:00+08:00,HSI
175,2025-02-18 16:00:00+08:00,2025-02-18 16:00:00+08:00,HSI
176,2025-02-19 09:00:00+08:00,2025-02-19 09:00:00+08:00,HSI
177,2025-02-19 10:00:00+08:00,2025-02-19 10:00:00+08:00,HSI
178,2025-02-19 11:00:00+08:00,2025-02-19 11:00:00+08:00,HSI
179,2025-02-19 12:00:00+08:00,2025-02-19 12:00:00+08:00,HSI
180,2025-02-19 13:00:00+08:00,2025-02-19 13:00:00+08:00,HSI
181,2025-02-19 14:00:00+08:00,2025-02-19 14:00:00+08:00,HSI
182,2025-02-19 15:00:00+08:00,2025-02-19 15:00:00+08:00,HSI
183,2025-02-19 16:00:00+08:00,2025-02-19 16:00:00+08:00,HSI
184,2025-02-20 09:00:00+08:00,2025-02-20 09:00:00+08:00,HSI
185,2025-02-20 10:00:00+08:00,2025-02-20 10:00:00+08:00,HSI
186,2025-02-20 11:00:00+08:00,2025-02-20 11:00:00+08:00,HSI
187,2025-02-20 12:00:00+08:00,2025-02-20 12:00:00+08:00,HSI
188,2025-02-20 13:00:00+08:00,2025-02-20 13:00:00+08:00,HSI
189,2025-02-20 14:00:00+08:00,2025-02-20 14:00:00+08:00,HSI
190,2025-02-20 15:00:00+08:00,2025-02-20 15:00:00+08:00,HSI
191,2025-02-20 16:00:00+08:00,2025-02-20 16:00:00+08:00,HSI
192,2025-02-21 09:00:00+08:00,2025-02-21 09:00:00+08:00,HSI
