,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2024-01-19 09:00:00+08:00,乙巳,壬午,丁丑,庚子,乙丑,戊午,癸亥,庚午,乙巳,壬未,甲辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,14241267344866167853,2025-06-22 23:59:40.991433+08:00
1,2024-01-19 10:00:00+08:00,乙巳,壬午,丁丑,庚子,乙丑,戊午,癸亥,庚午,壬申,壬未,甲辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,18394685453237421480,2025-06-22 23:59:40.991433+08:00
2,2024-01-19 11:00:00+08:00,丙午,丁酉,壬辰,辛丑,乙丑,戊午,癸亥,庚午,丙午,壬申,甲辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,17218222529101222743,2025-06-22 23:59:40.991433+08:00
3,2024-01-19 12:00:00+08:00,丙午,丁酉,壬辰,辛丑,乙丑,戊午,癸亥,庚午,癸酉,丁申,甲辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,5194408761490186522,2025-06-22 23:59:40.991433+08:00
4,2024-01-19 13:00:00+08:00,丁未,丁酉,壬辰,壬寅,乙丑,戊午,癸亥,庚午,丁未,丁申,甲辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,10956304916628174107,2025-06-22 23:59:40.991433+08:00
5,2024-01-19 14:00:00+08:00,丁未,丁酉,壬辰,壬寅,乙丑,戊午,癸亥,庚午,甲戌,丁申,甲辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,1668731302772890509,2025-06-22 23:59:40.991433+08:00
6,2024-01-19 15:00:00+08:00,戊申,丁酉,壬辰,癸卯,乙丑,戊午,癸亥,庚午,戊申,丁酉,甲辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,11383284276266165641,2025-06-22 23:59:40.991433+08:00
7,2024-01-19 16:00:00+08:00,戊申,丁酉,壬辰,癸卯,乙丑,戊午,癸亥,庚午,乙亥,丁酉,甲辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,4847696264241226453,2025-06-22 23:59:40.991433+08:00
8,2024-01-22 09:00:00+08:00,辛巳,乙酉,庚寅,丙戌,庚辰,癸卯,戊戌,乙亥,辛巳,乙戌,壬辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,8908402776412356036,2025-06-22 23:59:40.991433+08:00
9,2024-01-22 10:00:00+08:00,辛巳,乙酉,庚寅,丙戌,庚辰,癸卯,戊戌,乙亥,戊申,乙戌,壬辰,戊寅,戊午,癸亥,乙丑,丙子,戊午,辛巳,癸丑,庚午,HSI,12090780299318481298,2025-06-22 23:59:40.991433+08:00
