,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,10,0,3,4,7,5,8,9,7,2,5,6,3,11,5,10,7,3,2,0,6,8,4,7,8,9,7,2,5,6,5,1,4,3,5,10
1,10,0,3,4,7,5,8,9,7,2,5,6,3,11,5,10,7,3,2,0,6,8,4,7,8,9,7,2,5,6,5,1,4,3,5,10
2,4,9,1,4,7,5,2,1,11,2,5,6,8,1,9,10,7,3,8,11,1,8,4,7,2,1,11,2,5,6,3,11,0,3,5,10
3,4,9,1,4,7,5,2,1,11,2,5,6,8,1,9,10,7,3,8,11,1,8,4,7,2,1,11,2,5,6,3,11,0,3,5,10
4,0,9,6,4,7,5,9,1,10,2,5,6,9,1,2,10,7,3,0,11,3,8,4,7,9,1,10,2,5,6,1,11,8,3,5,10
5,0,9,6,4,7,5,9,1,10,2,5,6,9,1,2,10,7,3,0,11,3,8,4,7,9,1,10,2,5,6,1,11,8,3,5,10
6,8,9,7,4,7,5,5,1,4,2,5,6,5,1,8,10,7,3,4,11,5,8,4,7,5,1,4,2,5,6,6,11,2,3,5,10
7,8,9,7,4,7,5,5,1,4,2,5,6,5,1,8,10,7,3,4,11,5,8,4,7,5,1,4,2,5,6,6,11,2,3,5,10
8,10,8,3,4,7,5,8,5,7,2,5,6,3,7,5,10,7,3,2,4,6,8,4,7,8,5,7,2,5,6,5,6,4,3,5,10
9,10,8,3,4,7,5,8,5,7,2,5,6,3,7,5,10,7,3,2,4,6,8,4,7,8,5,7,2,5,6,5,6,4,3,5,10
10,4,5,1,4,7,5,2,6,11,2,5,6,8,3,9,10,7,3,8,7,1,8,4,7,2,6,11,2,5,6,3,10,0,3,5,10
