,date,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,1737334800000000000,10,1,3,11,10,2,8,11,7,0,0,3,3,9,5,0,0,6,2,1,6,9,8,10,8,11,7,0,0,3,5,0,4,9,8,7
1,1737338400000000000,10,1,3,11,10,2,8,11,7,0,0,3,3,9,5,0,0,6,2,1,6,9,8,10,8,11,7,0,0,3,5,0,4,9,8,7
2,1737342000000000000,4,11,1,11,10,2,2,0,11,0,0,3,8,0,9,0,0,6,8,9,1,9,8,10,2,0,11,0,0,3,3,9,0,9,8,7
3,1737345600000000000,4,11,1,11,10,2,2,0,11,0,0,3,8,0,9,0,0,6,8,9,1,9,8,10,2,0,11,0,0,3,3,9,0,9,8,7
4,1737349200000000000,0,11,6,11,10,2,9,0,10,0,0,3,9,0,2,0,0,6,0,9,3,9,8,10,9,0,10,0,0,3,1,9,8,9,8,7
5,1737352800000000000,0,11,6,11,10,2,9,0,10,0,0,3,9,0,2,0,0,6,0,9,3,9,8,10,9,0,10,0,0,3,1,9,8,9,8,7
6,1737356400000000000,8,11,7,11,10,2,5,0,4,0,0,3,5,0,8,0,0,6,4,9,5,9,8,10,5,0,4,0,0,3,6,9,2,9,8,7
7,1737360000000000000,8,11,7,11,10,2,5,0,4,0,0,3,5,0,8,0,0,6,4,9,5,9,8,10,5,0,4,0,0,3,6,9,2,9,8,7
8,1737421200000000000,10,6,3,11,10,2,8,10,7,0,0,3,3,2,5,0,0,6,2,3,6,9,8,10,8,10,7,0,0,3,5,8,4,9,8,7
9,1737424800000000000,10,6,3,11,10,2,8,10,7,0,0,3,3,2,5,0,0,6,2,3,6,9,8,10,8,10,7,0,0,3,5,8,4,9,8,7
10,1737428400000000000,4,10,1,11,10,2,2,8,11,0,0,3,8,4,9,0,0,6,8,2,1,9,8,10,2,8,11,0,0,3,3,5,0,9,8,7
11,1737432000000000000,4,10,1,11,10,2,2,8,11,0,0,3,8,4,9,0,0,6,8,2,1,9,8,10,2,8,11,0,0,3,3,5,0,9,8,7
12,1737435600000000000,0,10,6,11,10,2,9,8,10,0,0,3,9,4,2,0,0,6,0,2,3,9,8,10,9,8,10,0,0,3,1,5,8,9,8,7
13,1737439200000000000,0,10,6,11,10,2,9,8,10,0,0,3,9,4,2,0,0,6,0,2,3,9,8,10,9,8,10,0,0,3,1,5,8,9,8,7
14,1737442800000000000,8,10,7,11,10,2,5,8,4,0,0,3,5,4,8,0,0,6,4,2,5,9,8,10,5,8,4,0,0,3,6,5,2,9,8,7
15,1737446400000000000,8,10,7,11,10,2,5,8,4,0,0,3,5,4,8,0,0,6,4,2,5,9,8,10,5,8,4,0,0,3,6,5,2,9,8,7
16,1737507600000000000,10,7,3,11,10,2,8,4,7,0,0,3,3,8,5,0,0,6,2,5,6,9,8,10,8,4,7,0,0,3,5,2,4,9,8,7
17,1737511200000000000,10,7,3,11,10,2,8,4,7,0,0,3,3,8,5,0,0,6,2,5,6,9,8,10,8,4,7,0,0,3,5,2,4,9,8,7
18,1737514800000000000,4,4,1,11,10,2,2,2,11,0,0,3,8,10,9,0,0,6,8,8,1,9,8,10,2,2,11,0,0,3,3,3,0,9,8,7
19,1737518400000000000,4,4,1,11,10,2,2,2,11,0,0,3,8,10,9,0,0,6,8,8,1,9,8,10,2,2,11,0,0,3,3,3,0,9,8,7
20,1737522000000000000,0,4,6,11,10,2,9,2,10,0,0,3,9,10,2,0,0,6,0,8,3,9,8,10,9,2,10,0,0,3,1,3,8,9,8,7
21,1737525600000000000,0,4,6,11,10,2,9,2,10,0,0,3,9,10,2,0,0,6,0,8,3,9,8,10,9,2,10,0,0,3,1,3,8,9,8,7
