,time,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code,uuid,last_modified_date
0,2025-01-20 09:00:00+08:00,己巳,己丑,甲申,甲子,壬辰,甲辰,己酉,丁酉,己巳,己寅,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,6896421112223396805,2025-06-23 10:02:31.718246+08:00
1,2025-01-20 10:00:00+08:00,己巳,己丑,甲申,甲子,壬辰,甲辰,己酉,丁酉,丙申,己寅,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,9497792469001944017,2025-06-23 10:02:31.718246+08:00
2,2025-01-20 11:00:00+08:00,庚午,甲辰,己亥,乙丑,壬辰,甲辰,己酉,丁酉,庚午,己卯,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,10277379532392118751,2025-06-23 10:02:31.718246+08:00
3,2025-01-20 12:00:00+08:00,庚午,甲辰,己亥,乙丑,壬辰,甲辰,己酉,丁酉,丁酉,甲卯,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,15930981100587903762,2025-06-23 10:02:31.718246+08:00
4,2025-01-20 13:00:00+08:00,辛未,甲辰,己亥,丙寅,壬辰,甲辰,己酉,丁酉,辛未,甲卯,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,11284292576721146576,2025-06-23 10:02:31.718246+08:00
5,2025-01-20 14:00:00+08:00,辛未,甲辰,己亥,丙寅,壬辰,甲辰,己酉,丁酉,戊戌,甲卯,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,17927608755799128050,2025-06-23 10:02:31.718246+08:00
6,2025-01-20 15:00:00+08:00,壬申,甲辰,己亥,丁卯,壬辰,甲辰,己酉,丁酉,壬申,甲辰,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,17641880575554021781,2025-06-23 10:02:31.718246+08:00
7,2025-01-20 16:00:00+08:00,壬申,甲辰,己亥,丁卯,壬辰,甲辰,己酉,丁酉,己亥,甲辰,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,3385294384556337469,2025-06-23 10:02:31.718246+08:00
8,2025-01-21 09:00:00+08:00,辛巳,庚寅,乙酉,丙子,壬辰,甲辰,己酉,丁酉,辛巳,庚卯,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,18129966113959869130,2025-06-23 10:02:31.718246+08:00
9,2025-01-21 10:00:00+08:00,辛巳,庚寅,乙酉,丙子,壬辰,甲辰,己酉,丁酉,戊申,庚卯,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,1075212066070249381,2025-06-23 10:02:31.718246+08:00
10,2025-01-21 11:00:00+08:00,壬午,乙巳,庚子,丁丑,壬辰,甲辰,己酉,丁酉,壬午,庚辰,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,3644307508565474717,2025-06-23 10:02:31.718246+08:00
11,2025-01-21 12:00:00+08:00,壬午,乙巳,庚子,丁丑,壬辰,甲辰,己酉,丁酉,己酉,乙辰,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,10691253491866570236,2025-06-23 10:02:31.718246+08:00
12,2025-01-21 13:00:00+08:00,癸未,乙巳,庚子,戊寅,壬辰,甲辰,己酉,丁酉,癸未,乙辰,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,9278862246398033024,2025-06-23 10:02:31.718246+08:00
13,2025-01-21 14:00:00+08:00,癸未,乙巳,庚子,戊寅,壬辰,甲辰,己酉,丁酉,庚戌,乙辰,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,1721159738454147825,2025-06-23 10:02:31.718246+08:00
14,2025-01-21 15:00:00+08:00,甲申,乙巳,庚子,己卯,壬辰,甲辰,己酉,丁酉,甲申,乙巳,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,17883720435266649971,2025-06-23 10:02:31.718246+08:00
15,2025-01-21 16:00:00+08:00,甲申,乙巳,庚子,己卯,壬辰,甲辰,己酉,丁酉,辛亥,乙巳,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,1577661065171624619,2025-06-23 10:02:31.718246+08:00
16,2025-01-22 09:00:00+08:00,癸巳,辛卯,丙戌,戊子,壬辰,甲辰,己酉,丁酉,癸巳,辛辰,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,3770406985012121665,2025-06-23 10:02:31.718246+08:00
17,2025-01-22 10:00:00+08:00,癸巳,辛卯,丙戌,戊子,壬辰,甲辰,己酉,丁酉,庚申,辛辰,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,3119885457387726578,2025-06-23 10:02:31.718246+08:00
18,2025-01-22 11:00:00+08:00,甲午,丙午,辛丑,己丑,壬辰,甲辰,己酉,丁酉,甲午,辛巳,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,5124630909651953908,2025-06-23 10:02:31.718246+08:00
19,2025-01-22 12:00:00+08:00,甲午,丙午,辛丑,己丑,壬辰,甲辰,己酉,丁酉,辛酉,丙巳,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,16477444231509199275,2025-06-23 10:02:31.718246+08:00
20,2025-01-22 13:00:00+08:00,乙未,丙午,辛丑,庚寅,壬辰,甲辰,己酉,丁酉,乙未,丙巳,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,9613955450413852433,2025-06-23 10:02:31.718246+08:00
21,2025-01-22 14:00:00+08:00,乙未,丙午,辛丑,庚寅,壬辰,甲辰,己酉,丁酉,壬戌,丙巳,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,371447461646504325,2025-06-23 10:02:31.718246+08:00
22,2025-01-22 15:00:00+08:00,丙申,丙午,辛丑,辛卯,壬辰,甲辰,己酉,丁酉,丙申,丙午,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,17596707945573572545,2025-06-23 10:02:31.718246+08:00
23,2025-01-22 16:00:00+08:00,丙申,丙午,辛丑,辛卯,壬辰,甲辰,己酉,丁酉,癸亥,丙午,甲辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,3509044779141262993,2025-06-23 10:02:31.718246+08:00
24,2025-01-23 09:00:00+08:00,乙巳,壬辰,丁亥,庚子,壬辰,甲辰,己酉,丁酉,乙巳,壬巳,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,4403224750674574975,2025-06-23 10:02:31.718246+08:00
25,2025-01-23 10:00:00+08:00,乙巳,壬辰,丁亥,庚子,壬辰,甲辰,己酉,丁酉,壬申,壬巳,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,9145255147645442542,2025-06-23 10:02:31.718246+08:00
26,2025-01-23 11:00:00+08:00,丙午,丁未,壬寅,辛丑,壬辰,甲辰,己酉,丁酉,丙午,壬午,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,11867779798494126537,2025-06-23 10:02:31.718246+08:00
27,2025-01-23 12:00:00+08:00,丙午,丁未,壬寅,辛丑,壬辰,甲辰,己酉,丁酉,癸酉,丁午,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,2779555418348869566,2025-06-23 10:02:31.718246+08:00
28,2025-01-23 13:00:00+08:00,丁未,丁未,壬寅,壬寅,壬辰,甲辰,己酉,丁酉,丁未,丁午,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,7116006592653026048,2025-06-23 10:02:31.718246+08:00
29,2025-01-23 14:00:00+08:00,丁未,丁未,壬寅,壬寅,壬辰,甲辰,己酉,丁酉,甲戌,丁午,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,7635304954824888986,2025-06-23 10:02:31.718246+08:00
30,2025-01-23 15:00:00+08:00,戊申,丁未,壬寅,癸卯,壬辰,甲辰,己酉,丁酉,戊申,丁未,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,15356833355457401310,2025-06-23 10:02:31.718246+08:00
31,2025-01-23 16:00:00+08:00,戊申,丁未,壬寅,癸卯,壬辰,甲辰,己酉,丁酉,乙亥,丁未,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,15838418462682709964,2025-06-23 10:02:31.718246+08:00
32,2025-01-24 09:00:00+08:00,丁巳,癸巳,戊子,壬子,壬辰,甲辰,己酉,丁酉,丁巳,癸午,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,13405813496348487863,2025-06-23 10:02:31.718246+08:00
33,2025-01-24 10:00:00+08:00,丁巳,癸巳,戊子,壬子,壬辰,甲辰,己酉,丁酉,甲申,癸午,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,16403399195241100056,2025-06-23 10:02:31.718246+08:00
34,2025-01-24 11:00:00+08:00,戊午,戊申,癸卯,癸丑,壬辰,甲辰,己酉,丁酉,戊午,癸未,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,1688651900760418071,2025-06-23 10:02:31.718246+08:00
35,2025-01-24 12:00:00+08:00,戊午,戊申,癸卯,癸丑,壬辰,甲辰,己酉,丁酉,乙酉,戊未,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,17347081928683715479,2025-06-23 10:02:31.718246+08:00
36,2025-01-24 13:00:00+08:00,己未,戊申,癸卯,甲寅,壬辰,甲辰,己酉,丁酉,己未,戊未,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,13416807815899472699,2025-06-23 10:02:31.718246+08:00
37,2025-01-24 14:00:00+08:00,己未,戊申,癸卯,甲寅,壬辰,甲辰,己酉,丁酉,丙戌,戊未,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,15489562890084742891,2025-06-23 10:02:31.718246+08:00
38,2025-01-24 15:00:00+08:00,庚申,戊申,癸卯,乙卯,壬辰,甲辰,己酉,丁酉,庚申,戊申,乙辰,己卯,丙申,己亥,丙子,庚寅,甲午,乙未,辛卯,辛巳,HSI,1329983420426329724,2025-06-23 10:02:31.718246+08:00
