,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,10,4,3,1,3,4,8,2,7,11,2,2,3,10,5,9,10,10,2,8,6,1,7,8,8,2,7,11,2,2,5,3,4,0,3,3
1,10,4,3,1,3,4,8,2,7,11,2,2,3,10,5,9,10,10,2,8,6,1,7,8,8,2,7,11,2,2,5,3,4,0,3,3
2,4,2,1,1,3,4,2,3,11,11,2,2,8,6,9,9,10,10,8,10,1,1,7,8,2,3,11,11,2,2,3,7,0,0,3,3
3,4,2,1,1,3,4,2,3,11,11,2,2,8,6,9,9,10,10,8,10,1,1,7,8,2,3,11,11,2,2,3,7,0,0,3,3
4,0,2,6,1,3,4,9,3,10,11,2,2,9,6,2,9,10,10,0,10,3,1,7,8,9,3,10,11,2,2,1,7,8,0,3,3
5,0,2,6,1,3,4,9,3,10,11,2,2,9,6,2,9,10,10,0,10,3,1,7,8,9,3,10,11,2,2,1,7,8,0,3,3
6,8,2,7,1,3,4,5,3,4,11,2,2,5,6,8,9,10,10,4,10,5,1,7,8,5,3,4,11,2,2,6,7,2,0,3,3
7,8,2,7,1,3,4,5,3,4,11,2,2,5,6,8,9,10,10,4,10,5,1,7,8,5,3,4,11,2,2,6,7,2,0,3,3
8,10,2,9,11,6,5,8,3,1,0,4,6,3,6,1,0,8,3,2,10,11,9,5,7,8,3,1,0,4,6,5,7,11,9,2,10
9,10,2,9,11,6,5,8,3,1,0,4,6,3,6,1,0,8,3,2,10,11,9,5,7,8,3,1,0,4,6,5,7,11,9,2,10
10,4,3,5,11,6,5,2,7,6,0,4,6,8,5,3,0,8,3,8,6,7,9,5,7,2,7,6,0,4,6,3,4,10,9,2,10
11,4,3,5,11,6,5,2,7,6,0,4,6,8,5,3,0,8,3,8,6,7,9,5,7,2,7,6,0,4,6,3,4,10,9,2,10
12,0,3,3,11,6,5,9,7,7,0,4,6,9,5,5,0,8,3,0,6,6,9,5,7,9,7,7,0,4,6,1,4,4,9,2,10
13,0,3,3,11,6,5,9,7,7,0,4,6,9,5,5,0,8,3,0,6,6,9,5,7,9,7,7,0,4,6,1,4,4,9,2,10
14,8,3,1,11,6,5,5,7,11,0,4,6,5,5,9,0,8,3,4,6,1,9,5,7,5,7,11,0,4,6,6,4,0,9,2,10
15,8,3,1,11,6,5,5,7,11,0,4,6,5,5,9,0,8,3,4,6,1,9,5,7,5,7,11,0,4,6,6,4,0,9,2,10
16,10,9,9,11,6,5,8,1,1,0,4,6,3,1,1,0,8,3,2,11,11,9,5,7,8,1,1,0,4,6,5,11,11,9,2,10
17,10,9,9,11,6,5,8,1,1,0,4,6,3,1,1,0,8,3,2,11,11,9,5,7,8,1,1,0,4,6,5,11,11,9,2,10
18,4,1,5,11,6,5,2,11,6,0,4,6,8,9,3,0,8,3,8,1,7,9,5,7,2,11,6,0,4,6,3,0,10,9,2,10
19,4,1,5,11,6,5,2,11,6,0,4,6,8,9,3,0,8,3,8,1,7,9,5,7,2,11,6,0,4,6,3,0,10,9,2,10
20,0,1,3,11,6,5,9,11,7,0,4,6,9,9,5,0,8,3,0,1,6,9,5,7,9,11,7,0,4,6,1,0,4,9,2,10
21,0,1,3,11,6,5,9,11,7,0,4,6,9,9,5,0,8,3,0,1,6,9,5,7,9,11,7,0,4,6,1,0,4,9,2,10
22,8,1,1,11,6,5,5,11,11,0,4,6,5,9,9,0,8,3,4,1,1,9,5,7,5,11,11,0,4,6,6,0,0,9,2,10
23,8,1,1,11,6,5,5,11,11,0,4,6,5,9,9,0,8,3,4,1,1,9,5,7,5,11,11,0,4,6,6,0,0,9,2,10
24,10,5,9,11,6,5,8,6,1,0,4,6,3,3,1,0,8,3,2,7,11,9,5,7,8,6,1,0,4,6,5,10,11,9,2,10
25,10,5,9,11,6,5,8,6,1,0,4,6,3,3,1,0,8,3,2,7,11,9,5,7,8,6,1,0,4,6,5,10,11,9,2,10
26,4,6,5,11,6,5,2,10,6,0,4,6,8,2,3,0,8,3,8,3,7,9,5,7,2,10,6,0,4,6,3,8,10,9,2,10
27,4,6,5,11,6,5,2,10,6,0,4,6,8,2,3,0,8,3,8,3,7,9,5,7,2,10,6,0,4,6,3,8,10,9,2,10
