,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2024-01-19 09:00:00+08:00,2024-01-19 09:00:00+08:00,HSI,乙巳,壬午,丁丑,庚子,乙丑,戊午,癸亥,庚午,乙巳,壬未,甲辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,16304677800720112076,2025-06-23 10:17:52.643327+08:00,2024,1,19,9,4,1,False,False,False,False,False,False,19,3,乙,巳,0.587785,0.809017,0.5,-0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,丁,丑,0.951057,-0.309017,0.5,0.866025,庚,子,-0.587785,-0.809017,0,1,乙,丑,0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,帝旺,胎,養,帝旺,帝旺,胎,絕,臨官,冠帶,絕,絕,死,病,長生,養,病,病,沐浴,長生,病,衰,長生,長生,帝旺,臨官,絕,墓庫,臨官,臨官,長生,沐浴,死,墓庫,沐浴,沐浴
1,2024-01-19 10:00:00+08:00,2024-01-19 10:00:00+08:00,HSI,乙巳,壬午,丁丑,庚子,乙丑,戊午,癸亥,庚午,壬申,壬未,甲辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,5060490013747793737,2025-06-23 10:17:52.643327+08:00,2024,1,19,10,4,1,False,False,False,False,False,False,19,3,乙,巳,0.587785,0.809017,0.5,-0.866025,壬,午,-0.951057,0.309017,1.22465e-16,-1,丁,丑,0.951057,-0.309017,0.5,0.866025,庚,子,-0.587785,-0.809017,0,1,乙,丑,0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,帝旺,胎,養,帝旺,帝旺,胎,絕,臨官,冠帶,絕,絕,死,病,長生,養,病,病,沐浴,長生,病,衰,長生,長生,帝旺,臨官,絕,墓庫,臨官,臨官,長生,沐浴,死,墓庫,沐浴,沐浴
2,2024-01-19 11:00:00+08:00,2024-01-19 11:00:00+08:00,HSI,丙午,丁酉,壬辰,辛丑,乙丑,戊午,癸亥,庚午,丙午,壬申,甲辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,14497437876182558786,2025-06-23 10:17:52.643327+08:00,2024,1,19,11,4,1,False,False,False,False,False,False,19,3,丙,午,0.951057,0.309017,1.22465e-16,-1,丁,酉,0.951057,-0.309017,-1,-1.83697e-16,壬,辰,-0.951057,0.309017,0.866025,-0.5,辛,丑,-0.951057,-0.309017,0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,帝旺,死,養,養,帝旺,帝旺,絕,病,冠帶,冠帶,絕,絕,病,臨官,養,養,病,病,長生,絕,衰,衰,長生,長生,臨官,長生,墓庫,墓庫,臨官,臨官,沐浴,帝旺,墓庫,墓庫,沐浴,沐浴
3,2024-01-19 12:00:00+08:00,2024-01-19 12:00:00+08:00,HSI,丙午,丁酉,壬辰,辛丑,乙丑,戊午,癸亥,庚午,癸酉,丁申,甲辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,267005412757144607,2025-06-23 10:17:52.643327+08:00,2024,1,19,12,4,1,False,False,False,False,False,False,19,3,丙,午,0.951057,0.309017,1.22465e-16,-1,丁,酉,0.951057,-0.309017,-1,-1.83697e-16,壬,辰,-0.951057,0.309017,0.866025,-0.5,辛,丑,-0.951057,-0.309017,0.5,0.866025,乙,丑,0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,帝旺,死,養,養,帝旺,帝旺,絕,病,冠帶,冠帶,絕,絕,病,臨官,養,養,病,病,長生,絕,衰,衰,長生,長生,臨官,長生,墓庫,墓庫,臨官,臨官,沐浴,帝旺,墓庫,墓庫,沐浴,沐浴
4,2024-01-19 13:00:00+08:00,2024-01-19 13:00:00+08:00,HSI,丁未,丁酉,壬辰,壬寅,乙丑,戊午,癸亥,庚午,丁未,丁申,甲辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,8665090967608500262,2025-06-23 10:17:52.643327+08:00,2024,1,19,13,4,1,False,False,False,False,False,False,19,3,丁,未,0.951057,-0.309017,-0.5,-0.866025,丁,酉,0.951057,-0.309017,-1,-1.83697e-16,壬,辰,-0.951057,0.309017,0.866025,-0.5,壬,寅,-0.951057,0.309017,0.866025,0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,衰,死,長生,養,帝旺,帝旺,墓庫,病,沐浴,冠帶,絕,絕,衰,臨官,胎,養,病,病,養,絕,帝旺,衰,長生,長生,冠帶,長生,死,墓庫,臨官,臨官,冠帶,帝旺,絕,墓庫,沐浴,沐浴
5,2024-01-19 14:00:00+08:00,2024-01-19 14:00:00+08:00,HSI,丁未,丁酉,壬辰,壬寅,乙丑,戊午,癸亥,庚午,甲戌,丁申,甲辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,3245924636046821124,2025-06-23 10:17:52.643327+08:00,2024,1,19,14,4,1,False,False,False,False,False,False,19,3,丁,未,0.951057,-0.309017,-0.5,-0.866025,丁,酉,0.951057,-0.309017,-1,-1.83697e-16,壬,辰,-0.951057,0.309017,0.866025,-0.5,壬,寅,-0.951057,0.309017,0.866025,0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,衰,死,長生,養,帝旺,帝旺,墓庫,病,沐浴,冠帶,絕,絕,衰,臨官,胎,養,病,病,養,絕,帝旺,衰,長生,長生,冠帶,長生,死,墓庫,臨官,臨官,冠帶,帝旺,絕,墓庫,沐浴,沐浴
6,2024-01-19 15:00:00+08:00,2024-01-19 15:00:00+08:00,HSI,戊申,丁酉,壬辰,癸卯,乙丑,戊午,癸亥,庚午,戊申,丁酉,甲辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,15512864795518807736,2025-06-23 10:17:52.643327+08:00,2024,1,19,15,4,1,False,False,False,False,False,False,19,3,戊,申,0.587785,-0.809017,-0.866025,-0.5,丁,酉,0.951057,-0.309017,-1,-1.83697e-16,壬,辰,-0.951057,0.309017,0.866025,-0.5,癸,卯,-0.587785,0.809017,1,6.12323e-17,乙,丑,0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,病,死,沐浴,養,帝旺,帝旺,死,病,長生,冠帶,絕,絕,帝旺,臨官,絕,養,病,病,胎,絕,臨官,衰,長生,長生,沐浴,長生,病,墓庫,臨官,臨官,臨官,帝旺,胎,墓庫,沐浴,沐浴
7,2024-01-19 16:00:00+08:00,2024-01-19 16:00:00+08:00,HSI,戊申,丁酉,壬辰,癸卯,乙丑,戊午,癸亥,庚午,乙亥,丁酉,甲辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,9176859839613477580,2025-06-23 10:17:52.643327+08:00,2024,1,19,16,4,1,False,False,False,False,False,False,19,3,戊,申,0.587785,-0.809017,-0.866025,-0.5,丁,酉,0.951057,-0.309017,-1,-1.83697e-16,壬,辰,-0.951057,0.309017,0.866025,-0.5,癸,卯,-0.587785,0.809017,1,6.12323e-17,乙,丑,0.587785,0.809017,0.5,0.866025,戊,午,0.587785,-0.809017,1.22465e-16,-1,癸,亥,-0.587785,0.809017,-0.5,0.866025,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,病,死,沐浴,養,帝旺,帝旺,死,病,長生,冠帶,絕,絕,帝旺,臨官,絕,養,病,病,胎,絕,臨官,衰,長生,長生,沐浴,長生,病,墓庫,臨官,臨官,臨官,帝旺,胎,墓庫,沐浴,沐浴
8,2024-01-22 09:00:00+08:00,2024-01-22 09:00:00+08:00,HSI,辛巳,乙酉,庚寅,丙戌,庚辰,癸卯,戊戌,乙亥,辛巳,乙戌,壬辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6967244456100067501,2025-06-23 10:17:52.643327+08:00,2024,1,22,9,0,1,False,False,False,False,False,False,22,4,辛,巳,-0.951057,-0.309017,0.5,-0.866025,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,寅,-0.587785,-0.809017,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,庚,辰,-0.587785,-0.809017,0.866025,-0.5,癸,卯,-0.587785,0.809017,1,6.12323e-17,戊,戌,0.587785,-0.809017,-0.866025,0.5,乙,亥,0.587785,0.809017,-0.5,0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,死,墓庫,冠帶,沐浴,絕,胎,病,衰,養,長生,帝旺,死,臨官,冠帶,墓庫,絕,沐浴,沐浴,絕,墓庫,冠帶,臨官,死,帝旺,長生,養,衰,病,胎,長生,帝旺,衰,養,胎,病
9,2024-01-22 10:00:00+08:00,2024-01-22 10:00:00+08:00,HSI,辛巳,乙酉,庚寅,丙戌,庚辰,癸卯,戊戌,乙亥,戊申,乙戌,壬辰,戊寅,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,12977067498192270559,2025-06-23 10:17:52.643327+08:00,2024,1,22,10,0,1,False,False,False,False,False,False,22,4,辛,巳,-0.951057,-0.309017,0.5,-0.866025,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,寅,-0.587785,-0.809017,0.866025,0.5,丙,戌,0.951057,0.309017,-0.866025,0.5,庚,辰,-0.587785,-0.809017,0.866025,-0.5,癸,卯,-0.587785,0.809017,1,6.12323e-17,戊,戌,0.587785,-0.809017,-0.866025,0.5,乙,亥,0.587785,0.809017,-0.5,0.866025,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,死,墓庫,冠帶,沐浴,絕,胎,病,衰,養,長生,帝旺,死,臨官,冠帶,墓庫,絕,沐浴,沐浴,絕,墓庫,冠帶,臨官,死,帝旺,長生,養,衰,病,胎,長生,帝旺,衰,養,胎,病
