,date,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,1705626000000000000,6,2,7,11,2,2,7,6,8,0,5,6,2,5,10,11,5,5,3,10,5,9,9,10,2,8,6,1,8,8,9,4,3,1,3,4
1,1705629600000000000,6,2,7,11,2,2,7,6,8,0,5,6,2,5,10,11,5,5,3,10,5,9,9,10,2,8,6,1,8,8,9,4,3,1,3,4
2,1705633200000000000,1,3,11,11,2,2,6,5,0,0,5,6,4,8,11,11,5,5,8,6,9,9,9,10,7,10,1,1,8,8,4,2,1,1,3,4
3,1705636800000000000,1,3,11,11,2,2,6,5,0,0,5,6,4,8,11,11,5,5,8,6,9,9,9,10,7,10,1,1,8,8,4,2,1,1,3,4
4,1705640400000000000,7,3,10,11,2,2,1,5,4,0,5,6,7,8,7,11,5,5,9,6,2,9,9,10,0,10,3,1,8,8,0,2,6,1,3,4
5,1705644000000000000,7,3,10,11,2,2,1,5,4,0,5,6,7,8,7,11,5,5,9,6,2,9,9,10,0,10,3,1,8,8,0,2,6,1,3,4
6,1705647600000000000,3,3,4,11,2,2,3,5,10,0,5,6,1,8,6,11,5,5,6,6,8,9,9,10,4,10,5,1,8,8,7,2,7,1,3,4
7,1705651200000000000,3,3,4,11,2,2,3,5,10,0,5,6,1,8,6,11,5,5,6,6,8,9,9,10,4,10,5,1,8,8,7,2,7,1,3,4
8,1705885200000000000,6,3,1,0,3,6,7,5,9,11,9,2,2,8,0,1,6,4,3,6,1,0,7,3,2,10,11,9,5,7,9,2,9,11,6,5
9,1705888800000000000,6,3,1,0,3,6,7,5,9,11,9,2,2,8,0,1,6,4,3,6,1,0,7,3,2,10,11,9,5,7,9,2,9,11,6,5
10,1705892400000000000,1,7,6,0,3,6,6,8,2,11,9,2,4,10,4,1,6,4,8,5,3,0,7,3,7,6,7,9,5,7,4,3,5,11,6,5
11,1705896000000000000,1,7,6,0,3,6,6,8,2,11,9,2,4,10,4,1,6,4,8,5,3,0,7,3,7,6,7,9,5,7,4,3,5,11,6,5
12,1705899600000000000,7,7,7,0,3,6,1,8,8,11,9,2,7,10,10,1,6,4,9,5,5,0,7,3,0,6,6,9,5,7,0,3,3,11,6,5
13,1705903200000000000,7,7,7,0,3,6,1,8,8,11,9,2,7,10,10,1,6,4,9,5,5,0,7,3,0,6,6,9,5,7,0,3,3,11,6,5
14,1705906800000000000,3,7,11,0,3,6,3,8,0,11,9,2,1,10,11,1,6,4,6,5,9,0,7,3,4,6,1,9,5,7,7,3,1,11,6,5
15,1705910400000000000,3,7,11,0,3,6,3,8,0,11,9,2,1,10,11,1,6,4,6,5,9,0,7,3,4,6,1,9,5,7,7,3,1,11,6,5
16,1705971600000000000,6,1,1,0,3,6,7,9,9,11,9,2,2,0,0,1,6,4,3,1,1,0,7,3,2,11,11,9,5,7,9,9,9,11,6,5
17,1705975200000000000,6,1,1,0,3,6,7,9,9,11,9,2,2,0,0,1,6,4,3,1,1,0,7,3,2,11,11,9,5,7,9,9,9,11,6,5
18,1705978800000000000,1,11,6,0,3,6,6,0,2,11,9,2,4,11,4,1,6,4,8,9,3,0,7,3,7,1,7,9,5,7,4,1,5,11,6,5
19,1705982400000000000,1,11,6,0,3,6,6,0,2,11,9,2,4,11,4,1,6,4,8,9,3,0,7,3,7,1,7,9,5,7,4,1,5,11,6,5
20,1705986000000000000,7,11,7,0,3,6,1,0,8,11,9,2,7,11,10,1,6,4,9,9,5,0,7,3,0,1,6,9,5,7,0,1,3,11,6,5
21,1705989600000000000,7,11,7,0,3,6,1,0,8,11,9,2,7,11,10,1,6,4,9,9,5,0,7,3,0,1,6,9,5,7,0,1,3,11,6,5
22,1705993200000000000,3,11,11,0,3,6,3,0,0,11,9,2,1,11,11,1,6,4,6,9,9,0,7,3,4,1,1,9,5,7,7,1,1,11,6,5
23,1705996800000000000,3,11,11,0,3,6,3,0,0,11,9,2,1,11,11,1,6,4,6,9,9,0,7,3,4,1,1,9,5,7,7,1,1,11,6,5
24,1706058000000000000,6,6,1,0,3,6,7,2,9,11,9,2,2,4,0,1,6,4,3,3,1,0,7,3,2,7,11,9,5,7,9,5,9,11,6,5
