,date,weekday
0,2025-06-19 09:00:00+08:00,Thursday
1,2025-06-19 10:00:00+08:00,Thursday
2,2025-06-19 11:00:00+08:00,Thursday
3,2025-06-19 12:00:00+08:00,Thursday
4,2025-06-19 13:00:00+08:00,Thursday
5,2025-06-19 14:00:00+08:00,Thursday
6,2025-06-19 15:00:00+08:00,Thursday
7,2025-06-19 16:00:00+08:00,Thursday
8,2025-06-20 09:00:00+08:00,Friday
9,2025-06-20 10:00:00+08:00,Friday
10,2025-06-20 11:00:00+08:00,Friday
11,2025-06-20 12:00:00+08:00,Friday
12,2025-06-20 13:00:00+08:00,Friday
13,2025-06-20 14:00:00+08:00,Friday
14,2025-06-20 15:00:00+08:00,Friday
15,2025-06-20 16:00:00+08:00,Friday
16,2025-06-23 09:00:00+08:00,Monday
17,2025-06-23 10:00:00+08:00,Monday
18,2025-06-23 11:00:00+08:00,Monday
19,2025-06-23 12:00:00+08:00,Monday
20,2025-06-23 13:00:00+08:00,Monday
21,2025-06-23 14:00:00+08:00,Monday
22,2025-06-23 15:00:00+08:00,Monday
23,2025-06-23 16:00:00+08:00,Monday
24,2025-06-24 09:00:00+08:00,Tuesday
25,2025-06-24 10:00:00+08:00,Tuesday
26,2025-06-24 11:00:00+08:00,Tuesday
27,2025-06-24 12:00:00+08:00,Tuesday
28,2025-06-24 13:00:00+08:00,Tuesday
29,2025-06-24 14:00:00+08:00,Tuesday
30,2025-06-24 15:00:00+08:00,Tuesday
31,2025-06-24 16:00:00+08:00,Tuesday
32,2025-06-25 09:00:00+08:00,Wednesday
33,2025-06-25 10:00:00+08:00,Wednesday
34,2025-06-25 11:00:00+08:00,Wednesday
35,2025-06-25 12:00:00+08:00,Wednesday
36,2025-06-25 13:00:00+08:00,Wednesday
37,2025-06-25 14:00:00+08:00,Wednesday
38,2025-06-25 15:00:00+08:00,Wednesday
39,2025-06-25 16:00:00+08:00,Wednesday
40,2025-06-26 09:00:00+08:00,Thursday
41,2025-06-26 10:00:00+08:00,Thursday
42,2025-06-26 11:00:00+08:00,Thursday
43,2025-06-26 12:00:00+08:00,Thursday
44,2025-06-26 13:00:00+08:00,Thursday
45,2025-06-26 14:00:00+08:00,Thursday
46,2025-06-26 15:00:00+08:00,Thursday
47,2025-06-26 16:00:00+08:00,Thursday
48,2025-06-27 09:00:00+08:00,Friday
49,2025-06-27 10:00:00+08:00,Friday
50,2025-06-27 11:00:00+08:00,Friday
51,2025-06-27 12:00:00+08:00,Friday
52,2025-06-27 13:00:00+08:00,Friday
53,2025-06-27 14:00:00+08:00,Friday
54,2025-06-27 15:00:00+08:00,Friday
55,2025-06-27 16:00:00+08:00,Friday
56,2025-06-30 09:00:00+08:00,Monday
57,2025-06-30 10:00:00+08:00,Monday
58,2025-06-30 11:00:00+08:00,Monday
59,2025-06-30 12:00:00+08:00,Monday
60,2025-06-30 13:00:00+08:00,Monday
61,2025-06-30 14:00:00+08:00,Monday
62,2025-06-30 15:00:00+08:00,Monday
63,2025-06-30 16:00:00+08:00,Monday
