,Close_x,High_x,Low_x,Open_x,Volume_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
Close_x,1,0.994463,0.995271,0.986792,0.491821,0.0436061,-0.0224367,-0.0323174,0.0409231,0.0307912,-0.556195,0.126271,0.161879,-0.00645451,-0.0232232,-0.0586185,-0.432602,,,,,,,,,0.214072,0.571649,0.00580255,,-0.0164316,0.597913,0.573132,0.574867,0.0436061,,-0.0371672,0.00134782,,,-0.0222886,-0.00317799,0.0289763,0.00748959,0.0057353,-0.000301791,-0.0339444,0.0176901,-0.0289763,-0.00748959,-0.00564822,-0.0103023,-0.0393543,0.457089,0.0371672,-0.00134782,-0.457089,-0.457089,0.0612271,-0.178032,0.0581349,-0.0599051,-0.235032,0.298608,-0.556195,0.230077,-0.122439,-0.390893,-0.502333,-0.317349,0.126271,-0.126271,0.122439,0.390893,0.572042,0.0021961,0.16368,0.105404,-0.0581349,0.0599051,-0.0363673,-0.171582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0118948,0.457089,0.128055,0.480861,0.112877,,-0.00240113,0.457089,-0.125425,-0.448627,-0.119669,,-0.00339129,-0.457089,0.135217,0.480861,0.134632,,0.00324757,0.457089,0.0145554,0.448627,0.194499,,0.0053134,0.457089,0.0160711,-0.480861,-0.206951,,-0.0127103,-0.457089,-0.174519,-0.448627,-0.116161,0.9818
High_x,0.994463,1,0.992985,0.995064,0.527019,0.0447584,-0.0301727,-0.0323686,0.0337063,0.032741,-0.550137,0.130263,0.160869,-0.0158031,-0.0312053,-0.0513184,-0.432567,,,,,,,,,0.215028,0.56382,0.0026263,,-0.0145778,0.593809,0.565066,0.566769,0.0447584,,-0.0454644,-0.00526395,,,-0.0300976,-0.000197972,0.0308248,0.011428,0.0120306,-0.00627174,-0.0344497,0.020392,-0.0308248,-0.011428,-0.0121543,-0.00668983,-0.0467043,0.457363,0.0454644,0.00526395,-0.457363,-0.457363,0.0629333,-0.173733,0.0639738,-0.0409589,-0.240763,0.305478,-0.550137,0.220566,-0.123575,-0.390108,-0.498945,-0.312432,0.130263,-0.130263,0.123575,0.390108,0.567928,0.00906223,0.162065,0.0942706,-0.0639738,0.0409589,-0.0291902,-0.179887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0107529,0.457363,0.111308,0.480761,0.112439,,0.00363043,0.457363,-0.113407,-0.448096,-0.125649,,-0.00316489,-0.457363,0.119856,0.480761,0.148076,,0.000212013,0.457363,-0.00139899,0.448096,0.195597,,0.00440395,0.457363,0.0331762,-0.480761,-0.219555,,-0.00791388,-0.457363,-0.161249,-0.448096,-0.112618,0.977536
Low_x,0.995271,0.992985,1,0.992806,0.465903,0.044994,-0.021512,-0.03414,0.0458902,0.0247276,-0.566401,0.132493,0.153785,0.00271682,-0.0225357,-0.0542456,-0.430604,,,,,,,,,0.211384,0.580107,0.0137281,,-0.0198946,0.605607,0.582163,0.583948,0.044994,,-0.0318089,0.00915933,,,-0.0220279,0.00720931,0.0234291,0.00598802,0.00976919,-0.0113841,-0.0354416,0.0131945,-0.0234291,-0.00598802,-0.012863,-0.00363188,-0.0340596,0.455565,0.0318089,-0.00915933,-0.455565,-0.455565,0.0546994,-0.183778,0.0556133,-0.049721,-0.245873,0.295881,-0.566401,0.229202,-0.112082,-0.399134,-0.511016,-0.330627,0.132493,-0.132493,0.112082,0.399134,0.578029,0.00570884,0.155596,0.0958769,-0.0556133,0.049721,-0.0242496,-0.168525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00795594,0.455565,0.123035,0.482895,0.108673,,0.00548022,0.455565,-0.140303,-0.454613,-0.114471,,-0.00820165,-0.455565,0.13532,0.482895,0.130749,,0.00174972,0.455565,0.023593,0.454613,0.191381,,0.00688486,0.455565,0.0143598,-0.482895,-0.202804,,-0.00636128,-0.455565,-0.177374,-0.454613,-0.108131,0.976617
Open_x,0.986792,0.995064,0.992806,1,0.503211,0.0427419,-0.026037,-0.036376,0.0339574,0.0295279,-0.559034,0.14228,0.156978,-0.00786644,-0.0273129,-0.0507831,-0.430025,,,,,,,,,0.203276,0.573302,0.00685196,,-0.0235906,0.602452,0.574817,0.576611,0.0427419,,-0.0443182,0.00284247,,,-0.0262455,0.00675554,0.0237709,0.00652104,0.0163385,-0.0138259,-0.038147,0.0168608,-0.0237709,-0.00652104,-0.0198281,-0.00117023,-0.0455863,0.452473,0.0443182,-0.00284247,-0.452473,-0.452473,0.0596716,-0.180783,0.0625336,-0.0407942,-0.244386,0.304934,-0.559034,0.211196,-0.107082,-0.400493,-0.507575,-0.328421,0.14228,-0.14228,0.107082,0.400493,0.571335,0.0194664,0.158639,0.0900609,-0.0625336,0.0407942,-0.0204037,-0.181171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0127067,0.452473,0.106345,0.481168,0.10825,,0.00682309,0.452473,-0.122425,-0.454717,-0.122917,,-0.00326573,-0.452473,0.120701,0.481168,0.14615,,0.000569004,0.452473,0.00134741,0.454717,0.193982,,0.00405773,0.452473,0.0324223,-0.481168,-0.219215,,-0.00624729,-0.452473,-0.160525,-0.454717,-0.106525,0.969629
Volume_x,0.491821,0.527019,0.465903,0.503211,1,0.00391788,-0.0278051,-0.00255968,-0.0192965,0.10583,-0.0978658,-0.171818,0.0536492,-0.0441344,-0.0260399,0.0777825,-0.105376,,,,,,,,,0.286795,0.059037,0.031481,,0.0563374,0.0841838,0.0620135,0.062299,0.00391788,,-0.0566062,-0.0281333,,,-0.0200697,-0.0840524,0.0539397,0.069709,0.0984492,-0.076666,-0.0047722,0.00694582,-0.0539397,-0.069709,-0.0899608,0.0295618,-0.0562874,0.208085,0.0566062,0.0281333,-0.208085,-0.208085,0.110973,0.0749734,0.0338854,-0.0334352,-0.140806,0.00188812,-0.0978658,0.293777,-0.265213,0.0230242,-0.0605283,0.0882735,-0.171818,0.171818,0.265213,-0.0230242,0.164025,-0.213107,0.0631438,-0.0374911,-0.0338854,0.0334352,-0.0806118,0.0263519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0571444,0.208085,-0.0831703,0.142329,0.0539296,,0.0555845,0.208085,0.170072,-0.046677,-0.111484,,-0.020437,-0.208085,-0.127532,0.142329,0.157607,,-0.0191047,0.208085,-0.0660321,0.046677,0.0370547,,-0.011143,0.208085,0.142353,-0.142329,-0.133105,,0.0701573,-0.208085,0.0646431,-0.046677,-0.0668214,0.491364
current_hour_pillar,0.0436061,0.0447584,0.044994,0.0427419,0.00391788,1,-0.517188,-0.496021,-0.0743102,0.0394327,-0.0295013,0.0129164,-0.0157076,0.105997,-0.51598,0.0248031,-0.0261221,,,,,,,,,0.0111975,0.0200994,-0.00553936,,0.0103932,0.0218406,0.0197244,0.0196568,1,,-0.054193,0.0534369,,,-0.519319,0.00160446,0.0127534,-0.0127571,-0.0320893,0.00672763,-0.500989,3.55108e-05,-0.0127534,0.0127571,0.0439817,-0.00869712,-0.0812305,0.0342275,0.054193,-0.0534369,-0.0342275,-0.0342275,0.0429492,-0.0210475,-0.0291918,-0.033113,-0.00483562,-0.00153731,-0.0295013,0.00408569,-0.013442,-0.0251705,-0.0296392,-0.0127235,0.0129164,-0.0129164,0.013442,0.0251705,0.0345106,0.00853745,-0.0142784,0.0126668,0.0291918,0.033113,-0.00649008,0.0148816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0159324,0.0342275,0.0117257,0.0344453,-0.0147612,,-0.00277656,0.0342275,0.00205994,-0.0303795,0.00922598,,-0.0224778,-0.0342275,-0.0040069,0.0344453,-0.0138314,,-0.00213823,0.0342275,0.00818196,0.0303795,-0.0280904,,0.0320539,0.0342275,0.00724125,-0.0344453,0.0221397,,2.54323e-05,-0.0342275,-0.0193297,-0.0303795,0.0111052,0.0421666
current_day_pillar,-0.0224367,-0.0301727,-0.021512,-0.026037,-0.0278051,-0.517188,1,-0.161774,0.261529,-0.0625007,0.0153569,-0.0136578,0.0371649,-0.130542,0.992904,0.0745591,0.0199146,,,,,,,,,-0.0148463,-0.00787729,0.0278861,,-0.0407551,-0.0199565,-0.0058409,-0.00537779,-0.517188,,0.280499,-0.204409,,,0.99514,0.0901158,-0.659418,0.0406319,-0.0100667,-0.0721054,-0.160105,-0.0118795,0.659418,-0.0406319,0.0111797,0.043254,0.2725,-0.0447083,-0.280499,0.204409,0.0447083,0.0447083,-0.0595815,-0.0510992,0.0734208,-0.0429682,0.0662348,0.0400813,0.0153569,0.00692507,0.0312687,0.0197237,0.0211217,-0.00773157,-0.0136578,0.0136578,-0.0312687,-0.0197237,-0.029555,-0.0156016,0.0371055,0.0449982,-0.0734208,0.0429682,-0.0585098,-0.0421577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0206522,-0.0447083,0.0489204,-0.0399805,-0.00685625,,0.00190431,-0.0447083,-0.00695776,0.0293696,0.0035489,,-0.0046478,0.0447083,0.083987,-0.0399805,-0.028703,,-0.00357136,-0.0447083,-0.00100944,-0.0293696,0.027621,,-0.0224728,-0.0447083,-0.0697268,0.0399805,0.0271649,,0.0182865,0.0447083,0.000206992,0.0293696,-0.017443,-0.0216176
current_day_pillar_minus,-0.0323174,-0.0323686,-0.03414,-0.036376,-0.00255968,-0.496021,-0.161774,1,0.295815,-0.0137748,0.0292271,-0.0148062,-0.00129516,-0.12389,-0.16735,-0.110309,0.0294644,,,,,,,,,-0.00847715,-0.0158762,-0.0359332,,0.0153195,-0.00707255,-0.0186533,-0.0189028,-0.496021,,0.308638,-0.207871,,,-0.165257,0.0238577,0.663778,-0.0151043,0.0391252,0.0339279,0.995066,0.115513,-0.663778,0.0151043,-0.106623,-0.018509,0.300556,-0.00716658,-0.308638,0.207871,0.00716658,0.00716658,-0.0200044,0.0774239,-0.00978113,0.0681298,-0.059746,-0.0337834,0.0292271,-0.00142402,-0.0158609,0.0231877,0.0258559,0.029862,-0.0148062,0.0148062,0.0158609,-0.0231877,-0.0223356,-0.00781829,-0.000704325,-0.0653111,0.00978113,-0.0681298,0.0581394,0.00769557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00255367,-0.00716658,-0.0359541,-0.0140394,0.0497866,,0.0400035,-0.00716658,-0.017432,0.0204075,-0.0264534,,-0.00214267,0.00716658,-0.0613486,-0.0140394,0.0383441,,-0.060081,-0.00716658,-0.00731606,-0.0204075,0.035662,,0.0136488,-0.00716658,0.0547792,0.0140394,-0.0507809,,0.025358,0.00716658,-0.00297454,0.0204075,-0.03383,-0.0264795
current_hour_pillar_minus,0.0409231,0.0337063,0.0458902,0.0339574,-0.0192965,-0.0743102,0.261529,0.295815,1,-0.0445603,-0.0911608,0.0315236,-0.00524475,0.29282,0.262594,0.0712215,-0.0754398,,,,,,,,,0.0725733,0.0357849,-0.00920667,,-0.0332675,0.0392153,0.0354087,0.0361151,-0.0743102,,0.980887,-0.00446048,,,0.264084,-0.0137016,0.00900201,0.0315253,0.0280988,-0.00845999,0.295169,0.0294917,-0.00900201,-0.0315253,-0.0914827,0.0271028,0.984642,0.15342,-0.980887,0.00446048,-0.15342,-0.15342,-0.045725,0.0423076,0.0111577,0.00634027,-0.0759806,0.0270495,-0.0911608,0.0235756,-0.0962521,-0.0782844,-0.0966753,-0.00695632,0.0315236,-0.0315236,0.0962521,0.0782844,0.127941,0.0218774,-0.0057891,-0.0228172,-0.0111577,-0.00634027,0.0726366,-0.0235768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0240719,0.15342,0.0174174,0.141236,0.0524053,,-0.0181217,0.15342,-0.0583533,-0.109095,0.00375824,,0.0297706,-0.15342,0.00351534,0.141236,0.0168436,,0.0113464,0.15342,-0.0128917,0.109095,0.0308914,,-0.0307148,0.15342,0.0271787,-0.141236,-0.0233902,,-0.0156256,-0.15342,-0.0490392,-0.109095,-0.0303319,0.0476251
current_month_pillar,0.0307912,0.032741,0.0247276,0.0295279,0.10583,0.0394327,-0.0625007,-0.0137748,-0.0445603,1,0.115443,-0.0965725,-0.187842,0.0494728,-0.0626103,0.0254596,0.180975,,,,,,,,,-0.159779,0.0497491,0.125501,,-0.0311641,0.0806564,0.0590613,0.0590375,0.0394327,,-0.0154345,0.0553474,,,-0.0630299,-0.0030857,0.0605412,0.120129,0.00666209,0.0247447,-0.0113401,-0.0250721,-0.0605412,-0.120129,-0.00642934,-0.000989075,-0.0148644,-0.171041,0.0154345,-0.0553474,0.171041,0.171041,0.994717,0.418132,-0.676174,0.0573664,-0.139154,-0.392859,0.115443,0.0440975,0.0654532,0.12743,0.132656,0.042188,-0.0965725,0.0965725,-0.0654532,-0.12743,-0.149696,-0.0916108,-0.183249,0.106629,0.676174,-0.0573664,0.197147,0.458773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0176252,-0.171041,-0.0904793,-0.172757,0.0143536,,0.0459836,-0.171041,0.0206085,0.153104,0.166774,,-0.0479673,0.171041,-0.0200924,-0.172757,0.126066,,-0.0307648,-0.171041,0.033735,-0.153104,-0.489035,,0.0499192,-0.171041,-0.117639,0.172757,0.0429961,,0.0178035,0.171041,0.0445754,0.153104,0.151586,0.0462339
