,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
0,2025-04-21 02:58:21.421724+08:00,2025-04-21 02:58:21.421724+08:00,0,0,34,12,6,10,0,2,14,7,34,7,0,0,0,0,0,0,0,0,0,0,35,0,2025,4,21,2,0,2,False,False,False,False,False,False,111,17,0,0,0.951057,-0.309017,0.5,0.866025,5,9,-0.587785,-0.809017,-0.866025,-0.5,2,0,0.587785,0.809017,0.5,0.866025,3,1,-0.951057,0.309017,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,2,2,9,2,7,0,3,3,1,3,4,1,5,0,9,4,10,1,7,3,11,1,2,0,4,2,0,1,3,0,8,1,0,4,6
1,2025-04-22 02:58:21.421724+08:00,2025-04-22 02:58:21.421724+08:00,0,4,59,8,14,10,0,2,14,1,58,7,0,0,0,0,0,0,0,0,0,0,5,0,2025,4,22,2,1,2,False,False,False,False,False,False,112,17,4,0,1.22465e-16,-1,0.5,0.866025,9,11,-0.951057,-0.309017,-1,-1.83697e-16,1,5,0.951057,0.309017,0.866025,0.5,7,1,0,1,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,8,2,9,2,7,0,5,3,1,3,4,1,3,0,9,4,10,1,6,3,11,1,2,0,10,2,0,1,3,0,2,1,0,4,6
2,2025-04-23 02:58:21.421724+08:00,2025-04-23 02:58:21.421724+08:00,0,9,21,2,2,10,0,2,14,6,23,7,0,0,0,0,0,0,0,0,0,0,56,0,2025,4,23,2,2,2,False,False,False,False,False,False,113,17,9,0,-0.951057,-0.309017,0.5,0.866025,3,7,-0.951057,0.309017,-0.866025,0.5,0,3,0.951057,-0.309017,1,6.12323e-17,1,1,0.951057,0.309017,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,0,2,9,2,7,0,9,3,1,3,4,1,1,0,9,4,10,1,1,3,11,1,2,0,11,2,0,1,3,0,9,1,0,4,6
3,2025-04-24 02:58:21.421724+08:00,2025-04-24 02:58:21.421724+08:00,0,8,49,41,12,10,0,2,14,5,51,64,0,0,0,0,0,0,0,0,0,0,26,0,2025,4,24,2,3,2,False,False,False,False,False,False,114,17,8,0,-0.587785,0.809017,0.5,0.866025,8,1,-0.587785,0.809017,-0.5,0.866025,6,10,0.587785,-0.809017,0.866025,-0.5,6,1,0.587785,-0.809017,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,4,2,9,2,7,0,2,3,1,3,4,1,6,0,9,4,10,1,3,3,11,1,2,0,7,2,0,1,3,0,5,1,0,4,6
4,2025-04-25 02:58:21.421724+08:00,2025-04-25 02:58:21.421724+08:00,0,2,43,27,10,10,0,2,14,3,43,64,0,0,0,0,0,0,0,0,0,0,6,0,2025,4,25,2,4,2,False,False,False,False,False,False,115,17,2,0,0.587785,0.809017,0.5,0.866025,7,4,0,1,0,1,4,6,1.22465e-16,-1,0.5,-0.866025,5,1,-0.587785,-0.809017,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,10,2,9,2,7,0,8,3,1,3,4,1,7,0,9,4,10,1,5,3,11,1,2,0,6,2,0,1,3,0,3,1,0,4,6
5,2025-04-28 02:58:21.421724+08:00,2025-04-28 02:58:21.421724+08:00,0,9,2,22,2,10,0,2,14,6,2,85,0,0,0,0,0,0,0,0,0,0,62,0,2025,4,28,2,0,2,False,False,False,False,False,False,118,18,9,0,-0.951057,-0.309017,0.5,0.866025,0,3,0.951057,-0.309017,1,6.12323e-17,3,9,-0.951057,0.309017,-0.866025,-0.5,1,1,0.951057,0.309017,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,6,2,9,2,7,0,10,3,1,3,4,1,4,0,9,4,10,1,8,3,11,1,2,0,5,2,0,1,3,0,7,1,0,4,6
6,2025-04-29 02:58:21.421724+08:00,2025-04-29 02:58:21.421724+08:00,0,8,41,53,12,10,0,2,14,5,38,85,0,0,0,0,0,0,0,0,0,0,9,0,2025,4,29,2,1,2,False,False,False,False,False,False,119,18,8,0,-0.587785,0.809017,0.5,0.866025,6,10,0.587785,-0.809017,0.866025,-0.5,8,11,-0.587785,0.809017,-1,-1.83697e-16,6,1,0.587785,-0.809017,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,1,2,9,2,7,0,11,3,1,3,4,1,0,0,9,4,10,1,0,3,11,1,2,0,9,2,0,1,3,0,11,1,0,4,6
7,2025-04-30 02:58:21.421724+08:00,2025-04-30 02:58:21.421724+08:00,0,2,27,45,10,10,0,2,14,3,29,75,0,0,0,0,0,0,0,0,0,0,18,0,2025,4,30,2,2,2,False,True,False,False,False,False,120,18,2,0,0.587785,0.809017,0.5,0.866025,4,6,1.22465e-16,-1,0.5,-0.866025,7,7,0,1,-0.866025,0.5,5,1,-0.587785,-0.809017,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,3,2,9,2,7,0,7,3,1,3,4,1,8,0,9,4,10,1,4,3,11,1,2,0,2,2,0,1,3,0,10,1,0,4,6
8,2025-05-01 02:58:21.421724+08:00,2025-05-01 02:58:21.421724+08:00,0,0,30,13,6,10,0,2,14,7,33,75,0,0,0,0,0,0,0,0,0,0,50,0,2025,5,1,2,3,2,True,False,False,False,False,False,121,18,0,0,0.951057,-0.309017,0.5,0.866025,5,2,-0.587785,-0.809017,1.22465e-16,-1,2,1,0.587785,0.809017,-0.5,0.866025,3,1,-0.951057,0.309017,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,5,2,9,2,7,0,6,3,1,3,4,1,2,0,9,4,10,1,10,3,11,1,2,0,8,2,0,1,3,0,4,1,0,4,6
9,2025-05-02 02:58:21.421724+08:00,2025-05-02 02:58:21.421724+08:00,0,4,58,7,14,10,0,2,14,1,54,75,0,0,0,0,0,0,0,0,0,0,29,0,2025,5,2,2,4,2,False,False,False,False,False,False,122,18,4,0,1.22465e-16,-1,0.5,0.866025,9,8,-0.951057,-0.309017,-0.5,-0.866025,1,4,0.951057,0.309017,0,1,7,1,0,1,1.22465e-16,-1,2,8,0.587785,0.809017,-0.5,-0.866025,0,2,0.587785,0.809017,0.5,-0.866025,2,2,-0.587785,-0.809017,0,1,5,5,-0.587785,-0.809017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,9,2,9,2,7,0,1,3,1,3,4,1,9,0,9,4,10,1,11,3,11,1,2,0,0,2,0,1,3,0,0,1,0,4,6
