,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date
0,2025-04-21 09:07:19.626304+08:00,2025-04-21 09:07:19.626304+08:00,HSI,辛巳,庚申,乙丑,丙戌,乙未,乙巳,庚子,庚寅,辛巳,庚酉,丁未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,7299224166565735810,2025-04-18 01:07:21.583700+08:00
1,2025-04-22 09:07:19.626304+08:00,2025-04-22 09:07:19.626304+08:00,HSI,癸巳,辛酉,丙寅,戊戌,乙未,乙巳,庚子,庚寅,癸巳,辛戌,丁未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2574174561588355703,2025-04-18 01:07:21.583700+08:00
2,2025-04-23 09:07:19.626304+08:00,2025-04-23 09:07:19.626304+08:00,HSI,乙巳,壬戌,丁卯,庚戌,乙未,乙巳,庚子,庚寅,乙巳,壬亥,戊未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,15430033129984181617,2025-04-18 01:07:21.583700+08:00
3,2025-04-24 09:07:19.626304+08:00,2025-04-24 09:07:19.626304+08:00,HSI,丁巳,癸亥,戊辰,壬戌,乙未,乙巳,庚子,庚寅,丁巳,癸子,戊未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13741599672257155069,2025-04-18 01:07:21.583700+08:00
4,2025-04-25 09:07:19.626304+08:00,2025-04-25 09:07:19.626304+08:00,HSI,己巳,甲子,己巳,甲戌,乙未,乙巳,庚子,庚寅,己巳,甲丑,戊未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,10701445674150213589,2025-04-18 01:07:21.583700+08:00
5,2025-04-28 09:07:19.626304+08:00,2025-04-28 09:07:19.626304+08:00,HSI,乙巳,丁卯,壬申,庚戌,乙未,乙巳,庚子,庚寅,乙巳,丁辰,癸未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14433983232597153054,2025-04-18 01:07:21.583700+08:00
6,2025-04-29 09:07:19.626304+08:00,2025-04-29 09:07:19.626304+08:00,HSI,丁巳,戊辰,癸酉,壬戌,乙未,乙巳,庚子,庚寅,丁巳,戊巳,癸未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1027059312323229106,2025-04-18 01:07:21.583700+08:00
7,2025-04-30 09:07:19.626304+08:00,2025-04-30 09:07:19.626304+08:00,HSI,己巳,己巳,甲戌,甲戌,乙未,乙巳,庚子,庚寅,己巳,己午,甲未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,3124514309288721048,2025-04-18 01:07:21.583700+08:00
8,2025-05-01 09:07:19.626304+08:00,2025-05-01 09:07:19.626304+08:00,HSI,辛巳,庚午,乙亥,丙戌,乙未,乙巳,庚子,庚寅,辛巳,庚未,甲未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,14702367150242572438,2025-04-18 01:07:21.583700+08:00
9,2025-05-02 09:07:19.626304+08:00,2025-05-02 09:07:19.626304+08:00,HSI,癸巳,辛未,丙子,戊戌,乙未,乙巳,庚子,庚寅,癸巳,辛申,甲未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,8663019256047761899,2025-04-18 01:07:21.583700+08:00
10,2025-05-05 09:07:19.626304+08:00,2025-05-05 09:07:19.626304+08:00,HSI,己巳,甲戌,己卯,甲戌,乙未,乙巳,庚子,庚寅,己巳,甲亥,己未,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,901529095883762039,2025-04-18 01:07:21.583700+08:00
11,2025-05-06 09:07:19.626304+08:00,2025-05-06 09:07:19.626304+08:00,HSI,辛巳,乙亥,庚辰,丙戌,辛巳,乙巳,庚子,丙子,辛巳,乙子,辛巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,15864292655197852891,2025-04-18 01:07:21.583700+08:00
12,2025-05-07 09:07:19.626304+08:00,2025-05-07 09:07:19.626304+08:00,HSI,癸巳,丙子,辛巳,戊戌,辛巳,乙巳,庚子,丙子,癸巳,丙丑,辛巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17413927180917766719,2025-04-18 01:07:21.583700+08:00
13,2025-05-08 09:07:19.626304+08:00,2025-05-08 09:07:19.626304+08:00,HSI,乙巳,丁丑,壬午,庚戌,辛巳,乙巳,庚子,丙子,乙巳,丁寅,辛巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2032519253847145578,2025-04-18 01:07:21.583700+08:00
14,2025-05-09 09:07:19.626304+08:00,2025-05-09 09:07:19.626304+08:00,HSI,丁巳,戊寅,癸未,壬戌,辛巳,乙巳,庚子,丙子,丁巳,戊卯,丙巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,6054732408648516542,2025-04-18 01:07:21.583700+08:00
15,2025-05-12 09:07:19.626304+08:00,2025-05-12 09:07:19.626304+08:00,HSI,癸巳,辛巳,丙戌,戊戌,辛巳,乙巳,庚子,丙子,癸巳,辛午,丁巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17701582161607378880,2025-04-18 01:07:21.583700+08:00
16,2025-05-13 09:07:19.626304+08:00,2025-05-13 09:07:19.626304+08:00,HSI,乙巳,壬午,丁亥,庚戌,辛巳,乙巳,庚子,丙子,乙巳,壬未,丁巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,7812413322332862196,2025-04-18 01:07:21.583700+08:00
17,2025-05-14 09:07:19.626304+08:00,2025-05-14 09:07:19.626304+08:00,HSI,丁巳,癸未,戊子,壬戌,辛巳,乙巳,庚子,丙子,丁巳,癸申,丁巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,2902187056076728829,2025-04-18 01:07:21.583700+08:00
18,2025-05-15 09:07:19.626304+08:00,2025-05-15 09:07:19.626304+08:00,HSI,己巳,甲申,己丑,甲戌,辛巳,乙巳,庚子,丙子,己巳,甲酉,壬巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12678374337413148449,2025-04-18 01:07:21.583700+08:00
19,2025-05-16 09:07:19.626304+08:00,2025-05-16 09:07:19.626304+08:00,HSI,辛巳,乙酉,庚寅,丙戌,辛巳,乙巳,庚子,丙子,辛巳,乙戌,壬巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12405600132370108155,2025-04-18 01:07:21.583700+08:00
20,2025-05-19 09:07:19.626304+08:00,2025-05-19 09:07:19.626304+08:00,HSI,丁巳,戊子,癸巳,壬戌,辛巳,乙巳,庚子,丙子,丁巳,戊丑,癸巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,365242930309815391,2025-04-18 01:07:21.583700+08:00
21,2025-05-20 09:07:19.626304+08:00,2025-05-20 09:07:19.626304+08:00,HSI,己巳,己丑,甲午,甲戌,辛巳,乙巳,庚子,丙子,己巳,己寅,癸巳,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,7120696194624055347,2025-04-18 01:07:21.583700+08:00
22,2025-05-21 09:07:19.626304+08:00,2025-05-21 09:07:19.626304+08:00,HSI,辛巳,庚寅,乙未,丙戌,丙申,乙巳,庚子,辛卯,辛巳,庚卯,戊申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5025506671170884271,2025-04-18 01:07:21.583700+08:00
23,2025-05-22 09:07:19.626304+08:00,2025-05-22 09:07:19.626304+08:00,HSI,癸巳,辛卯,丙申,戊戌,丙申,乙巳,庚子,辛卯,癸巳,辛辰,戊申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,13894846972219084763,2025-04-18 01:07:21.583700+08:00
24,2025-05-23 09:07:19.626304+08:00,2025-05-23 09:07:19.626304+08:00,HSI,乙巳,壬辰,丁酉,庚戌,丙申,乙巳,庚子,辛卯,乙巳,壬巳,戊申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17873361861200394514,2025-04-18 01:07:21.583700+08:00
25,2025-05-26 09:07:19.626304+08:00,2025-05-26 09:07:19.626304+08:00,HSI,辛巳,乙未,庚子,丙戌,丙申,乙巳,庚子,辛卯,辛巳,乙申,己申,乙午,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,12546963035795302976,2025-04-18 01:07:21.583700+08:00
26,2025-05-27 09:07:19.626304+08:00,2025-05-27 09:07:19.626304+08:00,HSI,癸巳,丙申,辛丑,戊戌,丙申,乙巳,庚子,辛卯,癸巳,丙酉,己申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,1593046355681074686,2025-04-18 01:07:21.583700+08:00
27,2025-05-28 09:07:19.626304+08:00,2025-05-28 09:07:19.626304+08:00,HSI,乙巳,丁酉,壬寅,庚戌,丙申,乙巳,庚子,辛卯,乙巳,丁戌,甲申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,11184061460242134028,2025-04-18 01:07:21.583700+08:00
28,2025-05-29 09:07:19.626304+08:00,2025-05-29 09:07:19.626304+08:00,HSI,丁巳,戊戌,癸卯,壬戌,丙申,乙巳,庚子,辛卯,丁巳,戊亥,甲申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,4816535330044891354,2025-04-18 01:07:21.583700+08:00
29,2025-05-30 09:07:19.626304+08:00,2025-05-30 09:07:19.626304+08:00,HSI,己巳,己亥,甲辰,甲戌,丙申,乙巳,庚子,辛卯,己巳,己子,甲申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,5033884802049926411,2025-04-18 01:07:21.583700+08:00
30,2025-06-02 09:07:19.626304+08:00,2025-06-02 09:07:19.626304+08:00,HSI,乙巳,壬寅,丁未,庚戌,丙申,乙巳,庚子,辛卯,乙巳,壬卯,乙申,乙未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申,HSI,17476144264421552333,2025-04-18 01:07:21.583700+08:00
